species_index,dg_interc,dg_vdbh,dg_dbh,dg_dbh2,dg_rdbh,dg_rdbhsq,dg_sba,dg_bal,dg_crwn,dg_crsq,dg_site,dg_observ
1,1.395,-3.9398,0.0,0.01213,1.3727,-0.17735,0.0,-0.00428,0.02997,-0.00015,0.00385,1337.0
2,1.395,-3.9398,0.0,0.01213,1.3727,-0.17735,0.0,-0.00428,0.02997,-0.00015,0.00385,1337.0
3,0.21748,0.0,0.30253,-0.00885,0.0,0.0,-0.00114,-0.00306,0.01947,0.0,0.00581,3409.0
4,0.21748,0.0,0.30253,-0.00885,0.0,0.0,-0.00114,-0.00306,0.01947,0.0,0.00581,3409.0
5,4.1821,-13.911,0.0,0.0,-0.33396,0.0,0.0,-0.00412,0.03382,-0.00012,0.0,1343.0
6,3.9303,-9.3995,0.0,0.0,-0.58596,0.0,0.0,-0.00375,0.01635,0.0,0.0,986.0
7,3.9303,-9.3995,0.0,0.0,-0.58596,0.0,0.0,-0.00375,0.01635,0.0,0.0,986.0
8,3.458,-10.103,0.0,0.0,-0.63924,0.0,-0.00192,0.0,0.02677,-9e-05,0.00317,2498.0
9,3.4206,-9.4927,0.0,0.0,-1.4383,0.0,0.0049528,-0.0067966,0.018393,0.0,0.0074198,2365.0
10,-0.461,0.0,0.4223,0.0,0.0,-0.1108,0.0,0.0,0.0,0.00012,0.0,1524.0
11,-0.74827,0.0,0.33025,0.0,0.0,-0.08958,-0.00118,0.0,0.02758,-0.00015,0.00537,5618.0
12,3.2309,-11.816,0.0,0.0,0.0,0.0,-0.00166,0.0,0.01535,0.0,0.00676,756.0
13,0.21748,0.0,0.30253,-0.00885,0.0,0.0,-0.00114,-0.00306,0.01947,0.0,0.00581,3409.0
14,3.0982,-8.5844,0.0,0.0,0.0,0.0,-0.00386,0.0,0.01628,0.0,0.0,4111.0
15,2.5313,-10.146,0.0,0.0,0.0,0.0,-0.00095,0.0,0.01677,0.0,0.01285,3285.0
16,2.5313,-10.146,0.0,0.0,0.0,0.0,-0.00095,0.0,0.01677,0.0,0.01285,3285.0
17,1.8151,0.0,0.091526,0.0,1.0209,-0.03235,0.0,-0.00428,0.0,0.00031,0.0,416.0
18,2.2302,-6.9962,0.11324,-0.00186,0.0,0.0,0.0,-0.00171,0.03114,-0.00014,0.0,3300.0
19,-0.3258,0.0,0.33549,-0.00703,-0.53201,0.0,-0.00203,0.0,0.03314,-0.00016,0.0052,5133.0
20,-0.3258,0.0,0.33549,-0.00703,-0.53201,0.0,-0.00203,0.0,0.03314,-0.00016,0.0052,5133.0
21,3.2435,-10.737,0.0,0.0,0.0,0.0,0.0,0.0,0.05258,-0.00038,0.0,604.0
22,3.2435,-10.737,0.0,0.0,0.0,0.0,0.0,0.0,0.05258,-0.00038,0.0,604.0
23,3.2435,-10.737,0.0,0.0,0.0,0.0,0.0,0.0,0.05258,-0.00038,0.0,604.0
24,2.54,-7.304,0.0,0.0,0.0,0.0,0.0,-0.00223,0.01369,0.0,0.00647,563.0
25,3.6912,-11.035,0.0,0.0,-0.34599,0.0,0.0,-0.00259,0.01932,0.0,0.0,1934.0
26,3.2946,-12.691,0.0,0.0,0.0,0.0,-0.0021,0.0,0.01787,0.0,0.00496,4470.0
27,3.2946,-12.691,0.0,0.0,0.0,0.0,-0.0021,0.0,0.01787,0.0,0.00496,4470.0
28,2.7284,-12.059,0.0,0.0,0.0,0.0,0.0,0.0,0.01843,0.0,0.00856,150.0
