fia_code,itg_group,stocking_eq
10,55,1
11,1,18
12,55,1
14,2,18
15,2,15
16,55,1
17,3,18
18,4,1
19,4,1
20,5,18
21,5,18
22,7,18
41,8,18
42,9,18
43,59,16
50,12,10
51,12,10
52,12,10
53,12,10
54,12,10
55,12,10
57,64,4
58,161,10
59,161,10
60,161,3
61,161,3
62,161,10
63,161,10
64,38,10
65,161,10
66,63,10
67,64,4
68,64,4
69,161,10
70,70,1
71,65,1
72,40,2
73,13,2
81,10,18
90,16,1
91,70,1
92,40,18
93,14,1
94,16,1
95,17,3
96,15,1
97,58,1
98,18,18
99,16,1
100,42,11
101,19,10
102,20,10
103,21,8
104,20,8
105,41,4
106,162,10
107,44,4
108,23,5
109,24,10
110,45,6
111,46,7
112,22,10
113,25,10
114,22,10
115,47,4
116,36,10
117,27,10
118,22,10
119,28,8
120,6,10
121,48,9
122,26,10
123,49,4
124,29,10
125,42,11
126,50,4
127,163,10
128,51,12
129,53,13
130,71,4
131,52,14
132,54,4
133,162,10
134,162,10
135,26,10
136,70,11
137,22,10
138,22,10
139,22,10
140,162,10
141,22,10
142,20,10
143,162,10
144,72,4
145,70,4
201,30,15
202,31,15
211,32,19
212,33,19
221,61,31
222,61,31
223,61,31
231,40,18
232,40,18
240,60,16
241,60,16
242,11,18
251,40,18
252,40,18
260,66,17
261,66,17
262,66,17
263,34,18
264,35,18
298,0,13
299,170,0
300,160,25
310,152,25
311,151,25
312,130,25
313,208,36
314,96,27
315,152,27
316,95,25
317,97,25
318,96,27
319,152,25
320,152,25
321,159,10
322,159,10
323,159,10
324,159,10
325,159,10
330,153,27
331,153,27
332,153,27
333,153,27
334,153,27
335,153,27
336,153,27
337,153,27
341,151,25
345,153,36
346,153,36
350,153,26
351,131,26
352,153,26
353,153,26
355,146,26
356,152,25
361,132,29
362,132,29
363,132,29
367,152,25
370,98,27
371,98,27
372,98,27
373,129,28
374,151,28
375,99,28
376,99,28
377,99,28
378,99,28
379,99,28
381,151,25
391,152,25
400,92,29
401,90,29
402,92,29
403,92,29
404,91,29
405,90,29
406,92,29
407,92,29
408,92,29
409,92,29
410,92,29
421,152,25
422,152,29
423,152,29
430,133,29
431,133,29
450,152,27
451,152,27
452,152,27
460,115,36
461,100,36
462,115,36
463,115,36
471,152,25
475,156,10
476,156,33
477,156,33
478,156,33
479,156,33
481,153,25
490,153,25
491,153,25
492,153,26
500,101,29
501,101,29
502,101,29
510,148,15
521,93,29
531,102,27
540,153,33
541,103,33
542,135,33
543,104,33
544,105,36
545,153,33
546,153,33
547,153,33
548,153,33
549,153,33
551,151,25
552,101,27
555,127,25
571,101,25
580,153,25
591,106,25
600,153,30
601,107,30
602,108,30
603,153,30
604,153,30
605,153,30
606,153,30
611,109,31
621,110,33
631,136,25
641,101,29
650,152,33
651,152,33
652,152,33
653,111,25
654,152,33
655,152,33
656,152,33
657,152,33
658,152,33
660,152,29
661,152,29
662,152,29
663,152,29
664,152,29
665,152,29
680,152,25
681,152,25
682,152,25
683,152,25
684,152,25
690,113,31
691,112,31
692,151,31
693,113,31
694,114,31
701,152,25
702,152,25
711,152,25
712,144,27
721,127,33
722,151,33
730,153,36
731,116,36
732,153,36
740,118,36
741,117,32
742,118,36
743,119,32
744,118,36
745,118,36
746,119,32
747,137,36
748,118,36
749,118,36
752,118,36
755,157,10
756,157,10
757,157,10
758,157,10
760,152,25
761,152,25
762,121,33
763,152,25
764,152,25
765,152,25
766,152,25
768,152,25
800,158,10
801,138,29
802,81,29
803,210,10
804,151,29
805,142,29
806,82,29
807,134,29
808,89,29
809,86,29
810,210,10
811,210,10
812,88,29
813,87,29
814,158,10
815,140,29
816,89,29
817,202,29
818,139,29
819,89,29
820,201,29
821,158,25
822,128,29
823,83,10
824,206,29
825,87,29
826,207,10
827,204,29
828,143,29
829,210,10
830,205,29
831,125,29
832,84,29
833,85,29
834,87,29
835,86,29
836,87,29
837,120,29
838,203,29
839,142,29
840,86,29
841,89,29
842,89,29
843,210,10
850,210,10
851,152,25
900,152,29
901,122,29
902,160,10
911,147,29
919,158,25
920,123,25
921,123,25
922,123,25
923,123,25
924,123,25
927,123,25
929,123,25
931,93,29
935,152,25
936,152,25
937,152,25
938,152,25
939,152,25
950,124,35
951,124,35
952,124,35
953,124,35
970,152,36
971,209,36
972,94,36
973,209,36
974,146,36
975,94,36
976,152,36
977,94,36
981,141,29
989,149,25
990,160,10
991,153,25
992,145,1
993,146,33
994,146,25
995,146,25
996,153,25
997,153,25
998,180,25
999,190,25
