ffe_dead_ft,fuel_name,fc_lt025,fc_025_1,fc_1_3,fc_3_6,fc_6_12,fc_12_20,fc_20_35,fc_35_50,fc_gt50,litter,duff
1,dt1,0.09,0.51,1.76,0.78,1.89,1.95,0.0,0.0,0.0,1.83,3.87
2,dt2,0.07,0.51,0.93,0.06,0.26,0.0,0.0,0.0,0.0,0.54,1.43
3,dt3,0.07,0.25,0.18,0.0,0.0,0.0,0.0,0.0,0.0,2.05,9.96
4,dt4,0.31,2.22,4.99,0.64,2.11,1.46,0.0,0.0,0.0,1.44,9.05
5,dt5,0.12,0.44,1.05,0.66,1.26,0.0,0.0,0.0,0.0,0.81,2.97
6,dt6,0.11,0.89,4.58,4.98,4.76,0.0,0.0,0.0,0.0,0.2,2.09
7,dt7,0.4,0.95,1.79,1.28,4.47,1.46,0.0,0.0,0.0,0.9,64.29
8,dt8,0.19,0.6,1.22,0.52,1.88,0.57,0.0,0.0,0.0,2.36,80.12
9,dt9,0.07,0.49,2.04,0.98,2.61,0.35,0.0,0.0,0.0,1.2,36.7
10,dt10,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.07,8.28
11,dt11,0.12,0.57,1.14,0.62,3.71,0.37,0.0,0.0,0.0,0.81,2.14
12,dt12,0.11,0.95,1.59,0.17,1.89,0.0,0.0,0.0,0.0,0.29,1.28
13,dt13,0.12,0.49,0.6,0.67,0.77,0.0,0.0,0.0,0.0,0.2,4.77
14,dt14,0.18,0.53,1.6,0.78,1.65,0.52,0.0,0.0,0.0,0.91,4.45
15,dt15,0.24,0.59,1.41,0.74,1.61,1.3,0.0,0.0,0.0,0.44,3.02
16,dt16,0.09,0.8,0.16,0.48,0.51,0.0,0.0,0.0,0.0,0.49,3.96
17,dt17,0.17,0.87,2.1,0.97,2.17,4.52,0.0,0.0,0.0,1.61,40.33
18,dt18,0.22,0.48,1.78,1.01,3.09,0.89,0.0,0.0,0.0,1.0,156.25
19,dt19,0.13,0.26,0.74,0.49,1.88,0.12,0.0,0.0,0.0,1.17,21.42
20,dt20,0.22,0.62,1.74,0.99,1.77,1.41,0.0,0.0,0.0,1.38,7.82
21,dt21,0.29,0.74,2.11,0.96,1.92,3.33,0.0,0.0,0.0,0.9,7.65
22,dt22,0.23,0.69,2.96,1.15,2.81,0.28,0.0,0.0,0.0,0.81,2.37
23,dt23,0.13,0.86,2.1,0.82,2.76,1.1,0.0,0.0,0.0,0.71,14.75
24,dt24,0.12,0.7,2.51,1.04,2.41,2.7,0.0,0.0,0.0,0.53,6.58
25,dt25,0.13,0.52,1.69,0.77,1.8,0.66,0.0,0.0,0.0,1.04,9.55
26,dt26,0.07,0.32,0.34,0.19,0.63,0.0,0.0,0.0,0.0,0.0,0.36
