model,name,sav_1hr,sav_lwoody,load_1hr,load_10hr,load_100hr,load_lwoody,load_lherb,depth,mext,sav_lherb
1,short_grass,3500,1500,0.03398,0.0,0.0,0.0,0.0,1.0,0.12,1500
2,timber_grass_understory,3000,1500,0.09183,0.04591,0.02296,0.0,0.02296,1.0,0.15,1500
3,tall_grass,1500,1500,0.13820,0.0,0.0,0.0,0.0,2.5,0.25,1500
4,chaparral,2000,1500,0.23003,0.18411,0.09183,0.23003,0.0,6.0,0.20,1500
5,brush,2000,1500,0.04591,0.02296,0.0,0.09183,0.0,2.0,0.20,1500
6,dormant_brush_hwd_slash,1750,1500,0.06887,0.11478,0.09183,0.0,0.0,2.5,0.25,1500
7,southern_rough,1750,1550,0.05188,0.08586,0.06887,0.01699,0.0,2.5,0.40,1500
8,closed_timber_litter,2000,1500,0.06887,0.04591,0.11478,0.0,0.0,0.2,0.30,1500
9,hardwood_litter,2500,1500,0.13407,0.01882,0.00689,0.0,0.0,0.2,0.25,1500
10,timber_litter_understory,2000,1500,0.13820,0.09183,0.23003,0.09183,0.0,1.0,0.25,1500
11,light_logging_slash,1500,1500,0.06887,0.20707,0.25298,0.0,0.0,1.0,0.15,1500
12,medium_logging_slash,1500,1500,0.18411,0.64417,0.75895,0.0,0.0,2.3,0.20,1500
13,heavy_logging_slash,1500,1500,0.32185,1.05785,1.28788,0.0,0.0,3.0,0.25,1500
105,GR5_low_load_humid_grass,1800,1500,0.01837,0.0,0.0,0.0,0.11478,1.5,0.40,1600
142,SH2_moderate_load_dry_shrub,2000,1600,0.06189,0.11019,0.03444,0.17677,0.0,1.0,0.15,1500
143,SH3_moderate_load_humid_shrub,1600,1400,0.02066,0.13774,0.0,0.28466,0.0,2.4,0.40,1500
146,SH6_low_load_humid_shrub,750,1600,0.13315,0.06657,0.0,0.06428,0.0,2.0,0.30,1500
161,TU1_low_load_dry_timber_grass_shrub,2000,1600,0.00918,0.04132,0.06887,0.04132,0.00918,0.6,0.20,1800
162,TU2_moderate_load_humid_timber_shrub,2000,1600,0.04362,0.08264,0.05739,0.00918,0.0,1.0,0.30,1500
164,TU4_dwarf_conifer_understory,2300,2000,0.20661,0.0,0.0,0.09183,0.0,0.5,0.12,1500
186,TL6_moderate_load_broadleaf_litter,2000,1500,0.11019,0.05510,0.05510,0.0,0.0,0.3,0.25,1500
189,TL9_very_high_load_broadleaf_litter,1800,1600,0.30533,0.15152,0.19054,0.0,0.0,0.6,0.35,1500
