species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,snag_decayx,snag_fallx,snag_alldwn,bark_eqnum,biogrp,snag_htx
1,1,24.9,4,2.0,4,2,0.8,1.33,30,19,4,1.00
2,2,25.6,4,3.0,4,4,1.2,1.0,50,9,4,0.00
3,3,25.6,4,4.0,4,4,1.2,1.0,50,22,4,0.00
4,4,25.6,4,4.0,4,4,1.2,1.0,50,22,4,0.00
5,5,21.2,4,2.0,4,3,1.0,1.16,50,24,4,0.00
6,6,23.1,4,8.0,4,1,0.4,1.66,10,4,5,3.00
7,7,23.1,4,8.0,4,1,0.4,1.66,10,8,5,3.00
8,8,20.6,4,8.0,4,1,0.4,1.66,10,10,3,3.00
9,9,23.7,4,8.0,4,1,0.4,1.66,10,11,3,3.00
10,10,30.6,1,1.0,3,6,2.3,0.53,50,10,1,0.45
11,11,18.1,1,2.0,2,6,2.3,0.53,50,4,1,0.45
12,12,23.7,1,3.0,4,6,2.3,0.53,50,18,3,0.00
13,13,27.4,1,5.0,2,6,2.3,0.53,50,17,1,0.45
14,14,27.4,1,5.0,2,6,2.3,0.53,50,17,1,0.45
15,15,28.1,3,1.0,4,5,1.5,0.83,50,14,8,0.65
16,16,33.1,3,1.0,4,5,1.5,0.83,50,18,8,0.65
17,17,23.1,4,1.0,4,1,0.4,1.66,10,19,6,3.00
18,18,27.4,3,1.0,4,5,1.5,0.83,50,10,7,0.65
19,19,30.6,3,1.0,4,5,1.5,0.83,50,7,7,0.65
20,20,29.3,3,1.0,2,5,1.5,0.83,50,9,8,0.65
21,21,28.7,3,1.0,4,5,1.5,0.83,50,10,8,0.65
22,22,29.9,3,1.0,4,5,1.5,0.83,50,11,8,0.65
23,23,35.6,3,1.0,4,5,1.5,0.83,50,12,8,0.65
24,24,34.3,4,1.0,4,1,0.4,1.66,10,10,7,3.00
25,25,20.0,4,1.0,4,1,0.4,1.66,10,17,8,3.00
26,26,34.9,3,1.0,4,5,1.5,0.83,50,12,9,0.65
27,27,32.4,3,1.0,4,5,1.5,0.83,50,14,9,0.65
28,28,34.9,3,1.0,4,5,1.5,0.83,50,4,9,0.65
29,29,34.3,3,1.0,4,5,1.5,0.83,50,21,8,0.65
30,30,37.4,1,1.0,2,6,2.3,0.53,50,19,9,0.45
31,31,39.9,1,1.0,2,6,2.3,0.53,50,24,9,0.45
32,32,36.2,1,1.0,2,6,2.3,0.53,50,21,9,0.45
33,33,37.4,1,1.0,2,6,2.3,0.53,50,21,9,0.45
34,34,34.9,2,1.0,2,6,2.3,0.53,50,21,9,0.45
35,35,34.9,2,1.0,2,6,2.3,0.53,50,24,9,0.45
36,36,36.2,2,1.0,2,6,2.3,0.53,50,17,9,0.45
37,37,37.4,1,1.0,4,6,2.3,0.53,50,16,9,0.45
38,38,41.2,1,1.0,4,6,2.3,0.53,50,16,9,0.45
39,39,39.9,1,1.0,4,6,2.3,0.53,50,19,9,0.45
40,40,22.5,4,1.0,4,1,0.4,1.66,10,18,6,3.00
41,41,21.8,4,1.0,4,1,0.4,1.66,10,23,6,3.00
42,42,19.3,4,1.0,4,1,0.4,1.66,10,19,6,3.00
43,43,29.9,4,1.0,4,1,0.4,1.66,10,6,7,3.00
44,44,31.8,3,1.0,4,5,1.5,0.83,50,20,8,0.65
45,45,22.5,3,1.0,4,5,1.5,0.83,50,20,8,0.65
46,46,31.8,3,1.0,2,5,1.5,0.83,50,20,8,0.65
47,47,31.8,3,1.0,4,5,1.5,0.83,50,16,8,0.65
48,48,41.2,3,1.0,1,5,1.5,0.83,50,28,8,0.65
49,49,28.7,3,1.0,4,5,1.5,0.83,50,13,8,0.65
50,50,30.6,3,1.0,4,5,1.5,0.83,50,13,7,0.65
51,51,30.6,3,1.0,4,5,1.5,0.83,50,24,7,0.65
52,52,30.6,3,1.0,4,5,1.5,0.83,50,19,7,0.65
53,53,28.7,3,1.0,4,5,1.5,0.83,50,9,8,0.65
54,54,28.7,3,1.0,2,5,1.5,0.83,50,19,8,0.65
55,55,30.6,3,1.0,4,5,1.5,0.83,50,15,8,0.65
56,56,28.7,3,1.0,4,5,1.5,0.83,50,20,8,0.65
57,57,28.7,3,1.0,4,5,1.5,0.83,50,17,8,0.65
58,58,29.3,3,1.0,2,5,1.5,0.83,50,22,8,0.65
59,59,28.7,3,1.0,4,5,1.5,0.83,50,18,8,0.65
60,60,28.7,3,1.0,4,5,1.5,0.83,50,12,8,0.65
61,61,29.3,3,1.0,2,5,1.5,0.83,50,24,8,0.65
62,62,29.3,3,1.0,2,5,1.5,0.83,50,19,8,0.65
63,63,29.3,3,1.0,2,5,1.5,0.83,50,19,8,0.65
64,64,22.5,3,1.0,4,5,1.5,0.83,50,20,6,0.65
65,65,22.5,3,1.0,4,5,1.5,0.83,50,19,6,0.65
66,66,22.5,3,1.0,4,5,1.5,0.83,50,19,6,0.65
67,67,26.2,3,1.0,2,5,1.5,0.83,50,14,8,0.65
68,68,28.7,3,1.0,4,5,1.5,0.83,50,19,8,0.65
