species_index,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,htdbh_iwykca,htdbh_ht1,htdbh_ht2
1,266.4562239,3.99313675,-0.38600287,0.1,0,4.5084,-6.0116
2,142.7468108,3.97260802,-0.5870983,0.5,0,4.5457,-6.8
3,266.4562239,3.99313675,-0.38600287,0.1,1,4.5084,-6.0116
4,266.4562239,3.99313675,-0.38600287,0.1,1,4.5084,-6.0116
5,2108.844224,5.65948135,-0.18563136,0.4,1,4.609,-6.1896
6,2163.946776,6.26880851,-0.2161439,0.2,1,4.5084,-6.0116
7,2163.946776,6.26880851,-0.2161439,0.2,1,4.5084,-6.0116
8,2163.946776,6.26880851,-0.2161439,0.1,1,4.5084,-6.0116
9,2163.946776,6.26880851,-0.2161439,0.2,1,4.5084,-6.0116
10,2163.946776,6.26880851,-0.2161439,0.1,1,4.5084,-6.0116
11,2163.946776,6.26880851,-0.2161439,0.1,0,4.5084,-6.0116
12,266.4562239,3.99313675,-0.38600287,0.1,1,4.5084,-6.0116
13,212.7932729,3.47154903,-0.3258523,0.3,0,4.0374,-4.2964
14,926.1802712,4.46209203,-0.20053974,0.5,0,4.4718,-5.0078
15,178.9307637,4.92861465,-0.63777014,0.2,0,4.6155,-6.2945
16,404.9692122,3.39019741,-0.255096,0.2,0,4.6155,-6.2945
17,190.9797059,3.69278884,-0.52730469,0.1,0,4.9396,-8.1838
18,80.51179925,26.98331005,-2.02202808,0.2,1,4.5991,-6.6706
19,268.5564351,3.11432843,-0.29411156,0.2,0,4.3379,-3.8214
20,364.0247807,3.55987361,-0.27263121,0.1,0,4.3286,-4.0922
21,418.5941897,3.17038578,-0.18964025,0.1,0,4.6008,-7.2732
22,1337.547184,4.48953501,-0.14749529,0.1,0,4.6238,-7.4847
23,1005.80672,4.6473994,-0.20336143,0.1,0,4.3744,-4.5257
24,170.5253403,2.68833651,-0.40080716,0.1,0,4.4388,-4.0872
25,293.5715132,3.52261899,-0.35122247,0.1,0,4.582,-5.0903
26,209.8555358,2.95281334,-0.36787496,0.2,0,4.4834,-4.5431
27,209.8555358,2.95281334,-0.36787496,0.2,1,4.4834,-4.5431
28,526.1392688,3.89232121,-0.22587084,0.1,0,4.4772,-4.7206
29,91.35276617,6.99605268,-1.22937669,0.2,0,4.5959,-6.4497
30,170.1330787,3.27815866,-0.48744214,0.2,0,4.5463,-5.2287
31,182.6306309,3.12897883,-0.46391125,0.1,0,4.7342,-6.2674
32,196.0564703,3.0067167,-0.38499624,0.2,0,4.5225,-4.9401
33,72.7907469,3.67065539,-1.09878979,0.1,0,4.342,-5.1193
34,700.0636452,4.10607389,-0.21392785,0.2,0,4.5202,-4.8896
35,224.716279,3.11648501,-0.35982064,0.2,0,4.4747,-4.8698
36,196.0564703,3.0067167,-0.38499624,0.2,0,4.5225,-4.9401
37,337.6684758,3.62726466,-0.32083172,0.3,0,4.5128,-4.9918
38,337.6684758,3.62726466,-0.32083172,0.3,0,4.5128,-4.9918
39,337.6684758,3.62726466,-0.32083172,0.3,0,4.5128,-4.9918
40,66.6488871,135.4825559,-2.88622709,0.2,0,4.9396,-8.1838
41,337.6684758,3.62726466,-0.32083172,0.3,0,4.5128,-4.9918
42,91.35276617,6.99605268,-1.22937669,0.2,0,4.5959,-6.4497
43,170.5253403,2.68833651,-0.40080716,0.1,0,4.4388,-4.0872
44,209.8555358,2.95281334,-0.36787496,0.2,0,4.4834,-4.5431
45,285.8797853,3.52138815,-0.3193688,0.3,0,4.5018,-5.6123
46,93.71042027,3.6575094,-0.88246833,0.4,0,4.5018,-5.6123
47,109.7324294,2.25025802,-0.41297463,0.2,0,4.0322,-3.0833
48,880.2844971,4.59642097,-0.21824277,0.1,1,4.4299,-4.992
49,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
50,285.8797853,3.52138815,-0.3193688,0.3,0,4.5018,-5.6123
51,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
52,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
53,109.7324294,2.25025802,-0.41297463,0.2,1,4.0322,-3.0833
54,190.9797059,3.69278884,-0.52730469,0.1,0,4.9396,-8.1838
55,484.7529797,3.93933286,-0.25998833,0.1,1,4.4207,-5.1435
56,863.0501053,4.38560239,-0.14812185,0.1,0,3.7301,-2.7758
57,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
58,574.0200612,3.86373895,-0.16318776,0.2,0,3.9678,-3.251
59,319.9788466,3.67313408,-0.30651323,0.2,1,4.3802,-4.7903
60,644.3567687,3.92045786,-0.21444786,0.1,0,4.6355,-5.2776
61,484.7529797,3.93933286,-0.25998833,0.1,1,4.4207,-5.1435
62,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
63,574.0200612,3.86373895,-0.16318776,0.2,0,3.9678,-3.251
64,408.2772475,3.81808285,-0.27210505,0.1,0,4.4911,-5.7928
65,408.2772475,3.81808285,-0.27210505,0.1,0,4.4911,-5.7928
66,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
67,755.1038099,4.39496421,-0.21778831,0.1,1,4.3383,-4.5018
68,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
