species_index,htcalc_mapls,balmod_check,balmod_b1,balmod_b2,balmod_b3,balmod_b4,balmod_c1,balmod_c2,balmod_bamax1
1,74,0.33,1.78,3.0,16.2,0.227,0.402,0.23,225.0
2,108,0.33,1.78,3.0,16.2,0.227,0.402,0.23,225.0
3,95,0.5,0.719,10.9,1688.0,0.375,2.03,-0.354,300.0
4,95,0.09,2.31,1.67,3.94,0.0,2.03,-0.354,350.0
5,104,0.28,1.36,2.64,11.5,0.386,0.097,0.755,300.0
6,68,0.1,5.0,1.01,3.64,0.0,1.507,-0.52,350.0
7,63,0.1,5.0,1.01,3.64,0.0,1.507,-0.52,350.0
8,55,0.03,1.76,1.51,2.63,0.233,0.927,-0.299,325.0
9,70,0.21,3.8,1.52,6.54,0.348,0.522,0.173,300.0
10,59,0.33,1.78,3.0,16.2,0.227,0.039,1.0,250.0
11,126,0.02,2.54,1.14,2.26,0.0,0.526,0.136,350.0
12,127,0.0,1.27,1.34,1.05,0.0,0.046,1.0,300.0
13,58,0.28,1.36,2.64,11.5,0.386,0.097,0.755,300.0
14,58,0.28,1.36,2.64,11.5,0.386,0.097,0.755,300.0
15,14,0.01,5.0,0.568,1.83,0.063,0.26,0.419,250.0
16,15,0.01,5.0,0.568,1.83,0.063,0.26,0.419,250.0
17,28,0.33,1.4,2.03,10.4,0.694,0.181,0.445,250.0
18,4,0.33,1.4,2.03,10.4,0.694,0.181,0.445,250.0
19,1,0.33,1.4,2.03,10.4,0.694,0.181,0.445,250.0
20,35,0.33,1.4,2.03,10.4,0.694,0.181,0.445,250.0
21,53,0.16,5.0,0.97,4.4,0.268,0.1,0.629,250.0
22,53,0.16,5.0,0.97,4.4,0.268,0.1,0.629,250.0
23,53,0.16,5.0,0.97,4.4,0.268,0.1,0.629,250.0
24,5,0.49,0.679,10.97,1568.0,0.483,0.202,0.454,250.0
25,51,0.43,1.59,3.27,26.7,0.412,0.353,0.182,250.0
26,2,0.33,1.17,4.59,29.19,0.43,0.142,0.524,250.0
27,2,0.33,1.17,4.59,29.19,0.43,0.142,0.524,250.0
28,11,0.33,1.17,4.59,29.19,0.43,0.142,0.524,250.0
29,12,0.31,5.0,1.38,8.26,0.326,0.453,0.34,250.0
30,41,0.01,1.98,0.974,1.64,0.0,0.051,1.0,250.0
31,44,0.01,1.98,0.974,1.64,0.0,0.051,1.0,250.0
32,36,0.01,1.98,0.974,1.64,0.0,0.051,1.0,250.0
33,36,0.01,1.98,0.974,1.64,0.0,0.051,1.0,250.0
34,38,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
35,49,0.01,1.98,0.974,1.64,0.0,1.365,-0.208,250.0
36,36,0.01,1.98,0.974,1.64,0.0,1.365,-0.208,250.0
37,10,0.24,1.66,2.62,9.97,0.515,0.28,0.228,250.0
38,10,0.24,1.66,2.62,9.97,0.515,0.28,0.228,250.0
39,10,0.24,1.66,2.62,9.97,0.515,0.28,0.228,250.0
40,32,0.68,1.13,4.64,164.6,0.648,0.093,1.0,250.0
41,32,0.59,1.08,6.6,346.09,0.395,0.209,0.543,250.0
42,25,0.59,1.08,6.6,346.09,0.395,0.209,0.543,250.0
43,8,0.07,1.98,1.75,3.67,0.232,0.11,0.678,275.0
44,16,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
45,16,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
46,16,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
47,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
48,50,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
49,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
50,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
51,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
52,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
53,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
54,53,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
55,19,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
56,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
57,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
58,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
59,27,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
60,25,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
61,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
62,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
63,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
64,50,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
65,50,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
66,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
67,50,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
68,58,0.01,1.98,0.974,1.64,0.0,0.278,0.365,275.0
