species_index,code_alpha,code_fia,code_plants,estab_min_ht,estab_hht_max,dg_resid_sd,bark_intercept,bark_slope,varmrt_varadj,sdi_max_default,dbh_min,crown_bcr1,crown_bcr2,crown_bcr3,crown_bcr4,mort_bkgd_intercept,mort_bkgd_dbh
1,JP,105,PIBA2,0.5,20.0,0.68835,0.0,0.91,0.3,356.0,5.0,6.64,0.0135,3.2,-0.0518,5.1676998,-0.0077681
2,SC,130,PISY,0.5,20.0,0.68835,0.0,0.91,0.3,408.0,5.0,6.64,0.0135,3.2,-0.0518,5.5876999,-0.005348
3,RN,125,PIRE,0.5,20.0,0.60636,0.0,0.91,0.3,505.0,5.0,5.35,0.0053,1.528,-0.033,5.1676998,-0.0077681
4,RP,125,PIRE,0.5,20.0,0.60636,0.0,0.91,0.3,505.0,5.0,5.35,0.0053,1.528,-0.033,5.1676998,-0.0077681
5,WP,129,PIST,0.5,20.0,0.70830,0.0,0.91,0.5,529.0,5.0,6.79,0.0058,7.59,-0.0103,5.5876999,-0.005348
6,WS,094,PIGL,0.5,20.0,0.70822,0.0,0.95,0.5,412.0,5.0,7.84,0.0057,1.272,-0.142,5.1676998,-0.0077681
7,NS,091,PIAB,0.5,20.0,0.70822,0.0,0.95,0.5,412.0,5.0,7.84,0.0057,1.272,-0.142,5.1676998,-0.0077681
8,BF,012,ABBA,0.5,20.0,0.61382,0.0,0.94,0.9,655.0,5.0,5.63,0.0047,3.523,-0.0689,5.1676998,-0.0077681
9,BS,095,PIMA,0.5,20.0,0.65838,0.0,0.94,0.7,500.0,5.0,5.54,0.0072,4.2,-0.053,5.1676998,-0.0077681
10,TA,071,LALA,0.5,20.0,0.76397,0.0,0.94,0.1,387.0,5.0,6.0,0.0053,0.431,-0.0012,5.1676998,-0.0077681
11,WC,241,THOC2,0.5,20.0,0.65362,0.0,0.95,0.7,771.0,5.0,5.71,0.0077,2.29,-0.253,5.1676998,-0.0077681
12,EH,261,TSCA,0.5,20.0,0.55220,0.0,0.91,0.7,510.0,5.0,5.71,0.0077,2.29,-0.253,5.1676998,-0.0077681
13,OS,299,2TN,0.5,20.0,0.60636,0.0,0.91,0.3,354.0,5.0,5.71,0.0077,2.29,-0.253,5.5876999,-0.005348
14,RC,068,JUVI,0.5,20.0,0.60928,0.0,0.91,0.2,354.0,5.0,5.71,0.0077,2.29,-0.253,5.5876999,-0.005348
15,BA,543,FRNI,0.5,20.0,0.69442,0.0,0.94,0.3,423.0,5.0,4.5,0.0032,0.795,-0.105,5.9617,-0.0340128
16,GA,544,FRPE,0.5,20.0,0.69442,0.0,0.94,0.7,414.0,5.0,4.5,0.0032,0.795,-0.105,5.1676998,-0.0077681
17,EC,742,PODE3,0.5,20.0,0.66929,0.0,0.93,0.1,648.0,5.0,4.35,0.0046,1.82,-0.274,5.9617,-0.0340128
18,SV,317,ACSA2,0.5,20.0,0.82798,0.0,0.94,0.7,590.0,5.0,4.85,0.005,9.81,-0.0099,5.1676998,-0.0077681
19,RM,316,ACRU,0.5,20.0,0.76018,0.0,0.94,0.85,421.0,5.0,4.35,0.0046,1.82,-0.274,5.1676998,-0.0077681
20,BC,762,PRSE2,0.5,20.0,0.76018,0.0,0.94,0.4,384.0,5.0,4.35,0.0046,1.82,-0.274,5.9617,-0.0340128
21,AE,972,ULAM,0.5,20.0,0.73627,0.0,0.93,0.5,282.0,5.0,4.4,0.0025,1.0,-0.094,5.1676998,-0.0077681
22,RL,975,ULRU,0.5,20.0,0.73627,0.0,0.93,0.7,227.0,5.0,4.4,0.0025,1.0,-0.094,5.1676998,-0.0077681
23,RE,977,ULTH,0.5,20.0,0.73627,0.0,0.93,0.5,282.0,5.0,4.4,0.0025,1.0,-0.094,5.1676998,-0.0077681
24,YB,371,BEAL2,0.5,20.0,0.74682,0.0,0.94,0.5,369.0,5.0,4.18,0.0025,1.41,-0.512,5.9617,-0.0340128
25,BW,951,TIAM,0.5,20.0,0.87903,0.0,0.92,0.7,526.0,5.0,4.44,0.0037,2.09,-0.065,5.1676998,-0.0077681
26,SM,318,ACSA3,0.5,20.0,0.75768,0.0,0.94,0.9,371.0,5.0,3.4,0.0066,2.87,-0.434,5.1676998,-0.0077681
