species_index,code_alpha,code_fia,code_plants
1,JP,105,PIBA2
2,SC,130,PISY
3,RN,125,PIRE
4,RP,125,PIRE
5,WP,129,PIST
6,WS,094,PIGL
7,NS,091,PIAB
8,BF,012,ABBA
9,BS,095,PIMA
10,TA,071,LALA
11,WC,241,THOC2
12,EH,261,TSCA
13,OS,299,2TN
14,RC,068,JUVI
15,BA,543,FRNI
16,GA,544,FRPE
17,EC,742,PODE3
18,SV,317,ACSA2
19,RM,316,ACRU
20,BC,762,PRSE2
21,AE,972,ULAM
22,RL,975,ULRU
23,RE,977,ULTH
24,YB,371,BEAL2
25,BW,951,TIAM
26,SM,318,ACSA3
27,BM,314,ACNI5
28,AB,531,FAGR
29,WA,541,FRAM2
30,WO,802,QUAL
31,SW,804,QUBI
32,BR,823,QUMA2
33,CK,826,QUMU
34,RO,833,QURU
35,BO,837,QUVE
36,NP,809,QUEL
37,BH,402,CACO15
38,PH,403,CAGL8
39,SH,407,CAOV2
40,BT,743,POGR4
41,QA,746,POTR5
42,BP,741,POBA2
43,PB,375,BEPA
44,,,
45,BN,601,JUCI
46,WN,602,JUNI
47,HH,701,OSVI
48,BK,901,ROPS
49,OH,998,2TB
50,BE,313,ACNE2
51,ST,315,ACPE
52,MM,319,ACSP2
53,AH,391,CACA18
54,AC,421,CADE12
55,HK,462,CEOC
56,DW,491,COFL2
57,HT,500,CRATA
58,AP,660,MALUS
59,BG,693,NYSY
60,SY,731,PLOC
61,PR,761,PRPE2
62,CC,763,PRVI
63,PL,760,PRUNU
64,WI,920,SALIX
65,BL,922,SANI
66,DM,923,SAERF
67,SS,931,SAAL5
68,MA,935,SOAM3
