species,equation_default,equation_open
BF,01201,01203
TA,07101,07103
WS,09401,09403
RS,09701,09701
NS,09101,09101
BS,09501,09503
RN,12501,12503
WP,12901,12903
LP,13101,13101
VP,13201,13201
WC,24101,24103
RC,06801,06801
EH,26101,26103
JP,10501,10503
SP,11001,11001
PP,12601,12601
PD,12801,12801
SC,13001,13001
RM,31601,31603
SM,31801,31803
SV,31701,31701
YB,37101,37102
SB,37201,37201
RB,37301,37301
PB,37501,37503
PH,40301,40301
SH,40701,40703
MH,40901,40901
AB,53101,53101
WA,54101,54103
BA,54301,54302
GA,54401,54403
YP,62101,62101
SU,61101,61101
CT,65101,65101
QA,74601,74603
BP,74101,74102
EC,74201,74203
BT,74301,74303
BC,76201,76203
WO,80201,80203
BR,82301,82303
CK,82601,82601
PO,83501,83501
SO,80601,80601
QI,81701,81701
WK,82701,82701
PN,83001,83001
CO,83201,83201
RO,83301,83303
SK,81201,81201
BO,83701,83703
HK,46201,46201
PS,52101,52101
HY,59101,59101
WN,60201,60203
MV,65301,65301
WT,69101,69101
BG,69301,69301
SD,71101,71101
SY,73101,73101
WL,83101,83101
BK,90101,90101
SS,93101,93101
BW,95101,95103
AE,97201,97203
RL,97501,97501
BE,31301,31301
SE,35601,35601
AH,39101,39101
DW,49101,49101
HH,70101,70102
PR,76102,76102
