ffe_dead_ft,fuel_name,fc_lt025,fc_025_1,fc_1_3,fc_3_6,fc_6_12,fc_12_20,fc_20_35,fc_35_50,fc_gt50,litter,duff
1,ftgrp1,0.81,1.19,1.66,0.73,2.24,2.01,0.0,0.0,0.0,3.06,11.2
2,ftgrp2,0.81,1.19,1.66,0.73,2.24,2.01,0.0,0.0,0.0,3.06,11.2
3,ftgrp3,0.81,1.19,1.66,0.73,2.24,2.01,0.0,0.0,0.0,3.06,11.2
4,ftgrp4,0.37,0.59,1.85,0.82,2.47,5.4,0.0,0.0,0.0,3.36,48.56
5,ftgrp5,0.5,0.68,1.77,1.52,3.17,1.64,0.0,0.0,0.0,1.91,22.14
6,ftgrp6,0.31,0.65,1.55,1.45,2.82,1.08,0.0,0.0,0.0,1.57,25.87
7,ftgrp7,0.21,1.08,7.32,0.53,0.57,0.0,0.0,0.0,0.0,4.21,13.94
8,ftgrp8,0.21,1.08,7.32,0.53,0.57,0.0,0.0,0.0,0.0,4.21,13.94
9,ftgrp9,0.21,1.08,7.32,0.53,0.57,0.0,0.0,0.0,0.0,4.21,13.94
10,ftgrp10,0.34,0.5,0.56,0.08,0.0,0.0,0.0,0.0,0.0,0.6,8.11
11,ftgrp11,0.34,0.5,0.56,0.08,0.0,0.0,0.0,0.0,0.0,0.6,8.11
12,ftgrp12,0.34,0.5,0.56,0.08,0.0,0.0,0.0,0.0,0.0,0.6,8.11
13,ftgrp13,0.23,0.82,2.55,0.83,2.11,1.2,0.0,0.0,0.0,4.06,22.63
14,ftgrp14,0.26,0.84,1.15,0.49,0.5,4.64,0.0,0.0,0.0,3.12,17.56
15,ftgrp15,0.26,0.84,1.15,0.49,0.5,4.64,0.0,0.0,0.0,3.12,17.56
16,ftgrp16,0.31,0.72,2.09,0.86,1.49,2.34,0.0,0.0,0.0,2.01,7.64
17,ftgrp17,0.32,1.13,2.51,0.53,0.98,0.52,0.0,0.0,0.0,1.75,7.31
18,ftgrp18,0.17,0.77,1.43,0.45,0.54,0.06,0.0,0.0,0.0,1.35,3.43
19,ftgrp19,0.32,0.75,1.31,0.64,2.1,0.98,0.0,0.0,0.0,1.07,15.21
20,ftgrp20,0.32,0.75,1.31,0.64,2.1,0.98,0.0,0.0,0.0,1.07,15.21
21,ftgrp21,0.32,0.75,1.31,0.64,2.1,0.98,0.0,0.0,0.0,1.07,15.21
22,ftgrp22,0.17,0.68,1.65,0.57,1.2,1.66,0.0,0.0,0.0,0.7,5.83
23,ftgrp23,0.17,0.68,1.65,0.57,1.2,1.66,0.0,0.0,0.0,0.7,5.83
24,ftgrp24,0.22,2.15,0.85,0.03,0.05,0.21,0.0,0.0,0.0,0.36,1.38
25,ftgrp25,0.39,0.9,2.88,0.95,2.25,1.96,0.0,0.0,0.0,2.39,13.75
26,ftgrp26,0.37,1.03,2.61,0.91,1.46,1.57,0.0,0.0,0.0,2.28,16.74
27,ftgrp27,0.33,0.73,1.25,0.54,0.92,1.99,0.0,0.0,0.0,1.71,8.27
28,ftgrp28,0.48,1.66,2.8,0.87,1.7,2.97,0.0,0.0,0.0,2.72,19.61
29,ftgrp29,0.48,1.66,2.8,0.87,1.7,2.97,0.0,0.0,0.0,2.72,19.61
30,ftgrp30,0.52,0.76,2.57,1.15,0.94,0.34,0.0,0.0,0.0,1.34,10.36
31,ftgrp31,0.33,1.08,1.47,0.24,0.49,0.53,0.0,0.0,0.0,1.01,1.07
