model,name,sav_1hr,sav_lwoody,load_1hr,load_10hr,load_100hr,load_lwoody,load_lherb,depth,mext
1,short_grass,3500,1500,0.03398,0.0,0.0,0.0,0.0,1.0,0.12
2,timber_grass_understory,3000,1500,0.09183,0.04591,0.02296,0.0,0.02296,1.0,0.15
3,tall_grass,1500,1500,0.13820,0.0,0.0,0.0,0.0,2.5,0.25
4,chaparral,2000,1500,0.23003,0.18411,0.09183,0.23003,0.0,6.0,0.20
5,brush,2000,1500,0.04591,0.02296,0.0,0.09183,0.0,2.0,0.20
6,dormant_brush_hwd_slash,1750,1500,0.06887,0.11478,0.09183,0.0,0.0,2.5,0.25
7,southern_rough,1750,1550,0.05188,0.08586,0.06887,0.01699,0.0,2.5,0.40
8,closed_timber_litter,2000,1500,0.06887,0.04591,0.11478,0.0,0.0,0.2,0.30
9,hardwood_litter,2500,1500,0.13407,0.01882,0.00689,0.0,0.0,0.2,0.25
10,timber_litter_understory,2000,1500,0.13820,0.09183,0.23003,0.09183,0.0,1.0,0.25
11,light_logging_slash,1500,1500,0.06887,0.20707,0.25298,0.0,0.0,1.0,0.15
12,medium_logging_slash,1500,1500,0.18411,0.64417,0.75895,0.0,0.0,2.3,0.20
13,heavy_logging_slash,1500,1500,0.32185,1.05785,1.28788,0.0,0.0,3.0,0.25
