species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp
1,8,20.6,6,8.0,4,1,10,0.07,1.0,50.0,3
2,10,30.6,1,1.0,3,3,10,0.35,1.0,50.0,1
3,6,23.1,6,8.0,4,1,4,0.07,1.0,50.0,5
4,9,23.1,6,8.0,4,1,13,0.07,1.0,50.0,5
5,7,23.1,6,8.0,4,1,8,0.07,1.0,50.0,5
6,9,23.7,6,8.0,4,1,11,0.07,1.0,50.0,5
7,9,23.1,6,8.0,4,1,13,0.07,1.0,50.0,5
8,3,25.6,6,4.0,4,1,22,0.07,1.0,50.0,4
9,5,21.2,6,2.0,4,2,24,0.21,1.0,50.0,4
10,3,29.3,6,3.0,4,1,30,0.07,1.0,50.0,4
11,3,28.1,6,3.0,4,1,12,0.07,1.0,50.0,4
12,11,18.1,1,2.0,2,3,4,0.35,1.0,50.0,1
13,11,19.3,1,3.0,2,3,4,0.35,1.0,50.0,1
14,14,27.4,1,5.0,2,3,17,0.35,1.0,50.0,1
15,14,27.4,1,5.0,2,3,12,0.35,1.0,50.0,1
16,12,23.7,3,3.0,4,3,18,0.35,1.0,50.0,3
17,12,26.2,3,3.0,4,3,19,0.35,1.0,50.0,3
18,3,25.6,6,2.0,4,1,9,0.07,1.0,50.0,4
19,3,24.9,6,2.0,4,1,19,0.07,1.0,50.0,4
20,3,29.3,6,4.0,4,1,16,0.07,1.0,50.0,4
21,3,28.1,6,3.0,4,1,19,0.07,1.0,50.0,4
22,3,29.3,6,2.0,4,1,24,0.07,1.0,50.0,4
23,3,31.8,6,2.0,4,1,35,0.07,1.0,50.0,4
24,3,25.6,6,3.0,4,1,9,0.07,1.0,50.0,4
25,3,25.6,6,2.0,4,1,9,0.07,1.0,50.0,1
26,19,30.6,5,1.0,4,2,7,0.21,1.0,50.0,7
27,26,34.9,5,1.0,4,2,12,0.21,1.0,50.0,9
28,27,32.4,5,1.0,4,2,14,0.21,1.0,50.0,9
29,18,27.4,5,1.0,4,2,10,0.21,1.0,50.0,7
30,24,34.3,6,1.0,4,1,10,0.07,1.0,50.0,7
31,24,37.4,6,1.0,4,1,9,0.07,1.0,50.0,7
32,24,29.9,6,1.0,4,1,8,0.07,1.0,50.0,7
33,43,29.9,6,1.0,4,1,6,0.07,1.0,50.0,7
34,24,29.9,6,1.0,4,1,12,0.07,1.0,50.0,7
35,39,39.9,2,1.0,4,3,23,0.35,1.0,50.0,9
36,38,41.2,2,1.0,4,3,16,0.35,1.0,50.0,9
37,39,38.7,2,1.0,4,3,22,0.35,1.0,50.0,9
38,39,39.9,2,1.0,4,3,19,0.35,1.0,50.0,9
39,39,39.9,2,1.0,4,3,22,0.35,1.0,50.0,9
40,28,34.9,4,1.0,4,2,4,0.21,1.0,50.0,9
41,29,33.1,5,1.0,4,2,21,0.21,1.0,50.0,8
42,29,34.3,5,1.0,4,2,21,0.21,1.0,50.0,8
43,15,28.1,5,1.0,4,2,14,0.21,1.0,50.0,8
44,16,33.1,5,1.0,4,2,18,0.21,1.0,50.0,8
45,16,33.1,5,1.0,4,2,16,0.21,1.0,50.0,8
46,44,24.9,4,1.0,4,2,20,0.21,1.0,50.0,8
47,44,28.7,5,1.0,4,2,15,0.21,1.0,50.0,8
48,44,27.4,4,1.0,4,2,15,0.21,1.0,50.0,8
49,41,21.8,6,1.0,4,1,23,0.07,1.0,50.0,6
50,42,19.3,6,1.0,4,1,19,0.07,1.0,50.0,6
51,17,23.1,6,1.0,4,1,19,0.07,1.0,50.0,6
52,40,22.5,6,1.0,4,1,18,0.07,1.0,50.0,6
53,17,23.1,6,1.0,4,1,29,0.07,1.0,50.0,6
54,20,29.3,4,1.0,2,2,9,0.21,1.0,50.0,8
55,30,37.4,3,1.0,2,3,19,0.35,1.0,50.0,9
56,32,36.2,3,1.0,2,3,21,0.35,1.0,50.0,9
57,33,37.4,3,1.0,2,3,21,0.35,1.0,50.0,9
58,30,37.4,3,1.0,2,3,23,0.35,1.0,50.0,9
59,30,37.4,3,1.0,2,3,24,0.35,1.0,50.0,9
60,34,37.4,4,1.0,2,2,19,0.21,1.0,50.0,9
61,34,34.9,4,1.0,2,2,20,0.21,1.0,50.0,9
62,34,34.9,4,1.0,2,2,15,0.21,1.0,50.0,9
63,36,36.2,4,1.0,2,2,20,0.21,1.0,50.0,9
64,30,35.6,3,1.0,2,3,28,0.35,1.0,50.0,9
65,30,39.9,3,1.0,2,3,24,0.35,1.0,50.0,9
66,30,37.4,3,1.0,2,3,25,0.35,1.0,50.0,9
67,34,34.9,4,1.0,2,2,21,0.21,1.0,50.0,9
68,34,32.4,4,1.0,2,2,23,0.21,1.0,50.0,9
69,35,34.9,4,1.0,2,2,24,0.21,1.0,50.0,9
70,34,38.0,4,1.0,2,2,23,0.21,1.0,50.0,9
71,44,28.7,5,1.0,4,2,19,0.21,1.0,50.0,8
72,44,28.7,5,1.0,4,2,15,0.21,1.0,50.0,8
73,44,28.7,5,1.0,4,2,29,0.21,1.0,50.0,8
74,24,29.9,6,1.0,4,1,29,0.07,1.0,50.0,7
75,55,30.6,4,1.0,4,2,15,0.21,1.0,50.0,8
76,44,28.7,4,1.0,4,3,20,0.35,1.0,50.0,8
77,44,28.7,4,3.0,4,2,21,0.21,1.0,50.0,8
78,45,22.5,4,1.0,4,2,20,0.21,1.0,50.0,8
79,46,31.8,4,1.0,2,2,20,0.21,1.0,50.0,8
80,44,28.7,5,1.0,1,2,16,0.21,1.0,50.0,8
81,44,28.7,4,1.0,4,2,18,0.21,1.0,50.0,8
82,44,28.7,4,1.0,4,2,19,0.21,1.0,50.0,8
83,58,29.3,4,1.0,2,2,22,0.21,1.0,50.0,8
84,59,28.7,3,1.0,4,3,9,0.35,1.0,50.0,8
85,59,28.7,3,1.0,4,3,18,0.35,1.0,50.0,8
86,44,28.7,5,1.0,4,2,15,0.21,1.0,50.0,8
87,44,28.7,5,1.0,4,2,29,0.21,1.0,50.0,8
88,60,28.7,5,1.0,4,2,12,0.21,1.0,50.0,8
89,34,34.9,4,1.0,2,2,20,0.21,1.0,50.0,9
90,48,41.2,2,1.0,1,3,28,0.35,1.0,50.0,8
91,65,22.5,6,1.0,4,1,19,0.07,1.0,50.0,6
92,67,26.2,4,1.0,2,2,14,0.21,1.0,50.0,8
93,25,20.0,6,1.0,4,1,19,0.07,1.0,50.0,8
94,25,20.0,6,1.0,4,1,29,0.07,1.0,50.0,8
95,21,28.7,5,1.0,4,1,18,0.07,1.0,50.0,8
96,21,28.7,5,1.0,4,1,10,0.07,1.0,50.0,8
97,22,29.9,5,1.0,4,1,11,0.07,1.0,50.0,8
98,49,28.7,5,1.0,4,2,24,0.21,1.0,50.0,8
99,50,30.6,5,1.0,4,2,13,0.21,1.0,50.0,7
100,51,30.6,5,1.0,4,2,24,0.21,1.0,50.0,7
101,44,28.7,5,1.0,4,2,29,0.21,1.0,50.0,8
102,44,28.7,5,1.0,4,2,29,0.21,1.0,50.0,8
103,53,28.7,4,1.0,4,2,9,0.21,1.0,50.0,8
104,56,28.7,5,1.0,4,2,20,0.21,1.0,50.0,8
105,57,28.7,5,1.0,4,2,17,0.21,1.0,50.0,8
106,47,28.7,4,1.0,4,2,16,0.21,1.0,50.0,8
107,63,29.3,4,1.0,2,2,29,0.21,1.0,50.0,8
108,61,29.3,4,1.0,2,2,24,0.21,1.0,50.0,1
