species_index,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,htdbh_iwykca,htdbh_ht1,htdbh_ht2
1,2163.946776,6.26880851,-0.2161439,0.1,1,4.5084,-6.0116
2,2163.946776,6.26880851,-0.2161439,0.1,1,4.5084,-6.0116
3,2163.946776,6.26880851,-0.2161439,0.2,1,4.5084,-6.0116
4,2163.946776,6.26880851,-0.2161439,0.2,1,4.5084,-6.0116
5,2163.946776,6.26880851,-0.2161439,0.2,1,4.5084,-6.0116
6,2163.946776,6.26880851,-0.2161439,0.2,1,4.5084,-6.0116
7,2163.946776,6.26880851,-0.2161439,0.2,1,4.5084,-6.0116
8,266.4562239,3.99313675,-0.38600287,0.1,1,4.5084,-6.0116
9,2108.844224,5.65948135,-0.18563136,0.4,1,4.609,-6.1896
10,243.860648,4.28460566,-0.47130185,0.5,0,4.6897,-6.8801
11,926.1802712,4.46209203,-0.20053974,0.5,0,4.4718,-5.0078
12,2163.946776,6.26880851,-0.2161439,0.1,0,4.5084,-6.0116
13,266.4562239,3.99313675,-0.38600287,0.1,0,4.5084,-6.0116
14,926.1802712,4.46209203,-0.20053974,0.5,0,4.4718,-5.0078
15,926.1802712,4.46209203,-0.20053974,0.5,0,4.4718,-5.0078
16,266.4562239,3.99313675,-0.38600287,0.1,1,4.5084,-6.0116
17,266.4562239,3.99313675,-0.38600287,0.1,0,4.5084,-6.0116
18,208.7773185,3.72806565,-0.410875,0.5,0,4.3898,-5.7183
19,266.4562239,3.99313675,-0.38600287,0.1,0,4.5084,-6.0116
20,444.0921666,4.11876312,-0.30617043,0.4,0,4.6271,-6.4095
21,208.7773185,3.72806565,-0.410875,0.5,0,4.3898,-5.7183
22,208.7773185,3.72806565,-0.410875,0.5,1,4.3898,-5.7183
23,142.7468108,3.97260802,-0.5870983,0.5,0,4.5457,-6.8
24,142.7468108,3.97260802,-0.5870983,0.5,0,4.5457,-6.8
25,212.7932729,3.47154903,-0.3258523,0.3,0,4.0374,-4.2964
26,268.5564351,3.11432843,-0.29411156,0.2,0,4.3379,-3.8214
27,209.8555358,2.95281334,-0.36787496,0.2,0,4.4834,-4.5431
28,209.8555358,2.95281334,-0.36787496,0.2,1,4.4834,-4.5431
29,80.51179925,26.98331005,-2.02202808,0.2,1,4.5991,-6.6706
30,170.5253403,2.68833651,-0.40080716,0.1,0,4.4388,-4.0872
31,68.92234069,43.33832185,-2.44448482,0.1,0,4.4522,-4.5758
32,170.5253403,2.68833651,-0.40080716,0.1,0,4.4388,-4.0872
33,170.5253403,2.68833651,-0.40080716,0.1,0,4.4388,-4.0872
34,170.5253403,2.68833651,-0.40080716,0.1,0,4.4388,-4.0872
35,337.6684758,3.62726466,-0.32083172,0.3,0,4.5128,-4.9918
36,337.6684758,3.62726466,-0.32083172,0.3,0,4.5128,-4.9918
37,337.6684758,3.62726466,-0.32083172,0.3,0,4.5128,-4.9918
38,337.6684758,3.62726466,-0.32083172,0.3,0,4.5128,-4.9918
39,337.6684758,3.62726466,-0.32083172,0.3,0,4.5128,-4.9918
40,526.1392688,3.89232121,-0.22587084,0.1,0,4.4772,-4.7206
41,251.4042514,3.26919806,-0.35905996,0.2,0,4.4819,-4.5314
42,91.35276617,6.99605268,-1.22937669,0.2,0,4.5959,-6.4497
43,178.9307637,4.92861465,-0.63777014,0.2,0,4.6155,-6.2945
44,404.9692122,3.39019741,-0.255096,0.2,0,4.6155,-6.2945
45,251.4042514,3.26919806,-0.35905996,0.2,0,4.4819,-4.5314
46,625.7696614,3.87320571,-0.23349496,0.2,1,4.6892,-4.9605
