row_i,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
1,0.0,1.0,1.0,1.0,7.592,7.592,7.592,7.592,1.0,0.0,7.592,-1.408,-1.408,-1.408,-1.408,-1.408,-1.408,1.592,2.592,2.592,2.592,-1.408,0.592,-1.408,0.592,0.592,1.0,1.0
2,-3.2,0.0,0.0,0.0,9.8,9.8,9.8,9.8,1.0,-3.2,9.8,0.8,0.8,0.8,0.8,0.8,0.8,3.8,4.8,4.8,4.8,0.8,2.8,0.8,2.8,2.8,0.0,1.0
3,-3.2,0.0,0.0,0.0,9.8,9.8,9.8,9.8,1.0,-3.2,9.8,0.8,0.8,0.8,0.8,0.8,0.8,3.8,4.8,4.8,4.8,0.8,2.8,0.8,2.8,2.8,0.0,1.0
4,-3.2,0.0,0.0,0.0,9.8,9.8,9.8,9.8,1.0,-3.2,9.8,0.8,0.8,0.8,0.8,0.8,0.8,3.8,4.8,4.8,4.8,0.8,2.8,0.8,2.8,2.8,0.0,1.0
5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,5.632,3.632,3.632,3.632,18.632,18.632,18.632,18.632,0.0,5.632,18.632,9.632,9.632,9.632,9.632,9.632,9.632,12.632,13.632,13.632,13.632,9.632,11.632,9.632,11.632,11.632,3.632,0.0
10,0.0,1.0,1.0,1.0,7.592,7.592,7.592,7.592,1.0,0.0,7.592,-1.408,-1.408,-1.408,-1.408,-1.408,-1.408,1.592,2.592,2.592,2.592,-1.408,0.592,-1.408,0.592,0.592,1.0,1.0
11,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,3.176,3.176,3.176,3.176,1.0,1.0,3.176,0.0,0.0,0.0,0.0,0.0,0.0,-2.824,-1.824,-1.824,-1.824,0.0,-3.824,0.0,-3.824,-3.824,1.0,1.0
