species_index,code_alpha,code_fia,code_plants,estab_min_ht,estab_hht_max,dg_resid_sd,site_group,bark_intercept,bark_slope,mort_bkgd_intercept,mort_bkgd_dbh,varmrt_varadj,sdi_max_default,crown_bcr1,crown_bcr2,crown_bcr3,crown_bcr4,regent_min_diam,dbh_min
1,BF,012,ABBA,0.33,20.0,0.016,1,0.0,.9349,5.1676998,-0.0077681,0.90,655,5.6300,0.0047,3.5230,-0.0689,0.1,5.0
2,TA,071,LALA,0.5,24.0,0.025,2,0.0,.9349,5.1676998,-0.0077681,0.10,387,6.0000,0.0053,0.4310,-0.0012,0.1,5.0
3,WS,094,PIGL,0.25,18.0,0.025,3,0.0,.956,5.1676998,-0.0077681,0.50,412,7.8400,0.0057,1.2720,-0.1420,0.2,5.0
4,RS,097,PIRU,0.25,16.0,0.022,4,0.0,.9324,5.1676998,-0.0077681,0.80,506,5.5400,0.0072,4.2000,-0.0530,0.2,5.0
5,NS,091,PIAB,0.25,18.0,0.022,4,0.0,.9324,5.1676998,-0.0077681,0.50,412,5.5400,0.0072,4.2000,-0.0530,0.2,5.0
6,BS,095,PIMA,0.25,16.0,0.022,4,0.0,.9324,5.1676998,-0.0077681,0.70,500,5.5400,0.0072,4.2000,-0.0530,0.2,5.0
7,PI,090,PICEA,0.25,16.0,0.022,4,0.0,.9324,5.1676998,-0.0077681,0.50,412,5.5400,0.0072,4.2000,-0.0530,0.2,5.0
8,RN,125,PIRE,0.25,18.0,0.058,5,0.0,.920,5.1676998,-0.0077681,0.30,505,5.5400,0.0072,4.2000,-0.0530,0.1,5.0
9,WP,129,PIST,0.33,20.0,0.071,6,0.0,.920,5.5876999,-0.0053480,0.50,529,6.6400,0.0135,3.2000,-0.0518,0.4,5.0
10,LP,131,PITA,0.25,14.0,0.053,7,0.0,.890,5.5876999,-0.0053480,0.30,480,5.3500,0.0053,1.5280,-0.0330,0.5,5.0
11,VP,132,PIVI2,0.42,14.0,0.036,8,0.0,.964,5.5876999,-0.0053480,0.30,499,6.7900,0.0058,7.5900,-0.0103,0.5,5.0
12,WC,241,THOC2,0.33,16.0,0.019,9,0.0,.950,5.1676998,-0.0077681,0.70,771,5.7100,0.0077,2.2900,-0.2530,0.1,5.0
13,AW,043,CHTH2,0.33,16.0,0.019,9,0.0,.950,5.1676998,-0.0077681,0.50,771,5.7100,0.0077,2.2900,-0.2530,0.1,5.0
14,RC,068,JUVI,0.33,16.0,0.019,9,0.0,.950,5.5876999,-0.0053480,0.20,354,5.7100,0.0077,2.2900,-0.2530,0.5,5.0
15,JU,057,JUNIP,0.33,16.0,0.019,9,0.0,.950,5.5876999,-0.0053480,0.50,354,5.7100,0.0077,2.2900,-0.2530,0.5,5.0
16,EH,261,TSCA,0.25,16.0,0.025,10,0.0,.934,5.1676998,-0.0077681,0.70,510,5.7100,0.0077,2.2900,-0.2530,0.1,5.0
17,HM,260,TSUGA,0.25,16.0,0.025,10,0.0,.934,5.1676998,-0.0077681,0.90,518,5.7100,0.0077,2.2900,-0.2530,0.1,5.0
18,OP,100,PINUS,0.25,16.0,0.036,11,0.0,.964,5.5876999,-0.0053480,0.30,529,4.3500,0.0046,1.8200,-0.2740,0.5,5.0
19,JP,105,PIBA2,0.33,14.0,0.036,11,0.0,.964,5.1676998,-0.0077681,0.30,356,4.3500,0.0046,1.8200,-0.2740,0.1,5.0
20,SP,110,PIEC2,0.25,14.0,0.036,11,0.0,.964,5.5876999,-0.0053480,0.30,490,4.3500,0.0046,1.8200,-0.2740,0.4,5.0
21,TM,123,PIPU5,0.25,16.0,0.036,11,0.0,.964,5.5876999,-0.0053480,0.30,398,4.3500,0.0046,1.8200,-0.2740,0.5,5.0
22,PP,126,PIRI,0.42,18.0,0.036,11,0.0,.964,5.5876999,-0.0053480,0.30,398,4.3500,0.0046,1.8200,-0.2740,0.5,5.0
23,PD,128,PISE,0.25,12.0,0.036,11,0.0,.964,5.5876999,-0.0053480,0.30,310,4.3500,0.0046,1.8200,-0.2740,0.5,5.0
24,SC,130,PISY,0.33,20.0,0.036,11,0.0,.964,5.5876999,-0.0053480,0.30,408,4.3500,0.0046,1.8200,-0.2740,0.5,5.0
25,OS,299,2TN,0.25,16.0,0.036,11,0.0,.964,9.6942997,-0.0127328,0.30,354,4.3500,0.0046,1.8200,-0.2740,0.3,5.0
26,RM,316,ACRU,1.0,20.0,0.112,12,0.0,.950,5.1676998,-0.0077681,0.85,421,3.4000,0.0066,2.8700,-0.4340,0.2,5.0
27,SM,318,ACSA3,0.25,16.0,0.093,13,0.0,.920,5.1676998,-0.0077681,0.90,371,4.1800,0.0025,1.4100,-0.5120,0.2,5.0
28,BM,314,ACNI5,0.25,16.0,0.093,13,0.0,.920,5.1676998,-0.0077681,0.10,371,4.1800,0.0025,1.4100,-0.5120,0.2,5.0
29,SV,317,ACSA2,0.42,18.0,0.093,13,0.0,.920,5.1676998,-0.0077681,0.70,590,4.1800,0.0025,1.4100,-0.5120,0.2,5.0
30,YB,371,BEAL2,0.42,22.0,0.102,14,0.0,.948,5.9617000,-0.0340128,0.50,369,4.1800,0.0025,1.4100,-0.5120,0.1,5.0
31,SB,372,BELE,0.42,20.0,0.102,14,0.0,.948,5.1676998,-0.0077681,0.30,350,4.1800,0.0025,1.4100,-0.5120,0.1,5.0
32,RB,373,BENI,0.33,18.0,0.102,14,0.0,.948,5.9617000,-0.0340128,0.30,400,4.1800,0.0025,1.4100,-0.5120,0.1,5.0
33,PB,375,BEPA,0.42,18.0,0.074,15,0.0,.948,5.9617000,-0.0340128,0.30,466,5.0000,0.0066,4.9200,-0.0263,0.1,5.0
34,GB,379,BEPO,0.42,18.0,0.074,15,0.0,.948,5.9617000,-0.0340128,0.30,466,5.0000,0.0066,4.9200,-0.0263,0.1,5.0
35,HI,400,CARYA,0.33,14.0,0.029,16,0.0,.900,5.9617000,-0.0340128,0.50,302,4.0000,0.0024,-2.8300,0.0210,0.3,5.0
36,PH,403,CAGL8,0.33,14.0,0.029,16,0.0,.900,5.9617000,-0.0340128,0.50,276,4.0000,0.0024,-2.8300,0.0210,0.3,5.0
37,SL,405,CALA21,0.33,14.0,0.029,16,0.0,.900,5.9617000,-0.0340128,0.90,302,4.0000,0.0024,-2.8300,0.0210,0.3,5.0
38,SH,407,CAOV2,0.33,14.0,0.029,16,0.0,.900,5.9617000,-0.0340128,0.50,302,4.0000,0.0024,-2.8300,0.0210,0.3,5.0
39,MH,409,CAAL27,0.33,18.0,0.029,16,0.0,.900,5.9617000,-0.0340128,0.30,230,4.0000,0.0024,-2.8300,0.0210,0.3,5.0
40,AB,531,FAGR,0.25,14.0,0.054,17,0.0,.950,5.1676998,-0.0077681,0.70,364,6.2100,0.0073,9.9900,-0.0100,0.1,5.0
41,AS,540,FRAXI,0.42,24.0,0.063,18,0.0,.900,5.1676998,-0.0077681,0.30,414,3.7330,0.0040,3.6320,-0.0412,0.2,5.0
42,WA,541,FRAM2,0.42,24.0,0.063,18,0.0,.900,5.9617000,-0.0340128,0.30,408,3.7330,0.0040,3.6320,-0.0412,0.2,5.0
43,BA,543,FRNI,0.33,18.0,0.063,18,0.0,.900,5.9617000,-0.0340128,0.30,423,3.7330,0.0040,3.6320,-0.0412,0.2,5.0
44,GA,544,FRPE,0.42,24.0,0.063,18,0.0,.900,5.1676998,-0.0077681,0.70,414,3.7330,0.0040,3.6320,-0.0412,0.2,5.0
45,PA,545,FRPR,0.42,28.0,0.063,18,0.0,.900,5.1676998,-0.0077681,0.50,408,3.7330,0.0040,3.6320,-0.0412,0.2,5.0
46,YP,621,LITU,0.42,24.0,0.189,19,0.0,.900,5.9617000,-0.0340128,0.30,478,3.7330,0.0040,3.6320,-0.0412,0.2,5.0
47,SU,611,LIST2,0.33,18.0,0.189,19,0.0,.900,5.9617000,-0.0340128,0.30,430,3.7330,0.0040,3.6320,-0.0412,0.2,5.0
48,CT,651,MAAC,0.33,20.0,0.189,19,0.0,.900,5.9617000,-0.0340128,0.50,415,3.7330,0.0040,3.6320,-0.0412,0.2,5.0
49,QA,746,POTR5,0.42,20.0,0.07,20,0.0,.900,5.9617000,-0.0340128,0.10,562,4.5000,0.0032,0.7950,-0.1050,0.3,5.0
50,BP,741,POBA2,0.42,24.0,0.07,20,0.0,.900,5.9617000,-0.0340128,0.10,384,4.5000,0.0032,0.7950,-0.1050,0.2,5.0
51,EC,742,PODE3,0.42,24.0,0.07,20,0.0,.900,5.9617000,-0.0340128,0.10,648,4.5000,0.0032,0.7950,-0.1050,0.1,5.0
52,BT,743,POGR4,0.42,20.0,0.07,20,0.0,.900,5.9617000,-0.0340128,0.10,520,4.5000,0.0032,0.7950,-0.1050,0.2,5.0
