species_index,code_alpha,code_fia,code_plants
1,BF,012,ABBA
2,TA,071,LALA
3,WS,094,PIGL
4,RS,097,PIRU
5,NS,091,PIAB
6,BS,095,PIMA
7,PI,090,PICEA
8,RN,125,PIRE
9,WP,129,PIST
10,LP,131,PITA
11,VP,132,PIVI2
12,WC,241,THOC2
13,AW,043,CHTH2
14,RC,068,JUVI
15,JU,057,JUNIP
16,EH,261,TSCA
17,HM,260,TSUGA
18,OP,100,PINUS
19,JP,105,PIBA2
20,SP,110,PIEC2
21,TM,123,PIPU5
22,PP,126,PIRI
23,PD,128,PISE
24,SC,130,PISY
25,OS,299,2TN
26,RM,316,ACRU
27,SM,318,ACSA3
28,BM,314,ACNI5
29,SV,317,ACSA2
30,YB,371,BEAL2
31,SB,372,BELE
32,RB,373,BENI
33,PB,375,BEPA
34,GB,379,BEPO
35,HI,400,CARYA
36,PH,403,CAGL8
37,SL,405,CALA21
38,SH,407,CAOV2
39,MH,409,CAAL27
40,AB,531,FAGR
41,AS,540,FRAXI
42,WA,541,FRAM2
43,BA,543,FRNI
44,GA,544,FRPE
45,PA,545,FRPR
46,YP,621,LITU
47,SU,611,LIST2
48,CT,651,MAAC
49,QA,746,POTR5
50,BP,741,POBA2
51,EC,742,PODE3
52,BT,743,POGR4
53,PY,744,POHE4
54,BC,762,PRSE2
55,WO,802,QUAL
56,BR,823,QUMA2
57,CK,826,QUMU
58,PO,835,QUST
59,OK,800,QUERC
60,SO,806,QUCO2
61,QI,817,QUIM
62,WK,827,QUNI
63,PN,830,QUPA2
64,CO,832,QUPR2
65,SW,804,QUBI
66,SN,825,QUMI
67,RO,833,QURU
68,SK,812,QUFA
69,BO,837,QUVE
70,CB,813,QUPA5
71,,,
72,BU,330,AESCU
73,YY,332,AEFL
74,WR,374,BEOC2
75,HK,462,CEOC
76,PS,521,DIVI5
77,HY,591,ILOP
78,BN,601,JUCI
79,WN,602,JUNI
80,OO,641,MAPO
81,MG,650,MAGNO
82,MV,653,MAVI2
83,AP,660,MALUS
84,WT,691,NYAQ2
85,BG,693,NYSY
86,SD,711,OXAR
87,PW,712,PATO2
88,SY,731,PLOC
89,WL,831,QUPH
90,BK,901,ROPS
91,BL,922,SANI
92,SS,931,SAAL5
93,BW,951,TIAM
94,WB,952,TIAMH
95,EL,970,ULMUS
96,AE,972,ULAM
97,RL,975,ULRU
98,OH,998,2TB
99,BE,313,ACNE2
100,ST,315,ACPE
101,AI,341,AIAL
102,SE,356,AMELA
103,AH,391,CACA18
104,DW,491,COFL2
105,HT,500,CRATA
106,HH,701,OSVI
107,PL,760,PRUNU
108,PR,761,PRPE2
