species_index,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
1,1.1,1.1,2.2,10.0,10.0,0.0,0.0,0.0,0.0,0.6,30.0
2,0.7,0.7,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.6,25.0
3,0.7,0.7,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.6,25.0
4,1.1,1.1,2.2,10.0,10.0,0.0,0.0,0.0,0.0,0.6,30.0
5,0.7,0.7,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.6,25.0
6,0.7,0.7,3.0,7.0,7.0,10.0,0.0,0.0,0.0,1.0,35.0
7,0.7,0.7,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.6,25.0
8,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
9,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
10,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
11,0.9,0.9,1.2,7.0,8.0,0.2,0.0,0.0,0.0,0.6,30.0
12,0.7,0.7,1.6,2.5,2.5,0.0,0.0,0.0,0.0,1.4,5.0
13,0.7,0.7,1.6,2.5,2.5,0.0,0.0,0.0,0.0,1.4,5.0
14,0.7,0.7,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.6,25.0
15,0.7,0.7,1.6,2.5,2.5,0.0,0.0,0.0,0.0,1.4,5.0
16,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
17,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
18,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
19,0.7,0.7,3.0,7.0,7.0,10.0,0.0,0.0,0.0,1.0,35.0
20,1.1,1.1,2.2,10.0,10.0,0.0,0.0,0.0,0.0,0.6,30.0
21,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
22,0.7,0.7,1.6,2.5,2.5,5.0,0.0,0.0,0.0,0.8,30.0
23,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
24,0.7,0.7,0.8,1.2,1.2,0.5,0.0,0.0,0.0,1.4,0.0
25,0.7,0.7,0.8,1.2,1.2,0.5,0.0,0.0,0.0,1.4,0.0
26,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
27,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
28,0.7,0.7,0.8,1.2,1.2,0.5,0.0,0.0,0.0,1.4,0.0
29,0.1,0.2,0.4,0.5,0.8,1.0,0.0,0.0,0.0,0.1,0.0
30,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
31,1.1,1.1,2.2,10.0,10.0,0.0,0.0,0.0,0.0,0.6,30.0
32,0.9,0.9,1.2,7.0,8.0,0.2,0.0,0.0,0.0,0.6,30.0
33,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
34,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
35,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
36,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
37,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
