species_index,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
1,0.7,0.7,1.6,4.0,4.0,0.0,0.0,0.0,0.0,0.3,12.0
2,0.5,0.5,2.0,2.8,2.8,0.0,0.0,0.0,0.0,0.3,12.0
3,0.5,0.5,2.0,2.8,2.8,0.0,0.0,0.0,0.0,0.3,12.0
4,0.7,0.7,1.6,4.0,4.0,0.0,0.0,0.0,0.0,0.3,12.0
5,0.5,0.5,2.0,2.8,2.8,0.0,0.0,0.0,0.0,0.3,12.0
6,0.5,0.5,2.0,2.8,2.8,6.0,0.0,0.0,0.0,0.5,12.0
7,0.5,0.5,2.0,2.8,2.8,0.0,0.0,0.0,0.0,0.3,12.0
8,1.6,1.6,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
9,1.6,1.6,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
10,1.6,1.6,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
11,0.6,0.7,0.8,2.8,3.2,0.0,0.0,0.0,0.0,0.3,12.0
12,0.1,0.1,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.8
13,0.1,0.1,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.8
14,0.5,0.5,2.0,2.8,2.8,0.0,0.0,0.0,0.0,0.3,12.0
15,0.1,0.1,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.8
16,1.6,1.6,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
17,1.6,1.6,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
18,1.6,1.6,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
19,0.5,0.5,2.0,2.8,2.8,6.0,0.0,0.0,0.0,0.5,12.0
20,0.7,0.7,1.6,4.0,4.0,0.0,0.0,0.0,0.0,0.3,12.0
21,1.6,1.6,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
22,0.1,0.1,0.2,0.5,0.5,3.0,0.0,0.0,0.0,0.4,12.0
23,1.1,1.1,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
24,0.1,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.0
25,0.1,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.0
26,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
27,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
28,0.1,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.0
29,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
30,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
31,0.7,0.7,1.6,4.0,4.0,0.0,0.0,0.0,0.0,0.3,12.0
32,0.6,0.7,0.8,2.8,3.2,0.0,0.0,0.0,0.0,0.3,12.0
33,1.1,1.1,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
34,1.1,1.1,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
35,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
36,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
37,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
