species_index,herb_init,shrub_init,herb_est,shrub_est
1,0.3,2.0,0.15,0.1
2,0.3,2.0,0.15,0.1
3,0.3,2.0,0.15,0.1
4,0.3,2.0,0.15,0.1
5,0.3,2.0,0.15,0.1
6,0.3,2.0,0.3,0.2
7,0.3,2.0,0.15,0.1
8,0.4,2.0,0.2,0.2
9,0.4,2.0,0.2,0.2
10,0.3,2.0,0.3,0.2
11,0.4,1.0,0.2,0.1
12,0.25,0.1,0.2,0.25
13,0.25,0.1,0.2,0.25
14,0.3,2.0,0.15,0.1
15,0.25,0.1,0.2,0.25
16,0.4,2.0,0.2,0.2
17,0.4,2.0,0.2,0.2
18,0.4,2.0,0.2,0.2
19,0.4,2.0,0.2,0.2
20,0.3,2.0,0.15,0.1
21,0.4,2.0,0.2,0.2
22,0.4,2.0,0.2,0.2
23,0.4,2.0,0.2,0.2
24,0.18,2.0,0.25,0.25
25,0.18,2.0,0.25,0.25
26,0.18,1.32,0.25,0.25
27,0.18,1.32,0.25,0.25
28,0.55,0.35,0.23,0.22
29,0.1,2.06,0.14,0.35
30,0.4,2.0,0.2,0.2
31,0.4,1.0,0.2,0.1
32,0.4,1.0,0.2,0.1
33,0.4,2.0,0.2,0.2
34,0.4,2.0,0.2,0.2
35,0.18,1.32,0.25,0.25
36,0.18,1.32,0.25,0.25
37,0.18,1.32,0.25,0.25
38,0.0,0.0,0.0,0.0
39,0.18,1.32,0.25,0.25
