species_index,code_alpha,code_fia,code_plants,bark1,bark2,bark_imap
1,SF,011,ABAM,0.904973,1.0,1
2,WF,015,ABCO,0.904973,1.0,1
3,GF,017,ABGR,0.904973,1.0,1
4,AF,019,ABLA,0.904973,1.0,1
5,RF,020,ABMA,0.904973,1.0,1
6,SS,098,PISI,0.95833,1.0,1
7,NF,022,ABPR,0.904973,1.0,1
8,YC,042,CANO9,0.837291,1.0,1
9,IC,081,CADE27,0.837291,1.0,1
10,ES,093,PIEN,0.9,0.0,3
11,LP,108,PICO,0.9,0.0,3
12,JP,116,PIJE,0.859045,1.0,1
13,SP,117,PILA,0.859045,1.0,1
14,WP,119,PIMO3,0.859045,1.0,1
15,PP,122,PIPO,0.809427,1.016866,1
16,DF,202,PSME,0.903563,0.989388,1
17,RW,211,SESE3,0.7012,1.04862,1
18,RC,242,THPL,0.94967,1.0,1
19,WH,263,TSHE,0.93371,1.0,1
20,MH,264,TSME,0.94967,1.0,1
21,BM,312,ACMA3,0.0836,0.94782,2
22,RA,351,ALRU2,0.075256,0.94373,2
23,MA,361,ARME,0.075256,0.94373,2
24,TO,631,LIDE3,0.0836,0.94782,2
25,GC,431,CHCHC4,0.15565,0.90182,2
26,AS,746,POTR5,0.075256,0.94373,2
27,CW,747,POBAT,0.075256,0.94373,2
28,WO,815,QUGA4,0.8558,1.0213,1
29,WJ,064,JUOC,0.94967,1.0,1
30,LL,072,LALY,0.9,0.0,3
31,WB,101,PIAL,0.93329,1.0,1
32,KP,103,PIAT,0.93329,1.0,1
33,PY,231,TABR2,0.93329,1.0,1
34,DG,492,CONU4,0.075256,0.94373,2
35,HT,500,CRATA,0.075256,0.94373,2
36,CH,768,PREM,0.075256,0.94373,2
37,WI,920,SALIX,0.075256,0.94373,2
38,,,,0.9,0.0,3
39,OT,999,2TREE,0.9,0.0,3
