code_alpha,code_fia,code_plants,target_nc,target_nc2,target_nc3,target_nc4
SF,011,ABAM,SF,SF,SF,SF
WF,015,ABCO,WF,WF,WF,WF
GF,017,ABGR,GF,GF,GF,GF
AF,019,ABLA,AF,AF,AF,AF
RF,020,ABMA,RF,RF,RF,RF
SS,098,PISI,SS,SS,SS,SS
NF,022,ABPR,NF,NF,NF,NF
YC,042,CANO9,YC,YC,YC,YC
IC,081,CADE27,IC,IC,IC,IC
ES,093,PIEN,ES,ES,ES,ES
LP,108,PICO,LP,LP,LP,LP
JP,116,PIJE,JP,JP,JP,JP
SP,117,PILA,SP,SP,SP,SP
WP,119,PIMO3,WP,WP,WP,WP
PP,122,PIPO,PP,PP,PP,PP
DF,202,PSME,DF,DF,DF,DF
RW,211,SESE3,RW,RW,RW,RW
RC,242,THPL,RC,RC,RC,RC
WH,263,TSHE,WH,WH,WH,WH
MH,264,TSME,MH,MH,MH,MH
BM,312,ACMA3,BM,BM,BM,BM
RA,351,ALRU2,RA,RA,RA,RA
MA,361,ARME,MA,MA,MA,MA
TO,631,LIDE3,TO,TO,TO,TO
GC,431,CHCHC4,GC,GC,GC,GC
AS,746,POTR5,AS,AS,AS,AS
CW,747,POBAT,CW,CW,CW,CW
WO,815,QUGA4,WO,WO,WO,WO
WJ,064,JUOC,WJ,WJ,WJ,WJ
LL,072,LALY,LL,LL,LL,LL
WB,101,PIAL,WB,WB,WB,WB
KP,103,PIAT,KP,KP,KP,KP
PY,231,TABR2,PY,PY,PY,PY
DG,492,CONU4,DG,DG,DG,DG
HT,500,CRATA,HT,HT,HT,HT
CH,768,PREM,CH,CH,CH,CH
WI,920,SALIX,WI,WI,WI,WI
,,,OT,OT,OT,OT
OT,999,2TREE,OT,OT,OT,OT
