species_index,code_alpha,code_fia,code_plants
1,PJ,105,PIBA2
2,PS,130,PISY
3,RN,125,PIRE
4,RP,125,PIRE
5,PW,129,PIST
6,SW,094,PIGL
7,SN,091,PIAB
8,BF,012,ABBA
9,SB,095,PIMA
10,TA,071,LALA
11,CE,241,THOC2
12,HE,261,TSCA
13,SO,298,2TE
14,CR,068,JUVI
15,AB,543,FRNI
16,AR,544,FRPE
17,CW,742,PODE3
18,MV,317,ACSA2
19,MR,316,ACRU
20,CB,762,PRSE2
21,EW,972,ULAM
22,ES,975,ULRU
23,ER,977,ULTH
24,BY,371,BEAL2
25,BD,951,TIAM
26,MH,318,ACSA3
27,MB,314,ACNI5
28,BE,531,FAGR
29,AW,541,FRAM2
30,OW,802,QUAL
31,OP,804,QUBI
32,OB,823,QUMA2
33,OC,826,QUMU
34,OR,833,QURU
35,BO,837,QUVE
36,PN,809,QUEL
37,HB,402,CACO15
38,HP,403,CAGL8
39,HU,407,CAOV2
40,PG,743,POGR4
41,PT,746,POTR5
42,PB,741,POBA2
43,BW,375,BEPA
44,CH,,
45,BT,601,JUCI
46,WB,602,JUNI
47,IW,701,OSVI
48,LB,901,ROPS
49,NC,,
50,MM,313,ACNE2
51,MS,315,ACPE
52,MT,319,ACSP2
53,BB,391,CACA18
54,CA,421,CADE12
55,BH,462,CEOC
56,DF,491,COFL2
57,HT,500,CRATA
58,ML,660,MALUS
59,GB,693,NYSY
60,SY,731,PLOC
61,CP,761,PRPE2
62,CC,763,PRVI
63,PL,760,PRUNU
64,WI,920,SALIX
65,WI,922,SANI
66,WI,923,SAERF
67,SS,931,SAAL5
68,AM,935,SOAM3
69,JP,105,PIBA2
70,WP,129,PIST
71,SP,094,PIGL
72,BP,095,PIMA
