species_index,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
1,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
2,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
3,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
4,0.7,0.7,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.6,25.0
5,0.7,0.7,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.6,25.0
6,0.7,0.7,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.6,25.0
7,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
8,2.2,2.2,5.2,15.0,20.0,15.0,0.0,0.0,0.0,1.0,35.0
9,1.1,1.1,2.2,10.0,10.0,0.0,0.0,0.0,0.0,0.6,30.0
10,0.7,0.7,1.6,2.5,2.5,0.0,0.0,0.0,0.0,1.4,5.0
11,0.7,0.7,1.6,2.5,2.5,0.0,0.0,0.0,0.0,1.4,5.0
12,0.7,0.7,1.6,2.5,2.5,0.0,0.0,0.0,0.0,1.4,5.0
13,0.7,0.7,1.6,2.5,2.5,0.0,0.0,0.0,0.0,1.4,5.0
14,0.7,0.7,1.6,2.5,2.5,0.0,0.0,0.0,0.0,1.4,5.0
15,0.7,0.7,1.6,2.5,2.5,0.0,0.0,0.0,0.0,1.4,5.0
16,0.7,0.7,1.6,2.5,2.5,0.0,0.0,0.0,0.0,1.4,5.0
17,1.0,1.0,1.6,10.0,10.0,10.0,0.0,0.0,0.0,0.8,30.0
18,0.9,0.9,1.2,7.0,8.0,0.0,0.0,0.0,0.0,0.6,15.0
19,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
20,0.3,0.7,1.4,0.2,0.1,0.0,0.0,0.0,0.0,3.9,0.0
21,0.1,0.2,0.4,0.5,0.8,1.0,0.0,0.0,0.0,0.1,0.0
22,1.1,1.1,2.2,10.0,10.0,0.0,0.0,0.0,0.0,0.6,30.0
23,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
24,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
25,0.9,0.9,1.2,7.0,8.0,0.0,0.0,0.0,0.0,0.6,15.0
26,0.3,0.7,1.4,0.2,0.1,0.0,0.0,0.0,0.0,3.9,0.0
27,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
28,0.3,0.7,1.4,0.2,0.1,0.0,0.0,0.0,0.0,3.9,0.0
29,0.3,0.7,1.4,0.2,0.1,0.0,0.0,0.0,0.0,3.9,0.0
30,0.3,0.7,1.4,0.2,0.1,0.0,0.0,0.0,0.0,3.9,0.0
31,0.3,0.7,1.4,0.2,0.1,0.0,0.0,0.0,0.0,3.9,0.0
32,0.3,0.7,1.4,0.2,0.1,0.0,0.0,0.0,0.0,3.9,0.0
33,0.3,0.7,1.4,0.2,0.1,0.0,0.0,0.0,0.0,3.9,0.0
34,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
35,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
36,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
37,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
38,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
39,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
40,0.9,0.9,1.2,7.0,8.0,0.0,0.0,0.0,0.0,0.6,15.0
41,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
42,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
43,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
44,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
45,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
46,0.2,0.6,2.4,3.6,5.6,0.0,0.0,0.0,0.0,1.4,16.8
47,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
48,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
49,0.3,0.7,1.4,0.2,0.1,0.0,0.0,0.0,0.0,3.9,0.0
50,0.9,0.9,1.6,3.5,3.5,0.0,0.0,0.0,0.0,0.6,10.0
