species_index,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
1,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
2,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
3,1.6,1.6,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
4,0.5,0.5,2.0,2.8,2.8,0.0,0.0,0.0,0.0,0.3,12.0
5,0.5,0.5,2.0,2.8,2.8,0.0,0.0,0.0,0.0,0.3,12.0
6,0.5,0.5,2.0,2.8,2.8,0.0,0.0,0.0,0.0,0.3,12.0
7,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
8,1.6,1.6,3.6,6.0,8.0,6.0,0.0,0.0,0.0,0.5,12.0
9,0.7,0.7,1.6,4.0,4.0,0.0,0.0,0.0,0.0,0.3,12.0
10,0.1,0.1,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.8
11,0.1,0.1,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.8
12,0.1,0.1,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.8
13,0.1,0.1,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.8
14,0.1,0.1,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.8
15,0.1,0.1,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.8
16,0.1,0.1,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.8
17,0.6,0.6,0.8,6.0,6.0,6.0,0.0,0.0,0.0,0.4,12.0
18,0.6,0.7,0.8,2.8,3.2,0.0,0.0,0.0,0.0,0.3,7.0
19,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
21,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
22,0.7,0.7,1.6,4.0,4.0,0.0,0.0,0.0,0.0,0.3,12.0
23,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
24,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
25,0.6,0.7,0.8,2.8,3.2,0.0,0.0,0.0,0.0,0.3,7.0
26,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
27,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
28,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
29,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
30,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
31,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
32,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
33,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
34,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
35,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
36,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
37,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
38,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
39,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
40,0.6,0.7,0.8,2.8,3.2,0.0,0.0,0.0,0.0,0.3,7.0
41,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
42,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
43,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
44,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
45,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
46,0.1,0.4,5.0,2.2,2.3,0.0,0.0,0.0,0.0,0.8,5.6
47,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
48,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
49,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
50,0.5,0.5,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.3,5.0
