species_index,herb_init,shrub_init,herb_est,shrub_est
1,0.4,2.0,0.2,0.2
2,0.4,2.0,0.2,0.2
3,0.4,2.0,0.2,0.2
4,0.3,2.0,0.15,0.1
5,0.3,2.0,0.15,0.1
6,0.3,2.0,0.15,0.1
7,0.4,2.0,0.2,0.2
8,0.4,2.0,0.2,0.2
9,0.3,2.0,0.15,0.2
10,0.4,1.0,0.2,0.1
11,0.4,1.0,0.2,0.1
12,0.4,1.0,0.2,0.1
13,0.4,1.0,0.2,0.1
14,0.4,1.0,0.2,0.1
15,0.25,1.0,0.2,0.25
16,0.25,1.0,0.2,0.25
17,0.3,2.0,0.15,0.1
18,0.25,1.0,0.2,0.25
19,0.4,2.0,0.2,0.2
20,0.55,0.35,0.23,0.22
21,0.1,2.06,0.14,0.35
22,0.3,2.0,0.15,0.2
23,0.4,2.0,0.2,0.2
24,0.4,2.0,0.2,0.2
25,0.25,1.0,0.2,0.25
26,0.55,0.35,0.23,0.22
27,0.18,2.0,0.25,0.25
28,0.55,0.35,0.23,0.22
29,0.55,0.35,0.23,0.22
30,0.55,0.35,0.23,0.22
31,0.55,0.35,0.23,0.22
32,0.55,0.35,0.23,0.22
33,0.55,0.35,0.23,0.22
34,0.4,2.0,0.2,0.2
35,0.4,2.0,0.2,0.2
36,0.4,2.0,0.2,0.2
37,0.4,2.0,0.2,0.2
38,0.18,2.0,0.25,0.25
39,0.4,2.0,0.2,0.2
40,0.25,1.0,0.2,0.25
41,0.4,2.0,0.2,0.2
42,0.18,2.0,0.25,0.25
43,0.4,2.0,0.2,0.2
44,0.18,1.32,0.25,0.25
45,0.18,1.32,0.25,0.25
46,0.18,1.32,0.25,0.25
47,0.4,2.0,0.2,0.2
48,0.4,2.0,0.2,0.2
49,0.55,0.35,0.23,0.22
50,0.4,2.0,0.2,0.2
