species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp,bio_group
1,7,24.3,1,4,1,1,1,999.0,1.235,150,1,1
2,20,21.8,1,5,1,1,1,999.0,0.687,100,1,1
3,7,19.3,1,5,1,1,1,999.0,1.235,150,1,1
4,4,21.8,1,7,3,3,1,999.0,0.882,100,3,3
5,4,22.5,1,7,3,3,1,999.0,0.882,100,3,3
6,4,22.5,1,7,3,3,1,999.0,0.882,100,3,3
7,3,28.7,1,5,1,1,1,999.0,0.882,100,2,2
8,6,26.2,1,5,2,2,1,999.0,1.235,100,3,3
9,24,26.2,1,4,2,2,1,999.0,1.235,100,3,3
10,14,22.5,1,3,1,1,1,999.0,1.235,100,4,4
11,11,23.7,1,4,2,2,1,999.0,1.235,100,4,4
12,11,23.7,1,3,2,2,1,999.0,1.235,100,4,4
13,11,23.7,1,3,3,3,1,999.0,1.235,100,4,4
14,11,22.5,1,3,1,1,1,999.0,1.235,100,4,4
15,15,21.2,1,3,3,3,1,999.0,1.235,100,4,4
16,15,21.2,1,3,1,1,1,999.0,1.235,100,4,4
17,15,22.5,1,3,1,1,1,999.0,1.235,100,4,4
18,13,23.7,1,3,3,3,1,999.0,1.235,100,4,4
19,13,23.7,1,3,2,2,1,999.0,1.235,100,4,4
20,11,23.7,1,3,3,3,1,999.0,1.235,100,4,4
21,16,34.9,1,4,1,1,1,999.0,0.687,150,10,10
22,18,20.6,1,8,2,2,1,999.0,0.687,100,5,5
23,19,21.2,1,5,1,1,1,999.0,0.687,150,1,1
24,7,26.2,1,7,1,1,1,999.0,0.687,100,3,3
25,11,23.7,1,3,3,3,1,999.0,1.235,100,4,4
26,17,49.9,1,1,3,3,1,999.0,1.545,50,9,9
27,17,49.9,1,1,3,3,1,999.0,1.545,50,9,9
28,21,37.4,1,1,3,3,1,999.0,1.545,50,9,9
29,17,37.4,1,1,3,3,1,999.0,1.545,50,9,9
30,21,37.4,1,1,3,3,1,999.0,1.545,50,9,9
31,21,34.9,1,1,3,3,1,999.0,1.545,50,9,9
32,21,37.4,1,1,3,3,1,999.0,1.545,50,9,9
33,17,49.9,1,1,3,3,1,999.0,1.545,50,9,9
34,5,27.4,1,1,4,4,1,999.0,1.545,50,7,7
35,44,37.4,1,1,4,4,1,999.0,1.545,50,8,8
36,23,23.1,1,1,4,4,1,999.0,1.545,50,8,8
37,10,36.2,1,1,3,3,1,999.0,1.545,50,8,8
38,17,36.2,1,1,3,3,1,999.0,1.545,50,8,8
39,56,27.4,1,1,4,4,1,999.0,1.545,50,8,8
40,29,31.2,1,1,4,4,1,999.0,1.545,50,8,8
41,46,31.8,1,1,4,4,1,999.0,1.545,50,8,8
42,17,36.2,1,1,3,3,1,999.0,1.545,50,8,8
43,60,28.7,1,1,4,4,1,999.0,1.545,50,8,8
44,41,21.8,1,1,4,4,1,999.0,1.545,50,6,6
45,17,19.3,1,1,4,4,1,999.0,1.545,50,6,6
46,64,22.5,1,1,4,4,1,999.0,1.545,50,6,6
47,17,34.9,1,1,4,4,1,999.0,1.545,50,3,3
48,17,36.2,1,1,4,4,1,999.0,1.545,50,8,8
49,21,34.9,1,1,3,3,1,999.0,1.545,50,10,10
50,19,21.2,1,5,1,1,1,999.0,0.687,150,1,1
