species_index,code_alpha,code_fia,code_plants
1,PC,041,CHLA
2,IC,081,CADE27
3,RC,242,THPL
4,GF,017,ABGR
5,RF,020,ABMA
6,SH,021,ABSH
7,DF,202,PSME
8,WH,263,TSHE
9,MH,264,TSME
10,WB,101,PIAL
11,KP,103,PIAT
12,LP,108,PICO
13,CP,109,PICO3
14,LM,113,PIFL2
15,JP,116,PIJE
16,SP,117,PILA
17,WP,119,PIMO3
18,PP,122,PIPO
19,MP,124,PIRA2
20,GP,127,PISA2
21,WJ,064,JUOC
22,BR,092,PIBR
23,GS,212,SEGI2
24,PY,231,TABR2
25,OS,299,2TN
26,LO,801,QUAG
27,CY,805,QUCH2
28,BL,807,QUDO
29,EO,811,QUEN
30,WO,815,QUGA4
31,BO,818,QUKE
32,VO,821,QULO
33,IO,839,QUWI2
34,BM,312,ACMA3
35,BU,333,AECA
36,RA,351,ALRU2
37,MA,361,ARME
38,GC,431,CHCHC4
39,DG,492,CONU4
40,FL,542,FRLA
41,WN,600,JUGLA
42,TO,631,LIDE3
43,SY,730,PLRA
44,AS,746,POTR5
45,CW,747,POBAT
46,WI,920,SALIX
47,CN,251,TOCA
48,CL,981,UMCA
49,OH,998,2TB
50,RW,211,SESE3
