code_alpha,code_fia,code_plants,target_oc,target_oc2,target_oc3,target_oc4
PC,041,CHLA,PC,PC,PC,PC
IC,081,CADE27,IC,IC,IC,IC
RC,242,THPL,RC,RC,RC,RC
GF,017,ABGR,GF,GF,GF,GF
RF,020,ABMA,RF,RF,RF,RF
SH,021,ABSH,SH,SH,SH,SH
DF,202,PSME,DF,DF,DF,DF
WH,263,TSHE,WH,WH,WH,WH
MH,264,TSME,MH,MH,MH,MH
WB,101,PIAL,WB,WB,WB,WB
KP,103,PIAT,KP,KP,KP,KP
LP,108,PICO,LP,LP,LP,LP
CP,109,PICO3,CP,CP,CP,CP
LM,113,PIFL2,LM,LM,LM,LM
JP,116,PIJE,JP,JP,JP,JP
SP,117,PILA,SP,SP,SP,SP
WP,119,PIMO3,WP,WP,WP,WP
PP,122,PIPO,PP,PP,PP,PP
MP,124,PIRA2,MP,MP,MP,MP
GP,127,PISA2,GP,GP,GP,GP
WJ,064,JUOC,WJ,WJ,WJ,WJ
BR,092,PIBR,BR,BR,BR,BR
GS,212,SEGI2,GS,GS,GS,GS
PY,231,TABR2,PY,PY,PY,PY
OS,299,2TN,OS,OS,OS,OS
LO,801,QUAG,LO,LO,LO,LO
CY,805,QUCH2,CY,CY,CY,CY
BL,807,QUDO,BL,BL,BL,BL
EO,811,QUEN,EO,EO,EO,EO
WO,815,QUGA4,WO,WO,WO,WO
BO,818,QUKE,BO,BO,BO,BO
VO,821,QULO,VO,VO,VO,VO
IO,839,QUWI2,IO,IO,IO,IO
BM,312,ACMA3,BM,BM,BM,BM
BU,333,AECA,BU,BU,BU,BU
RA,351,ALRU2,RA,RA,RA,RA
MA,361,ARME,MA,MA,MA,MA
GC,431,CHCHC4,GC,GC,GC,GC
DG,492,CONU4,DG,DG,DG,DG
FL,542,FRLA,FL,FL,FL,FL
WN,600,JUGLA,WN,WN,WN,WN
TO,631,LIDE3,TO,TO,TO,TO
SY,730,PLRA,SY,SY,SY,SY
AS,746,POTR5,AS,AS,AS,AS
CW,747,POBAT,CW,CW,CW,CW
WI,920,SALIX,WI,WI,WI,WI
CN,251,TOCA,CN,CN,CN,CN
CL,981,UMCA,CL,CL,CL,CL
OH,998,2TB,OH,OH,OH,OH
RW,211,SESE3,RW,RW,RW,RW
