pa,spc,fvsseq,sdimx,site,numbr,iflag
CDS221,DF,16,750,54,1,1
CDS255,DF,16,955,62,1,1
CDS651,DF,16,600,33,1,1
CEF321,AF,4,367,50,1,1
CES212,AF,4,535,65,1,1
CES321,AF,4,955,91,1,1
CES621,AF,4,560,31,1,1
CFF111,SF,1,1050,150,1,1
CFF211,DF,16,950,84,1,1
CFF311,SF,1,1093,83,1,1
CFF611,SF,1,995,145,1,1
CFF612,SF,1,845,154,1,1
CFF911,DF,16,861,84,1,1
CFS156,SF,1,1015,149,1,1
CFS211,SF,1,1050,83,1,1
CFS212,SF,1,1090,127,1,1
CFS213,SF,1,835,108,1,1
CFS214,DF,16,1090,84,1,1
CFS215,SF,1,1101,101,1,1
CFS217,SF,1,1055,136,1,1
CFS218,SF,1,1080,111,1,1
CFS219,SF,1,955,115,1,1
CFS311,SF,1,920,118,1,1
CFS611,SF,1,996,107,1,1
CFS612,SF,1,470,96,1,1
CHF112,WH,19,780,104,1,1
CHF121,WH,19,960,110,1,1
CHF122,WH,19,925,114,1,1
CHF131,WH,19,950,94,1,1
CHF132,DF,16,1010,116,1,1
CHF211,DF,16,1040,108,1,1
CHF511,WH,19,696,50,1,1
CHF911,WH,19,1165,105,1,1
CHM111,RA,22,760,52,1,1
CHS121,DF,16,985,118,1,1
CHS122,WH,19,820,114,1,1
CHS123,WH,19,1210,112,1,1
CHS131,WH,19,1050,78,1,1
CHS132,DF,16,880,67,1,1
CHS133,DF,16,1606,98,1,1
CHS134,DF,16,810,78,1,1
CHS136,WH,19,895,84,1,1
CHS137,DF,16,975,108,1,1
CHS138,DF,16,1095,71,1,1
CHS139,DF,16,955,119,1,1
CHS221,DF,16,825,122,1,1
CHS222,DF,16,875,128,1,1
CHS321,WH,19,1107,98,1,1
CHS322,DF,16,840,114,1,1
CHS323,WH,19,945,84,1,1
CHS324,WH,19,865,80,1,1
CHS331,WH,19,1145,56,1,1
CHS332,DF,16,610,56,1,1
CHS333,DF,16,1065,80,1,1
CHS334,DF,16,810,66,1,1
CHS335,DF,16,845,88,1,1
CHS421,WH,19,675,110,1,1
CHS422,WH,19,660,94,1,1
CHS423,DF,16,600,119,1,1
CHS512,DF,16,485,134,1,1
CHS521,WH,19,375,114,1,1
CHS610,WH,19,935,118,1,1
CHS621,WH,19,1025,98,1,1
CHS622,DF,16,610,70,1,1
CHS623,WH,19,570,94,1,1
CHS624,WH,19,915,92,1,1
CMS242,MH,20,1021,14,1,1
CSF111,SS,6,930,120,1,1
CSF121,SS,6,930,115,1,1
CSF321,SS,6,930,120,1,1
CSS221,SS,6,1000,125,1,1
CSS321,SS,6,615,117,1,1
CSS521,SS,6,545,123,1,1
CSS522,SS,6,535,111,1,1
CSS621,SS,6,1000,121,1,1
