forest_ifor,species_index,dbhclass,fc
1,1,1,97
1,1,2,97
1,1,3,91
1,1,4,90
1,1,5,90
1,2,1,97
1,2,2,97
1,2,3,93
1,2,4,91
1,2,5,91
1,3,1,86
1,3,2,86
1,3,3,83
1,3,4,82
1,3,5,82
1,4,1,97
1,4,2,97
1,4,3,97
1,4,4,95
1,4,5,95
1,5,1,83
1,5,2,83
1,5,3,80
1,5,4,80
1,5,5,79
1,6,1,89
1,6,2,89
1,6,3,86
1,6,4,84
1,6,5,84
1,7,1,88
1,7,2,88
1,7,3,84
1,7,4,82
1,7,5,82
1,8,1,99
1,8,2,99
1,8,3,88
1,8,4,87
1,8,5,86
1,9,1,81
1,9,2,81
1,9,3,72
1,9,4,71
1,9,5,70
1,10,1,90
1,10,2,90
1,10,3,86
1,10,4,85
1,10,5,85
1,11,1,96
1,11,2,96
1,11,3,96
1,11,4,93
1,11,5,93
1,12,1,92
1,12,2,92
1,12,3,82
1,12,4,80
1,12,5,79
1,13,1,79
1,13,2,79
1,13,3,76
1,13,4,76
1,13,5,75
1,14,1,95
1,14,2,95
1,14,3,91
1,14,4,90
1,14,5,90
1,15,1,89
1,15,2,89
1,15,3,82
1,15,4,80
1,15,5,80
1,16,1,82
1,16,2,82
1,16,3,79
1,16,4,78
1,16,5,78
1,17,1,82
1,17,2,82
1,17,3,79
1,17,4,78
1,17,5,78
1,18,1,93
1,18,2,93
1,18,3,87
1,18,4,86
1,18,5,86
1,19,1,96
1,19,2,96
1,19,3,93
1,19,4,91
1,19,5,91
1,20,1,98
1,20,2,98
1,20,3,95
1,20,4,94
1,20,5,93
1,21,1,86
1,21,2,86
1,21,3,84
1,21,4,82
1,21,5,82
1,22,1,84
1,22,2,84
1,22,3,81
1,22,4,80
1,22,5,79
1,23,1,79
1,23,2,79
1,23,3,76
1,23,4,76
1,23,5,75
1,24,1,79
1,24,2,79
1,24,3,76
1,24,4,74
1,24,5,74
1,25,1,87
1,25,2,87
1,25,3,81
1,25,4,79
1,25,5,79
1,26,1,85
1,26,2,85
1,26,3,81
1,26,4,80
1,26,5,79
1,27,1,82
1,27,2,82
1,27,3,80
1,27,4,79
1,27,5,79
1,28,1,95
1,28,2,95
1,28,3,82
1,28,4,82
1,28,5,82
1,29,1,81
1,29,2,81
1,29,3,81
1,29,4,81
1,29,5,74
1,30,1,92
1,30,2,92
1,30,3,92
1,30,4,92
1,30,5,92
1,31,1,96
1,31,2,96
1,31,3,96
1,31,4,96
1,31,5,96
1,32,1,96
1,32,2,96
1,32,3,89
1,32,4,87
1,32,5,86
1,33,1,76
1,33,2,76
1,33,3,69
1,33,4,65
1,33,5,65
1,34,1,95
1,34,2,95
1,34,3,86
1,34,4,82
1,34,5,82
1,35,1,95
1,35,2,95
1,35,3,95
1,35,4,95
1,35,5,95
1,36,1,86
1,36,2,86
1,36,3,86
1,36,4,84
1,36,5,84
1,37,1,92
1,37,2,92
1,37,3,92
1,37,4,92
1,37,5,92
1,38,1,84
1,38,2,84
1,38,3,84
1,38,4,84
1,38,5,84
1,39,1,84
1,39,2,84
1,39,3,80
1,39,4,79
1,39,5,78
2,1,1,95
2,1,2,95
2,1,3,89
2,1,4,88
2,1,5,88
2,2,1,97
2,2,2,97
2,2,3,93
2,2,4,91
2,2,5,91
2,3,1,86
2,3,2,86
2,3,3,83
2,3,4,82
2,3,5,82
2,4,1,96
2,4,2,96
2,4,3,93
2,4,4,91
2,4,5,91
2,5,1,83
2,5,2,83
2,5,3,80
2,5,4,80
2,5,5,79
2,6,1,89
2,6,2,89
2,6,3,86
2,6,4,84
2,6,5,84
2,7,1,88
2,7,2,88
2,7,3,84
2,7,4,82
2,7,5,82
2,8,1,88
2,8,2,88
2,8,3,79
2,8,4,77
2,8,5,76
2,9,1,81
2,9,2,81
2,9,3,72
2,9,4,71
2,9,5,70
2,10,1,90
2,10,2,90
