forest_idx,species_index,p2,p3,p4
1,1,697.631600,6.680700,-0.416100
1,2,604.845000,5.983500,-0.378900
1,3,356.114800,6.410000,-0.557200
1,4,89.029800,6.950700,-0.987100
1,5,202.886000,8.746900,-0.831700
1,6,3844.388000,7.068000,-0.212200
1,7,483.375100,7.244300,-0.511100
1,8,1220.096300,7.299500,-0.321100
1,9,4691.633700,7.467100,-0.198900
1,10,206.321100,9.122700,-0.828100
1,11,100.000000,6.000000,-0.860000
1,12,1031.520300,7.661600,-0.359900
1,13,702.185600,5.702500,-0.379800
1,14,433.780700,6.331800,-0.498800
1,15,1181.724400,6.698100,-0.315100
1,16,1091.852600,5.293600,-0.264800
1,17,595.106800,5.810300,-0.382100
1,18,665.094400,5.500200,-0.324600
1,19,609.423500,5.591900,-0.384100
1,20,170.265300,10.068400,-0.879100
1,21,600.095700,3.829700,-0.238000
1,22,139.455100,4.698900,-0.768200
1,23,139.455100,4.698900,-0.768200
1,24,1709.722900,5.888700,-0.228600
1,25,10707.390600,8.467000,-0.186300
1,26,1709.722900,5.888700,-0.228600
1,27,178.644100,4.585200,-0.674600
1,28,89.430100,6.632100,-0.887600
1,29,503.661900,4.954400,-0.208500
1,30,503.661900,4.954400,-0.208500
1,31,89.553500,4.228100,-0.643800
1,32,34749.473600,9.128700,-0.141700
1,33,127.169800,4.897700,-0.466800
1,34,403.322100,4.327100,-0.242200
1,35,55.000000,5.500000,-0.950000
1,36,73.334800,2.654800,-1.246000
1,37,149.586100,2.423100,-0.180000
1,38,1709.722900,5.888700,-0.228600
1,39,1709.722900,5.888700,-0.228600
2,1,697.631600,6.680700,-0.416100
2,2,604.845000,5.983500,-0.378900
2,3,432.218600,6.294100,-0.502800
2,4,133.868900,6.779800,-0.737500
2,5,202.886000,8.746900,-0.831700
2,6,708.778800,5.767700,-0.362900
2,7,483.375100,7.244300,-0.511100
2,8,1220.096300,7.299500,-0.321100
2,9,4691.633700,7.467100,-0.198900
2,10,206.321100,9.122700,-0.828100
2,11,100.000000,6.000000,-0.860000
2,12,1031.520300,7.661600,-0.359900
2,13,702.185600,5.702500,-0.379800
2,14,514.157500,6.300400,-0.465100
2,15,1181.724400,6.698100,-0.315100
2,16,407.159500,7.288500,-0.590800
2,17,595.106800,5.810300,-0.382100
2,18,227.140000,6.109200,-0.600900
2,19,1196.619100,5.790400,-0.290600
2,20,170.265300,10.068400,-0.879100
2,21,92.296400,4.189000,-0.983000
2,22,254.863400,3.849500,-0.414900
2,23,254.863400,3.849500,-0.414900
2,24,1709.722900,5.888700,-0.228600
2,25,10707.390600,8.467000,-0.186300
2,26,1709.722900,5.888700,-0.228600
2,27,178.644100,4.585200,-0.674600
2,28,89.430100,6.632100,-0.887600
2,29,503.661900,4.954400,-0.208500
2,30,503.661900,4.954400,-0.208500
2,31,89.553500,4.228100,-0.643800
2,32,34749.473600,9.128700,-0.141700
2,33,139.072700,5.206200,-0.540900
2,34,403.322100,4.327100,-0.242200
2,35,55.000000,5.500000,-0.950000
2,36,73.334800,2.654800,-1.246000
2,37,149.586100,2.423100,-0.180000
2,38,1709.722900,5.888700,-0.228600
2,39,1709.722900,5.888700,-0.228600
3,1,697.631600,6.680700,-0.416100
3,2,604.845000,5.983500,-0.378900
3,3,356.114800,6.410000,-0.557200
3,4,89.029800,6.950700,-0.987100
3,5,202.886000,8.746900,-0.831700
3,6,3844.388000,7.068000,-0.212200
3,7,483.375100,7.244300,-0.511100
3,8,1220.096300,7.299500,-0.321100
3,9,4691.633700,7.467100,-0.198900
3,10,206.321100,9.122700,-0.828100
3,11,100.000000,6.000000,-0.860000
3,12,1031.520300,7.661600,-0.359900
3,13,702.185600,5.702500,-0.379800
3,14,433.780700,6.331800,-0.498800
3,15,1181.724400,6.698100,-0.315100
3,16,1091.852600,5.293600,-0.264800
3,17,595.106800,5.810300,-0.382100
3,18,665.094400,5.500200,-0.324600
3,19,609.423500,5.591900,-0.384100
3,20,170.265300,10.068400,-0.879100
3,21,600.095700,3.829700,-0.238000
3,22,139.455100,4.698900,-0.768200
3,23,139.455100,4.698900,-0.768200
3,24,1709.722900,5.888700,-0.228600
3,25,10707.390600,8.467000,-0.186300
3,26,1709.722900,5.888700,-0.228600
3,27,178.644100,4.585200,-0.674600
3,28,89.430100,6.632100,-0.887600
3,29,503.661900,4.954400,-0.208500
3,30,503.661900,4.954400,-0.208500
3,31,89.553500,4.228100,-0.643800
3,32,34749.473600,9.128700,-0.141700
3,33,127.169800,4.897700,-0.466800
3,34,403.322100,4.327100,-0.242200
3,35,55.000000,5.500000,-0.950000
3,36,73.334800,2.654800,-1.246000
3,37,149.586100,2.423100,-0.180000
3,38,1709.722900,5.888700,-0.228600
3,39,1709.722900,5.888700,-0.228600
4,1,223.349200,6.396400,-0.656600
4,2,475.169800,6.247200,-0.481200
4,3,432.218600,6.294100,-0.502800
4,4,290.514200,6.414300,-0.472400
4,5,375.382000,6.088000,-0.472000
4,6,375.382000,6.088000,-0.472000
4,7,247.734800,6.183000,-0.633500
4,8,255.463800,5.557700,-0.605400
4,9,4691.633700,7.467100,-0.198900
4,10,206.321100,9.122700,-0.828100
4,11,139.715900,4.009100,-0.708000
4,12,1031.520300,7.661600,-0.359900
4,13,702.185600,5.702500,-0.379800
4,14,1333.817600,6.621900,-0.312000
4,15,1181.724400,6.698100,-0.315100
4,16,949.104600,5.848200,-0.325100
4,17,595.106800,5.810300,-0.382100
4,18,1560.684800,6.232800,-0.254100
4,19,317.825700,6.828700,-0.603400
4,20,2478.098800,7.076200,-0.245600
4,21,76.517000,2.210700,-0.636500
4,22,484.459100,4.571300,-0.364300
4,23,133.796500,6.405000,-0.832900
4,24,1709.722900,5.888700,-0.228600
4,25,10707.390600,8.467000,-0.186300
4,26,1709.722900,5.888700,-0.228600
4,27,178.644100,4.585200,-0.674600
4,28,59.421400,5.317800,-1.036700
4,29,503.661900,4.954400,-0.208500
4,30,503.661900,4.954400,-0.208500
4,31,73.914700,3.963000,-0.827700
4,32,34749.473600,9.128700,-0.141700
4,33,77.220700,3.518100,-0.589400
4,34,403.322100,4.327100,-0.242200
4,35,55.000000,5.500000,-0.950000
4,36,73.334800,2.654800,-1.246000
4,37,149.586100,2.423100,-0.180000
4,38,1709.722900,5.888700,-0.228600
4,39,1709.722900,5.888700,-0.228600
5,1,237.918900,7.794800,-0.726100
5,2,475.169800,6.247200,-0.481200
5,3,432.218600,6.294100,-0.502800
5,4,133.868900,6.779800,-0.737500
5,5,375.382000,6.088000,-0.472000
5,6,375.382000,6.088000,-0.472000
5,7,483.375100,7.244300,-0.511100
5,8,97.776900,8.820200,-1.053400
5,9,4691.633700,7.467100,-0.198900
5,10,206.321100,9.122700,-0.828100
5,11,105.445300,7.969400,-1.091600
5,12,1031.520300,7.661600,-0.359900
5,13,702.185600,5.702500,-0.379800
5,14,514.157500,6.300400,-0.465100
5,15,1181.724400,6.698100,-0.315100
5,16,439.119500,5.817600,-0.485400
5,17,595.106800,5.810300,-0.382100
5,18,1012.126700,6.095700,-0.308300
5,19,395.497600,6.422200,-0.532000
5,20,192.960900,7.387600,-0.723100
5,21,160.217100,3.304400,-0.529900
5,22,10099.720900,7.637500,-0.162100
5,23,133.796500,6.405000,-0.832900
5,24,1709.722900,5.888700,-0.228600
5,25,10707.390600,8.467000,-0.186300
5,26,1709.722900,5.888700,-0.228600
5,27,178.644100,4.585200,-0.674600
5,28,55.000000,5.500000,-0.950000
5,29,503.661900,4.954400,-0.208500
5,30,503.661900,4.954400,-0.208500
5,31,73.914700,3.963000,-0.827700
5,32,34749.473600,9.128700,-0.141700
5,33,139.072700,5.206200,-0.540900
5,34,444.561800,3.920500,-0.239700
5,35,55.000000,5.500000,-0.950000
5,36,73.334800,2.654800,-1.246000
5,37,149.586100,2.423100,-0.180000
5,38,1709.722900,5.888700,-0.228600
5,39,1709.722900,5.888700,-0.228600
6,1,697.631600,6.680700,-0.416100
6,2,604.845000,5.983500,-0.378900
6,3,432.218600,6.294100,-0.502800
6,4,133.868900,6.779800,-0.737500
6,5,202.886000,8.746900,-0.831700
6,6,708.778800,5.767700,-0.362900
6,7,483.375100,7.244300,-0.511100
6,8,1220.096300,7.299500,-0.321100
6,9,4691.633700,7.467100,-0.198900
6,10,206.321100,9.122700,-0.828100
6,11,100.000000,6.000000,-0.860000
6,12,1031.520300,7.661600,-0.359900
6,13,702.185600,5.702500,-0.379800
6,14,514.157500,6.300400,-0.465100
6,15,1181.724400,6.698100,-0.315100
6,16,407.159500,7.288500,-0.590800
6,17,595.106800,5.810300,-0.382100
6,18,227.140000,6.109200,-0.600900
6,19,1196.619100,5.790400,-0.290600
6,20,170.265300,10.068400,-0.879100
6,21,92.296400,4.189000,-0.983000
6,22,254.863400,3.849500,-0.414900
6,23,254.863400,3.849500,-0.414900
6,24,1709.722900,5.888700,-0.228600
6,25,10707.390600,8.467000,-0.186300
6,26,1709.722900,5.888700,-0.228600
6,27,178.644100,4.585200,-0.674600
6,28,89.430100,6.632100,-0.887600
6,29,503.661900,4.954400,-0.208500
6,30,503.661900,4.954400,-0.208500
6,31,89.553500,4.228100,-0.643800
6,32,34749.473600,9.128700,-0.141700
6,33,139.072700,5.206200,-0.540900
6,34,403.322100,4.327100,-0.242200
6,35,55.000000,5.500000,-0.950000
6,36,73.334800,2.654800,-1.246000
6,37,149.586100,2.423100,-0.180000
6,38,1709.722900,5.888700,-0.228600
6,39,1709.722900,5.888700,-0.228600
