species_index,scf_min_dbh,scf_top_dib,top_dib,stump,scf_stump,dbh_min,bf_min_dbh,bf_top_dib,bf_stump
1,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
2,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
3,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
4,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
5,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
6,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
7,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
8,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
9,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
10,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
11,6.0,4.5,4.5,1.0,1.0,6.0,6.0,4.5,1.0
12,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
13,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
14,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
15,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
16,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
17,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
18,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
19,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
20,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
21,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
22,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
23,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
24,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
25,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
26,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
27,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
28,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
29,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
30,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
31,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
32,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
33,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
34,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
35,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
36,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
37,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
38,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
39,7.0,4.5,4.5,1.0,1.0,7.0,7.0,4.5,1.0
