index,pa
1,CDS221
2,CDS255
3,CDS651
4,CEF321
5,CES212
6,CES321
7,CES621
8,CFF111
9,CFF211
10,CFF311
11,CFF611
12,CFF612
13,CFF911
14,CFS156
15,CFS211
16,CFS212
17,CFS213
18,CFS214
19,CFS215
20,CFS217
21,CFS218
22,CFS219
23,CFS311
24,CFS611
25,CFS612
26,CHF112
27,CHF121
28,CHF122
29,CHF131
30,CHF132
31,CHF211
32,CHF511
33,CHF911
34,CHM111
35,CHS121
36,CHS122
37,CHS123
38,CHS131
39,CHS132
40,CHS133
41,CHS134
42,CHS136
43,CHS137
44,CHS138
45,CHS139
46,CHS221
47,CHS222
48,CHS321
49,CHS322
50,CHS323
51,CHS324
52,CHS331
53,CHS332
54,CHS333
55,CHS334
56,CHS335
57,CHS421
58,CHS422
59,CHS423
60,CHS512
61,CHS521
62,CHS610
63,CHS621
64,CHS622
65,CHS623
66,CHS624
67,CMS242
68,CSF111
69,CSF121
70,CSF321
71,CSS221
72,CSS321
73,CSS521
74,CSS522
75,CSS621
