pvcode,pvref,habpvr
CA,639,CFF911
CAC0,639,CFF911
CAC1,609,
CAC1,639,
CAC111,626,
CAC111,639,
CAC112,626,
CAC112,639,
CAC113,626,
CAC113,639,
CAC114,626,
CAC114,639,
CAC115,626,
CAC115,639,
CAC2,639,CFF911
CAC3,639,
CAC4,639,CFF911
CAC5,639,CES212
CAC6,639,CFF911
CAF0,622,
CAF0,639,CES321
CAF0,640,CES321
CAF2,622,
CAF2,640,CES321
CAF211,623,
CAF211,639,CES321
CAF311,623,
CAF311,639,CES321
CAF312,647,CES321
CAF312,648,CES321
CAF312,650,CES321
CAF321,626,
CAF321,639,CES321
CAF322,640,CES321
CAF323,640,CES321
CAF324,640,CES321
CAG0,639,CES321
CAG1,632,
CAG111,604,
CAG111,622,
CAG111,639,
CAG111,640,
CAG112,609,
CAG112,626,
CAG112,627,
CAG112,639,
CAG131,640,CES321
CAG132,640,CES321
CAG133,640,CES321
CAG211,623,
CAG211,639,
CAG221,626,
CAG221,639,
CAG221,640,
CAG222,640,CES321
CAG3,622,
CAG3,640,CES321
CAG311,623,
CAG311,639,CES321
CAG312,623,
CAG312,639,CES321
CAG313,647,CES321
CAG313,648,CES321
CAG313,650,CES321
CAG314,647,CES321
CAG314,648,CES321
CAG314,650,CES321
CAG4,622,
CARR,639,CES321
CARS,639,CES321
CARX,639,CES321
CAS0,639,CES321
CAS211,623,
CAS211,639,CES321
CAS212,647,CES321
CAS212,648,CES321
CAS212,650,CES321
CAS221,626,
CAS221,639,CES321
CAS311,626,
CAS311,639,CES321
CAS311,640,CES321
CAS312,640,CES321
CAS313,640,CES321
CAS411,623,
CAS411,639,CES321
CAS412,647,CES321
CAS412,648,CES321
CAS412,650,CES321
CAS421,626,
CAS421,639,CES321
CAS422,640,CES321
CAS423,640,CES321
CAS424,640,CES321
CAS511,640,CES321
CAS512,640,CES321
CAS611,640,CES321
CAS621,640,CES321
CAS622,640,CES321
CAS623,640,CES321
CAS624,640,CES321
CAS625,640,CES321
CAS626,640,CES321
CAS627,640,CES321
CAS628,640,CES321
CAS629,640,CES321
CAXX,639,CES321
CC,639,CHS211
CCC0,639,CHS211
CCC1,639,CHS211
CCC2,639,CHS211
CCF0,639,CHS211
CCF1,639,CHS211
CCF110,625,
CCF110,639,CHS123
CCF121,632,
CCF121,639,CHF122
CCF211,619,
CCF211,639,CHF211
CCF212,620,
CCF212,639,CHF211
CCF221,627,
CCF221,638,CHF211
CCF221,639,CHF222
CCF222,627,
CCF222,631,CHF211
CCF222,639,CHF211
CCF231,631,CHF211
CCF232,631,CHF211
CCFA,639,CHF222
CCM0,639,CHS621
CCM1,639,CHM111
CCM2,639,CHM111
CCM3,639,CHS123
CCS0,639,CHS621
CCS1,639,CHS421
CCS110,625,
CCS110,639,CHS421
CCS2,639,CHS512
CCS211,626,
CCS211,627,
CCS211,632,
CCS211,639,CHS512
CCS221,639,CHS512
CCS3,639,CHS610
CCS311,627,
CCS311,639,CHS610
CCS321,632,
CCS321,639,CHS610
CCS4,639,CHS621
