species_index,code_alpha,code_fia,code_plants,bark1,bark2,bark_imap,dg_resid_sd,ht1,ht2,sichg_a,sichg_b,sichg_refage,sichg_refloc,site_redux,crown_imap,is_sprouting
1,SF,011,ABAM,0.904973,1.0,1,0.3428,5.487,-16.701,21.35,-0.1029,100,0,1.0,1,0
2,WF,015,ABCO,0.904973,1.0,1,0.439,5.308,-13.624,9.0184,-0.057,50,0,1.0,2,0
3,GF,017,ABGR,0.904973,1.0,1,0.439,5.308,-13.624,9.0184,-0.057,50,0,1.0,2,0
4,AF,019,ABLA,0.904973,1.0,1,0.396,5.313,-15.321,33.72545,-0.27451,100,0,1.0,3,0
5,RF,020,ABMA,0.904973,1.0,1,0.3102,5.313,-15.321,14.81367,-0.11174,50,0,1.0,3,0
6,SS,098,PISI,0.95833,1.0,1,0.3769,5.517,-17.944,6.01954,-0.03636,50,0,1.0,17,0
7,NF,022,ABPR,0.904973,1.0,1,0.4275,5.327,-15.45,7.938059,-0.02873,100,0,1.0,4,0
8,YC,042,CANO9,0.837291,1.0,1,0.3931,5.143,-13.497,11.56252,-0.05586,100,0,1.0,15,0
9,IC,081,CADE27,0.837291,1.0,1,0.4842,5.188,-13.801,8.0,-0.04286,100,0,1.0,11,0
10,ES,093,PIEN,0.9,0.0,3,0.4842,5.188,-13.801,33.72545,-0.27451,100,0,1.0,11,0
11,LP,108,PICO,0.9,0.0,3,0.369,4.865,-9.305,10.65724,-0.10667,50,1,1.0,16,0
12,JP,116,PIJE,0.859045,1.0,1,0.3222,5.333,-17.762,8.0,-0.04259,100,0,1.0,6,0
13,SP,117,PILA,0.859045,1.0,1,0.5494,5.382,-15.866,21.02281,-0.15978,100,0,1.0,5,0
14,WP,119,PIMO3,0.859045,1.0,1,0.5494,5.382,-15.866,21.02281,-0.15978,100,0,1.0,5,0
15,PP,122,PIPO,0.809427,1.016866,1,0.3222,5.333,-17.762,8.0,-0.04286,100,0,1.0,6,0
16,DF,202,PSME,0.903563,0.989388,1,0.2679,5.563,-16.475,4.94166,-0.02419,50,0,1.0,7,0
17,RW,211,SESE3,0.7012,1.04862,1,0.6178,5.3401,-15.9354,11.56252,-0.05586,100,0,1.0,11,1
18,RC,242,THPL,0.94967,1.0,1,0.3625,5.233,-14.737,6.01954,-0.03636,50,0,1.0,8,0
19,WH,263,TSHE,0.93371,1.0,1,0.3402,5.355,-13.878,6.15767,-0.03596,50,0,1.0,9,0
20,MH,264,TSME,0.94967,1.0,1,0.3751,5.081,-13.43,45.24969,-1.28885,100,0,1.0,10,0
21,BM,312,ACMA3,0.0836,0.94782,2,0.5107,4.7,-6.326,11.56252,-0.05586,100,0,0.75,12,1
22,RA,351,ALRU2,0.075256,0.94373,2,0.3328,4.875,-8.639,3.28241,-0.02987,20,1,1.0,13,1
23,WA,352,ALRH2,0.075256,0.94373,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.65,14,1
24,PB,375,BEPA,0.0836,0.94782,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,1.5,14,1
25,GC,431,CHCHC4,0.15565,0.90182,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.7,14,1
26,AS,746,POTR5,0.075256,0.94373,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.75,14,1
27,CW,747,POBAT,0.075256,0.94373,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.85,14,1
28,WO,815,QUGA4,0.8558,1.0213,1,0.236,5.152,-13.576,4.94166,-0.02419,50,0,1.0,14,1
29,WJ,064,JUOC,0.94967,1.0,1,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.23,14,0
30,LL,072,LALY,0.9,0.0,3,0.4842,5.188,-13.801,8.11668,-0.05661,50,0,1.0,11,0
31,WB,101,PIAL,0.93329,1.0,1,0.4842,5.188,-13.801,11.56252,-0.05586,100,0,0.7,11,0
32,KP,103,PIAT,0.93329,1.0,1,0.4842,5.188,-13.801,11.56252,-0.05586,100,0,1.0,11,0
33,PY,231,TABR2,0.93329,1.0,1,0.4842,5.188,-13.801,11.56252,-0.05586,100,0,0.25,11,1
34,DG,492,CONU4,0.075256,0.94373,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.6,14,1
35,HT,500,CRATA,0.075256,0.94373,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.25,14,1
36,CH,768,PREM,0.075256,0.94373,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.5,14,1
37,WI,920,SALIX,0.075256,0.94373,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.5,14,1
38,__,998,,0.9,0.0,3,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,1.0,14,0
39,OT,999,2TREE,0.9,0.0,3,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,1.0,14,0
