code_alpha,code_fia,code_plants,target_pn,target_pn2,target_pn3,target_pn4
,011,,SF,SF,SF,SF
,015,,WF,WF,WF,WF
,017,,GF,GF,GF,GF
,019,,AF,AF,AF,AF
,020,,RF,RF,RF,RF
,999,,__,__,__,__
,022,,NF,NF,NF,NF
,042,,YC,YC,YC,YC
,081,,IC,IC,IC,IC
,093,,ES,ES,ES,ES
,108,,LP,LP,LP,LP
,116,,JP,JP,JP,JP
,117,,SP,SP,SP,SP
,119,,WP,WP,WP,WP
,122,,PP,PP,PP,PP
,202,,DF,DF,DF,DF
,211,,RW,RW,RW,RW
,242,,RC,RC,RC,RC
,263,,WH,WH,WH,WH
,264,,MH,MH,MH,MH
,312,,BM,BM,BM,BM
,351,,RA,RA,RA,RA
,352,,WA,WA,WA,WA
,375,,PB,PB,PB,PB
,431,,GC,GC,GC,GC
,746,,AS,AS,AS,AS
,747,,CW,CW,CW,CW
,815,,WO,WO,WO,WO
,064,,WJ,WJ,WJ,WJ
,072,,LL,LL,LL,LL
,101,,WB,WB,WB,WB
,103,,KP,KP,KP,KP
,231,,PY,PY,PY,PY
,492,,DG,DG,DG,DG
,500,,HT,HT,HT,HT
,768,,CH,CH,CH,CH
,920,,WI,WI,WI,WI
,998,,__,__,__,__
,999,,OT,OT,OT,OT
,098,,SS,SS,SS,SS
