pa,spc,fvsseq,sdimx,site,numbr,iflag
CDS612,DF,3,755,85,1,1
CDS613,WF,4,810,90,1,1
CDS614,DF,3,615,78,1,1
CEM111,ES,8,635,80,1,1
CEM221,ES,8,712,90,1,1
CEM222,ES,8,842,105,1,1
CEM311,ES,8,643,85,1,1
CEM312,ES,8,444,76,1,1
CLC111,LP,7,625,30,1,1
CLC112,LP,7,690,25,1,1
CLF111,LP,7,365,43,1,1
CLG311,LP,7,480,38,1,1
CLG313,LP,7,395,45,1,1
CLG314,LP,7,660,52,1,1
CLG315,LP,7,510,44,1,1
CLG411,LP,7,680,49,1,1
CLG412,LP,7,635,50,1,1
CLG413,LP,7,590,37,1,1
CLG415,LP,7,540,40,1,1
CLH111,LP,7,345,48,1,1
CLM111,LP,7,540,51,1,1
CLM112,LP,7,538,55,1,1
CLM113,LP,7,491,57,1,1
CLM114,LP,7,549,45,1,1
CLM211,LP,7,585,48,1,1
CLM311,LP,7,570,47,1,1
CLM312,LP,7,466,54,1,1
CLM313,LP,7,558,51,1,1
CLM314,LP,7,519,59,1,1
CLM411,LP,7,535,56,1,1
CLM911,LP,7,495,35,1,1
CLS112,LP,7,180,41,1,1
CLS211,LP,7,405,46,1,1
CLS212,LP,7,405,52,1,1
CLS213,LP,7,400,43,1,1
CLS214,LP,7,400,45,1,1
CLS215,LP,7,370,41,1,1
CLS216,LP,7,345,36,1,1
CLS311,LP,7,575,31,1,1
CLS412,LP,7,865,45,1,1
CLS413,LP,7,444,55,1,1
CLS414,LP,7,290,43,1,1
CLS911,LP,7,575,44,1,1
CMS111,MH,5,895,30,1,1
CPC211,PP,10,345,82,1,1
CPF111,PP,10,510,84,1,1
CPG212,PP,10,575,97,1,1
CPH311,PP,10,485,84,1,1
CPS111,PP,10,285,70,1,1
CPS112,PP,10,335,75,1,1
CPS121,PP,10,450,82,1,1
CPS211,PP,10,460,81,1,1
CPS212,PP,10,440,85,1,1
CPS213,PP,10,345,81,1,1
CPS214,PP,10,450,88,1,1
CPS215,PP,10,425,89,1,1
CPS216,PP,10,225,77,1,1
CPS217,PP,10,425,76,1,1
CPS218,PP,10,385,80,1,1
CPS311,PP,10,550,85,1,1
CPS312,PP,10,345,89,1,1
CPS314,PP,10,365,90,1,1
CPS511,PP,10,516,101,1,1
CRG111,RF,9,745,120,1,1
CRS111,RF,9,725,79,1,1
CRS112,RF,9,910,99,1,1
CRS311,RF,9,775,114,1,1
CWC111,WF,4,665,58,1,1
CWC211,PP,10,675,96,1,1
CWC212,PP,10,630,95,1,1
CWC213,PP,10,645,87,1,1
CWC215,WF,4,671,78,1,1
CWC311,WF,4,770,54,1,1
CWC411,WF,4,910,56,1,1
CWC412,WF,4,510,68,1,1
CWC911,ES,8,682,86,1,1
CWF431,WF,4,872,81,1,1
CWH111,PP,10,675,91,1,1
CWH112,WF,4,750,84,1,1
CWH211,PP,10,270,84,1,1
CWM111,WF,4,607,81,1,1
CWS112,PP,10,660,85,1,1
CWS113,PP,10,660,88,1,1
CWS114,PP,10,725,86,1,1
CWS115,PP,10,790,88,1,1
CWS116,WF,4,560,65,1,1
CWS117,PP,10,570,86,1,1
CWS312,WF,4,485,69,1,1
CWS313,WF,4,810,63,1,1
HQM121,LP,7,464,55,1,1
HQM411,LP,7,640,59,1,1
HQS221,PP,10,596,101,1,1
