species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp,bio_group,dbh_min,is_sprouting,sprout_ht1,sprout_ht2
1,15,22.5,15,4,1,1,1,1.0,1.0,110,4,4,9.0,0,0,0
2,15,21.2,15,3,1,1,1,1.0,1.0,110,4,4,9.0,0,0,0
3,3,28.7,15,5,1,1,1,1.0,1.0,110,2,2,9.0,0,0,0
4,4,23.1,15,7,3,3,1,1.0,1.0,90,3,3,9.0,0,0,0
5,24,26.2,15,4,2,2,1,1.0,1.0,90,3,3,9.0,0,0,0
6,20,21.8,20,5,1,1,1,1.0,1.0,90,1,1,9.0,0,0,0
7,11,23.7,15,3,2,2,1,1.0,1.0,90,4,4,9.0,0,0,0
8,18,20.6,10,6,2,2,1,1.0,1.0,90,5,5,9.0,0,0,0
9,4,22.5,15,7,3,3,1,1.0,1.0,90,3,3,9.0,0,5.2973,-17.2042
10,13,23.7,10,4,3,3,1,1.0,1.0,100,4,4,9.0,0,0,0
11,16,34.9,15,4,1,1,1,1.0,1.0,100,10,10,9.0,0,3.2,-5.0
12,4,21.8,15,7,3,3,1,1.0,1.0,90,3,3,9.0,0,0,0
13,1,19.3,15,7,3,3,1,1.0,1.0,90,3,3,9.0,0,0,0
14,4,24.9,15,7,3,3,1,1.0,1.0,90,3,3,9.0,0,5.032,-10.482
15,4,23.1,15,7,3,3,1,1.0,1.0,90,3,3,9.0,0,5.327,-15.45
16,14,22.5,15,3,1,1,1,1.0,1.0,110,4,4,9.0,0,4.192,-5.1651
17,8,29.9,15,1,1,1,1,1.0,1.0,110,1,1,9.0,0,4.961,-8.247
18,7,19.3,20,5,1,1,1,1.0,1.0,90,1,1,9.0,0,4.896,-8.391
19,6,26.2,15,5,2,2,1,1.0,1.0,90,3,3,9.0,0,5.298,-13.24
20,7,26.2,20,7,1,1,1,1.0,1.0,90,3,3,9.0,1,5.188,-13.801
21,23,23.1,15,1,4,4,1,1.0,1.0,90,6,6,9.0,1,5.152,-13.576
22,23,23.1,15,1,4,4,1,1.0,1.0,90,6,6,9.0,1,4.886,-8.792
23,5,27.4,15,1,4,4,1,1.0,1.0,90,7,7,9.0,1,4.7,-6.326
24,41,21.8,15,1,4,4,1,1.0,1.0,90,6,6,9.0,1,4.4421,-6.5405
25,17,19.3,15,1,4,4,1,1.0,1.0,90,6,6,9.0,1,5.152,-13.576
26,61,29.3,15,1,4,4,1,1.0,1.0,90,8,8,9.0,1,5.152,-13.576
27,17,37.4,15,1,3,3,1,1.0,1.0,90,9,9,9.0,1,3.8314,-4.8221
28,64,22.5,15,1,4,4,1,1.0,1.0,90,6,6,9.0,1,5.152,-13.576
29,17,36.2,15,1,3,3,1,1.0,1.0,90,8,8,9.0,1,5.152,-13.576
30,41,21.8,15,1,4,4,1,1.0,1.0,90,10,10,9.0,0,5.152,-13.576
31,41,21.8,15,1,4,4,1,1.0,1.0,90,10,10,9.0,1,5.152,-13.576
32,3,28.7,15,5,1,1,1,1.0,1.0,110,2,2,9.0,0,0,0
33,41,21.8,15,1,4,4,1,1.0,1.0,90,8,8,9.0,0,5.152,-13.576
