index,pa
1,CDS612
2,CDS613
3,CDS614
4,CEM111
5,CEM221
6,CEM222
7,CEM311
8,CEM312
9,CLC111
10,CLC112
11,CLF111
12,CLG311
13,CLG313
14,CLG314
15,CLG315
16,CLG411
17,CLG412
18,CLG413
19,CLG415
20,CLH111
21,CLM111
22,CLM112
23,CLM113
24,CLM114
25,CLM211
26,CLM311
27,CLM312
28,CLM313
29,CLM314
30,CLM411
31,CLM911
32,CLS112
33,CLS211
34,CLS212
35,CLS213
36,CLS214
37,CLS215
38,CLS216
39,CLS311
40,CLS412
41,CLS413
42,CLS414
43,CLS911
44,CMS111
45,CPC211
46,CPF111
47,CPG212
48,CPH311
49,CPS111
50,CPS112
51,CPS121
52,CPS211
53,CPS212
54,CPS213
55,CPS214
56,CPS215
57,CPS216
58,CPS217
59,CPS218
60,CPS311
61,CPS312
62,CPS314
63,CPS511
64,CRG111
65,CRS111
66,CRS112
67,CRS311
68,CWC111
69,CWC211
70,CWC212
71,CWC213
72,CWC215
73,CWC311
74,CWC411
75,CWC412
76,CWC911
77,CWF431
78,CWH111
79,CWH112
80,CWH211
81,CWM111
82,CWS112
83,CWS113
84,CWS114
85,CWS115
86,CWS116
87,CWS117
88,CWS312
89,CWS313
90,HQM121
91,HQM411
92,HQS221
