species_index,code_alpha,code_fia,code_plants,so_brdat,so_bark1,so_bark2,so_bark_eqtype,dg_resid_sd,sichg_a,sichg_b,sichg_refage,sichg_refloc
1,WP,119,PIMO3,0.964,0,0,0.0,0.26248,18.43316,-0.13399,50.0,1.0
2,SP,117,PILA,0.851,0,0,0.0,0.26795,8,-0.04286,100.0,0.0
3,DF,202,PSME,0.867,0,0,0.0,0.27398,8.5,-0.05,50.0,0.0
4,WF,015,ABCO,0.915,0,0,0.0,0.26064,9.0184,-0.057,50.0,0.0
5,MH,264,TSME,0.934,0,0,0.0,0.28256,45.24969,-1.28885,100.0,0.0
6,IC,081,CADE27,0.95,0,0,0.0,0.26601,9.0184,-0.057,50.0,0.0
7,LP,108,PICO,0.969,0,0,0.0,0.34451,10.65724,-0.10667,50.0,1.0
8,ES,093,PIEN,0.956,0,0,0.0,0.5162,33.72545,-0.274509,100.0,0.0
9,SH,021,ABSH,0.0,-0.1593,0.8911,2.0,0.4112,0,0,50.0,0.0
10,PP,122,PIPO,0.89,0,0,0.0,0.29512,8,-0.04286,100.0,0.0
11,WJ,064,JUOC,0.0,0,0,0.0,0.34663,34,-0.2,100.0,1.0
12,GF,017,ABGR,0.915,0,0,0.0,0.26064,9.0184,-0.057,50.0,0.0
13,AF,019,ABLA,0.937,0,0,0.0,0.259,13.882,-0.06588,100.0,0.0
14,SF,011,ABAM,0.903,0,0,0.0,0.34663,9.0184,-0.057,50.0,0.0
15,NF,022,ABPR,0.0,0.904973,1.0,1.0,0.4275,7.938059,-0.02873,100.0,0.0
16,WB,101,PIAL,0.969,0,0,0.0,0.34663,34,-0.2,100.0,1.0
17,WL,073,LAOC,0.851,0,0,0.0,0.34663,8.1168,-0.05661,50.0,0.0
18,RC,242,THPL,0.95,0,0,0.0,0.34663,24.62857,-0.20465,100.0,1.0
19,WH,263,TSHE,0.0,0.93371,1.0,1.0,0.4104,6.15767,-0.03596,50.0,0.0
20,PY,231,TABR2,0.0,0.93329,1.0,1.0,0.4842,11.56252,-0.05586,100.0,0.0
21,WA,352,ALRH2,0.0,0.075256,0.94967,2.0,0.5357,11.56252,-0.05586,100.0,0.0
22,RA,351,ALRU2,0.0,0.075256,0.94967,2.0,0.7487,3.28241,-0.02987,20.0,1.0
23,BM,312,ACMA3,0.0,0.0836,0.94782,2.0,0.5107,11.56252,-0.05586,100.0,0.0
24,AS,746,POTR5,0.95,0,0,0.0,0.34663,34,-0.2,80.0,0.0
25,CW,747,POBAT,0.0,0.075256,0.94967,2.0,0.5357,11.56252,-0.05586,100.0,0.0
26,CH,768,PREM,0.0,0.075256,0.94967,2.0,0.5357,11.56252,-0.05586,100.0,0.0
27,WO,815,QUGA4,0.0,-0.30722,0.95956,2.0,0.5998,0,0,50.0,0.0
28,WI,920,SALIX,0.0,0.075256,0.94967,2.0,0.5357,11.56252,-0.05586,100.0,0.0
29,GC,431,CHCHC4,0.0,0.075256,0.94967,2.0,0.5357,11.56252,-0.05586,100.0,0.0
30,MC,475,CELE3,0.0,0.9,1.0,1.0,0.5357,11.56252,-0.05586,100.0,0.0
31,MB,478,CEMOG,0.0,0.9,1.0,1.0,0.5357,11.56252,-0.05586,100.0,0.0
32,OS,299,2TN,0.867,0,0,0.0,0.27398,8.5,-0.05,50.0,0.0
33,OH,998,2TB,0.0,0.9,1.0,1.0,0.5357,11.56252,-0.05586,100.0,0.0
