eq,b0,b1
1,0.00869,1.48
2,0.00454,1.73
3,0.01691,1.05
4,0.00946,1.59
5,0.00422,1.7
6,0.00509,1.81
7,0.00458,1.91
8,0.00335,1.73
9,0.01367,1.44
10,0.0025,2.0
11,0.00609,1.67
12,0.00914,1.67
13,0.009,1.51
14,0.0068,1.72
15,0.00769,1.54
16,0.00433,1.8
17,0.00313,2.11
18,0.00427,1.67
19,0.00333,1.68
20,0.0,1.0
21,0.0,1.0
22,0.0,1.0
23,0.0,1.0
24,0.0,1.0
25,0.01105,1.53
26,0.01671,1.41
27,0.00694,1.86
28,0.00635,1.89
29,0.01119,1.63
30,0.01546,1.5
31,0.00429,1.87
32,0.01429,1.46
33,0.02197,1.13
34,0.0,1.0
35,0.00442,2.02
36,0.00688,1.86
