species_index,bark_b0,bark_b1
1,0.05119,0.89372
2,-0.27012,0.97546
3,-0.17289,0.91572
4,-0.39956,0.95183
5,-0.44121,0.93045
6,-0.55073,0.91887
7,-0.13301,0.93755
8,-0.45903,0.92746
9,0.05119,0.89372
10,-0.58808,0.91852
11,-0.51271,0.90245
12,-0.31608,0.92054
13,-0.48140,0.91413
14,-0.31137,0.95011
15,-0.27012,0.97546
16,-0.94204,0.96735
17,-0.04931,0.92272
18,-0.09800,0.94646
19,-0.09800,0.94646
20,-0.09800,0.94646
21,-0.09800,0.94646
22,-0.09800,0.94646
23,-0.35332,0.95955
24,0.21790,0.92290
25,0.21790,0.92290
26,-0.13040,0.97071
27,-0.60912,0.94347
28,-0.33014,0.94215
29,-0.18338,0.95768
30,-0.33014,0.94215
31,-0.33014,0.94215
32,-0.42001,0.94264
33,-0.13040,0.97071
34,-0.34316,0.93964
35,-0.48735,0.93847
36,-0.25063,0.94349
37,-0.34316,0.93964
38,-0.42001,0.94264
39,-0.33014,0.94215
40,-0.33014,0.94215
41,-0.33014,0.94215
42,-0.42001,0.94264
43,-0.42001,0.94264
44,-0.39271,0.95997
45,-0.22976,0.92408
46,-0.21140,0.94461
47,-0.21140,0.94461
48,-0.21140,0.94461
49,-0.17978,0.92381
50,-0.21140,0.94461
51,-0.33014,0.94215
52,-0.33014,0.94215
53,-0.38140,0.97327
54,0.19899,0.88941
55,-0.15231,0.93442
56,-0.42001,0.94264
57,-0.25063,0.94349
58,-0.33014,0.94215
59,-0.09192,0.96411
60,-0.25063,0.94349
61,-0.25063,0.94349
62,-0.12958,0.94152
63,-0.24096,0.93789
64,-0.40860,0.94613
65,-0.42141,0.93008
66,-0.21801,0.93540
67,-0.61021,0.95803
68,-0.04612,0.93127
69,-0.37973,0.94380
70,-0.61021,0.95803
71,-0.49699,0.94832
72,-0.34225,0.93494
73,-0.30330,0.95826
74,-0.43197,0.92120
75,-0.52266,0.95215
76,-0.61021,0.95803
77,-0.26493,0.91899
78,-0.70754,0.94821
79,-0.70754,0.94821
80,-0.37166,0.89193
81,-0.25063,0.94349
82,-0.25063,0.94349
83,-0.35979,0.95322
84,-0.42027,0.96305
85,-0.42027,0.96305
86,-0.42027,0.96305
87,-0.42027,0.96305
88,-0.38344,0.91915
89,-0.33014,0.94215
90,-0.25063,0.94349
