species,equation_default,equation_open
AB,53101,53101
AC,40701,40703
AE,97201,97203
AH,39101,39101
AI,49101,49101
AP,76102,76102
AS,54401,54403
AW,24101,24101
BA,54301,54301
BB,37301,37301
BC,76201,76203
BD,95101,95101
BE,31301,31301
BF,01201,01203
BG,69301,69301
BH,40201,40201
BI,40801,40801
BJ,82401,82401
BK,90101,90101
BL,97201,97203
BM,31801,31803
BN,60201,60201
BO,83701,83704
BP,74101,74101
BR,82301,82303
BS,09501,09503
BT,74301,74301
BU,40701,40703
BW,95101,95101
BY,22101,22101
CA,93101,93101
CB,81201,81201
CC,76102,76102
CK,82601,82601
CM,31801,31803
CO,83201,83201
CT,65101,65101
CW,74201,74203
DM,97201,97203
DO,83501,83501
DP,83501,83501
DW,49101,49101
EC,74201,74203
EH,26101,26101
EL,97201,97203
FM,31801,31803
FR,01201,01203
GA,54401,54403
GB,37501,37503
HA,49101,49101
HB,46201,46201
HH,70101,70101
HI,40701,40703
HK,46201,46201
HL,55201,55201
HM,26101,26101
HT,49101,49101
HY,59101,59101
JP,10501,10503
JU,06801,06801
KC,90101,90101
LB,65301,65301
LK,82001,82001
LL,12101,12105
LO,83801,83801
LP,13101,13105
MA,55201,55201
MB,68201,68201
MG,65301,65301
MH,40901,40901
ML,65301,65301
MM,31301,31301
MP,31801,31803
MS,65301,65301
MV,65301,65301
NK,81201,81201
NP,80901,80901
NS,09101,09104
OB,40701,40703
OC,06801,06801
OG,69101,69101
OH,93101,93101
OK,80201,80204
OO,93101,93101
OP,12901,12903
OS,06801,06801
OT,31601,31603
OV,82301,82303
PA,54101,54101
PB,37501,37503
PC,22101,22101
PD,12801,12801
PE,40201,40201
PH,40301,40301
PI,09401,09403
PL,76102,76102
PN,83001,83001
PO,83501,83501
PP,12601,12601
PR,76102,76102
PS,52101,52101
PU,13201,13201
PW,93101,93101
PY,74201,74203
PZ,13101,13105
QA,74601,74603
QI,81701,81701
QN,81901,81901
QS,81201,81201
RA,72101,72101
RB,37301,37301
RC,06801,06801
RD,49101,49101
RE,97201,97203
RL,97501,97501
RM,31601,31603
RN,12501,12503
RO,83301,83303
RP,12501,12503
RS,09701,09701
RY,68201,68201
SA,11101,11101
SB,37201,37201
SC,13001,13001
SD,71101,71101
SE,35601,35601
SG,46201,46201
SH,40701,40703
SI,97201,97203
SK,81201,81201
SL,40701,40703
SM,31801,31803
SN,83201,83201
SO,80601,80601
SP,11001,11005
SR,11001,11005
SS,93101,93101
ST,31301,31301
SU,61101,61101
SV,31701,31701
SW,80201,80204
SY,73101,73101
TA,07101,07103
TL,69301,69301
TM,12601,12601
TO,81901,81901
TS,69401,69401
UA,54101,54101
VP,13201,13201
WA,54101,54101
WB,95101,95101
WC,24101,24101
WE,97101,97101
WH,40201,40201
WI,97201,97203
WK,82701,82701
WL,83101,83101
WM,68201,68201
WN,60201,60201
WO,80201,80204
WP,12901,12903
WR,37301,37301
WS,09401,09403
WT,69101,69101
YB,37101,37101
YP,62101,62101
YY,40701,40703
