habitat,fate,product,species_group,years_since_harvest,proportion
1,in_use,pulpwood,softwood,1,0.5703
1,in_use,pulpwood,softwood,2,0.5012
1,in_use,pulpwood,softwood,3,0.4424
1,in_use,pulpwood,softwood,4,0.3926
1,in_use,pulpwood,softwood,5,0.3502
1,in_use,pulpwood,softwood,6,0.3141
1,in_use,pulpwood,softwood,7,0.2820
1,in_use,pulpwood,softwood,8,0.2539
1,in_use,pulpwood,softwood,9,0.2278
1,in_use,pulpwood,softwood,10,0.2042
1,in_use,pulpwood,softwood,11,0.1840
1,in_use,pulpwood,softwood,12,0.1675
1,in_use,pulpwood,softwood,13,0.1543
1,in_use,pulpwood,softwood,14,0.1438
1,in_use,pulpwood,softwood,15,0.1354
1,in_use,pulpwood,softwood,16,0.1286
1,in_use,pulpwood,softwood,17,0.1231
1,in_use,pulpwood,softwood,18,0.1186
1,in_use,pulpwood,softwood,19,0.1148
1,in_use,pulpwood,softwood,20,0.1112
1,in_use,pulpwood,softwood,21,0.1083
1,in_use,pulpwood,softwood,22,0.1058
1,in_use,pulpwood,softwood,23,0.1038
1,in_use,pulpwood,softwood,24,0.1021
1,in_use,pulpwood,softwood,25,0.1005
1,in_use,pulpwood,softwood,26,0.0990
1,in_use,pulpwood,softwood,27,0.0976
1,in_use,pulpwood,softwood,28,0.0963
1,in_use,pulpwood,softwood,29,0.0950
1,in_use,pulpwood,softwood,30,0.0938
1,in_use,pulpwood,softwood,31,0.0927
1,in_use,pulpwood,softwood,32,0.0916
1,in_use,pulpwood,softwood,33,0.0905
1,in_use,pulpwood,softwood,34,0.0895
1,in_use,pulpwood,softwood,35,0.0885
1,in_use,pulpwood,softwood,36,0.0875
1,in_use,pulpwood,softwood,37,0.0865
1,in_use,pulpwood,softwood,38,0.0856
1,in_use,pulpwood,softwood,39,0.0846
1,in_use,pulpwood,softwood,40,0.0837
1,in_use,pulpwood,softwood,41,0.0828
1,in_use,pulpwood,softwood,42,0.0820
1,in_use,pulpwood,softwood,43,0.0811
1,in_use,pulpwood,softwood,44,0.0803
1,in_use,pulpwood,softwood,45,0.0795
1,in_use,pulpwood,softwood,46,0.0786
1,in_use,pulpwood,softwood,47,0.0779
1,in_use,pulpwood,softwood,48,0.0771
1,in_use,pulpwood,softwood,49,0.0763
1,in_use,pulpwood,softwood,50,0.0755
1,in_use,pulpwood,softwood,51,0.0748
1,in_use,pulpwood,softwood,52,0.0741
1,in_use,pulpwood,softwood,53,0.0734
1,in_use,pulpwood,softwood,54,0.0726
1,in_use,pulpwood,softwood,55,0.0719
1,in_use,pulpwood,softwood,56,0.0713
1,in_use,pulpwood,softwood,57,0.0706
1,in_use,pulpwood,softwood,58,0.0699
1,in_use,pulpwood,softwood,59,0.0693
1,in_use,pulpwood,softwood,60,0.0686
1,in_use,pulpwood,softwood,61,0.0680
1,in_use,pulpwood,softwood,62,0.0673
1,in_use,pulpwood,softwood,63,0.0667
1,in_use,pulpwood,softwood,64,0.0661
1,in_use,pulpwood,softwood,65,0.0655
1,in_use,pulpwood,softwood,66,0.0649
1,in_use,pulpwood,softwood,67,0.0643
1,in_use,pulpwood,softwood,68,0.0637
1,in_use,pulpwood,softwood,69,0.0631
1,in_use,pulpwood,softwood,70,0.0626
1,in_use,pulpwood,softwood,71,0.0620
1,in_use,pulpwood,softwood,72,0.0615
1,in_use,pulpwood,softwood,73,0.0609
1,in_use,pulpwood,softwood,74,0.0604
1,in_use,pulpwood,softwood,75,0.0599
1,in_use,pulpwood,softwood,76,0.0593
1,in_use,pulpwood,softwood,77,0.0588
1,in_use,pulpwood,softwood,78,0.0583
1,in_use,pulpwood,softwood,79,0.0578
1,in_use,pulpwood,softwood,80,0.0573
1,in_use,pulpwood,softwood,81,0.0568
1,in_use,pulpwood,softwood,82,0.0563
1,in_use,pulpwood,softwood,83,0.0558
1,in_use,pulpwood,softwood,84,0.0553
1,in_use,pulpwood,softwood,85,0.0549
1,in_use,pulpwood,softwood,86,0.0544
1,in_use,pulpwood,softwood,87,0.0539
1,in_use,pulpwood,softwood,88,0.0535
1,in_use,pulpwood,softwood,89,0.0530
1,in_use,pulpwood,softwood,90,0.0526
1,in_use,pulpwood,softwood,91,0.0521
1,in_use,pulpwood,softwood,92,0.0517
1,in_use,pulpwood,softwood,93,0.0513
1,in_use,pulpwood,softwood,94,0.0508
1,in_use,pulpwood,softwood,95,0.0504
1,in_use,pulpwood,softwood,96,0.0500
1,in_use,pulpwood,softwood,97,0.0496
1,in_use,pulpwood,softwood,98,0.0492
1,in_use,pulpwood,softwood,99,0.0488
1,in_use,pulpwood,softwood,100,0.0484
1,in_use,pulpwood,softwood,101,0.0480
1,landfill,pulpwood,softwood,1,0.0000
1,landfill,pulpwood,softwood,2,0.0237
1,landfill,pulpwood,softwood,3,0.0433
1,landfill,pulpwood,softwood,4,0.0594
1,landfill,pulpwood,softwood,5,0.0727
1,landfill,pulpwood,softwood,6,0.0836
1,landfill,pulpwood,softwood,7,0.0929
1,landfill,pulpwood,softwood,8,0.1007
1,landfill,pulpwood,softwood,9,0.1076
1,landfill,pulpwood,softwood,10,0.1136
1,landfill,pulpwood,softwood,11,0.1184
1,landfill,pulpwood,softwood,12,0.1219
1,landfill,pulpwood,softwood,13,0.1243
1,landfill,pulpwood,softwood,14,0.1257
1,landfill,pulpwood,softwood,15,0.1265
1,landfill,pulpwood,softwood,16,0.1268
1,landfill,pulpwood,softwood,17,0.1267
