species_index,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db
1,2163.9468,6.2688084,-0.2161439,0.1
2,212.79327,3.471549,-0.3258523,0.3
3,2163.9468,6.2688084,-0.2161439,0.2
4,3919.995,6.8731275,-0.19063343,0.5
5,444.09216,4.118763,-0.30617043,0.5
6,1087.1014,5.104506,-0.24284896,0.5
7,333.31458,4.1310825,-0.3709254,0.5
8,98.56083,3.899307,-0.8673039,0.5
9,691.5412,4.19801,-0.1856823,0.5
10,208.77731,3.7280657,-0.410875,0.5
11,142.74681,3.972608,-0.5870983,0.5
12,2108.8442,5.6594815,-0.18563136,0.4
13,243.86064,4.2846055,-0.47130185,0.5
14,926.1803,4.462092,-0.20053974,0.5
15,119.574905,4.1353545,-0.7962546,0.2
16,162.65059,3.2079642,-0.47880203,0.2
17,266.45624,3.9931366,-0.38600287,0.1
18,603.67365,3.9896004,-0.21651785,0.2
19,287.94458,3.276747,-0.26617485,0.2
20,268.55643,3.1143284,-0.29411155,0.2
21,80.5118,26.98331,-2.022028,0.2
22,209.85553,2.9528134,-0.36787495,0.2
23,630.95044,4.5108676,-0.2682621,0.3
24,170.52534,2.6883366,-0.40080717,0.1
25,68.92234,43.33832,-2.4444847,0.1
26,628.02094,3.8810396,-0.15387584,0.2
27,337.6685,3.6272647,-0.32083172,0.3
28,190.9797,3.6927888,-0.5273047,0.3
29,484.753,3.939333,-0.25998834,0.1
30,103.17677,2.216955,-0.3596216,0.2
31,863.0501,4.3856025,-0.14812185,0.1
32,488.9349,4.0650377,-0.27180547,0.2
33,526.1393,3.892321,-0.22587083,0.1
34,251.40425,3.269198,-0.35905996,0.2
35,91.35277,6.9960527,-1.2293767,0.2
36,178.93077,4.9286146,-0.6377701,0.2
37,404.9692,3.3901975,-0.255096,0.2
38,778.93567,4.2075644,-0.18734197,0.1
39,265.74228,3.5904179,-0.35232416,0.2
40,2620.5854,5.849937,-0.18030936,0.2
41,1467.6436,5.334385,-0.17395791,0.1
42,285.8798,3.521388,-0.3193688,0.3
43,93.71042,3.6575093,-0.88246834,0.4
44,290.9055,3.6239536,-0.3720123,0.2
45,625.76965,3.8732057,-0.23349497,0.2
46,585.6609,3.4197204,-0.17661706,0.2
47,660.19965,3.9207711,-0.21124354,0.2
48,139.33151,2.8998132,-0.48514023,0.2
49,184.19318,2.8456912,-0.3695251,0.2
50,366.4745,2.8733337,-0.1819814,0.2
51,574.0201,3.863739,-0.16318776,0.2
52,750.1823,4.1426277,-0.15940723,0.2
53,163.97281,2.768197,-0.44098008,0.2
54,319.97885,3.673134,-0.30651322,0.2
55,252.35666,3.2439868,-0.3334313,0.2
56,109.73243,2.250258,-0.41297463,0.2
57,690.49176,4.159832,-0.18613455,0.2
58,257.05325,3.4047449,-0.30291274,0.2
59,644.35675,3.9204578,-0.21444786,0.1
60,190.9797,3.6927888,-0.5273047,0.1
61,66.64889,135.48256,-2.8862271,0.2
62,364.02478,3.5598736,-0.2726312,0.1
63,170.13307,3.2781587,-0.48744214,0.2
64,196.05647,3.0067167,-0.38499624,0.2
65,150.43001,3.13271,-0.49925873,0.1
66,182.63063,3.1289787,-0.46391124,0.1
67,2137.5757,5.8090787,-0.15590505,0.2
68,208.23003,3.1383429,-0.37158263,0.1
69,184.08563,3.4953525,-0.46211544,0.2
70,157.48286,3.389195,-0.391515,0.2
71,281.34134,3.5169582,-0.3336282,0.2
72,72.79075,3.6706555,-1.0987898,0.1
73,470.0617,3.7889264,-0.25123823,0.1
74,94.544655,3.420341,-0.818759,0.2
75,700.06366,4.106074,-0.21392785,0.2
76,215.00095,3.14204,-0.39067352,0.1
77,765.2908,4.223751,-0.18974707,0.1
78,224.71628,3.116485,-0.35982063,0.2
79,153.95883,3.113488,-0.38947123,0.2
80,880.2845,4.596421,-0.21824276,0.1
81,408.27725,3.8180828,-0.27210504,0.1
82,755.1038,4.394964,-0.21778831,0.1
83,293.5715,3.522619,-0.35122246,0.1
84,1005.8067,4.6473994,-0.20336144,0.1
85,1001.6729,4.5731044,-0.18898217,0.1
86,418.59418,3.1703858,-0.18964025,0.1
87,1337.5472,4.489535,-0.14749528,0.1
88,212.79327,3.471549,-0.3258523,0.3
89,109.73243,2.250258,-0.41297463,0.2
90,31021.355,8.395876,-0.10372075,0.2
