species_index,code_alpha,code_fia,code_plants,dg_resid_sd,dg_intercept,dg_ln_dbh,dg_dbh_squared,dg_ln_crown_pct,dg_site_index,dg_relative_height,dg_stand_basal_area,dg_point_bal,dg_slope_tan,dg_slope_cos_aspect,dg_slope_sin_aspect,dg_prior_obs_count,dg_fortype_lowland_hw,dg_fortype_nonoak_hw,dg_fortype_oak_pine,dg_fortype_softwd_hp,dg_fortype_upland_hw,dg_fortype_upland_oak,dg_fortype_yellow_pine,dg_planted,dg_phys_pm221,dg_phys_pm222,dg_phys_pm231,dg_phys_p221,dg_phys_p222,dg_phys_s231t,dg_phys_s231l,dg_phys_p232,dg_phys_p234,dg_phys_p255,dg_phys_p411,bark_intercept,bark_slope,dg_bound_dbh_lo,dg_bound_dbh_hi,ht_curve_b1,ht_curve_b2,ht_curve_b3,ht_curve_b4,ht_curve_b5,ht_relht_yxs,ht_relht_r,ht_relht_b,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,site_index_min,site_index_max,site_group,varmrt_shade_adj
1,FR,010,ABIES,0.4511,-2.267851,1.442529,-0.000548,0.568468,-0.001151,-0.403762,-0.000824,-0.002503,-0.241408,0.066508,0.086959,1141.0,0.0,-0.023264,0.294886,-0.271743,-0.004304,0.0,0.039012,0.0,0.0,0.0,0.0,-0.121082,0.0,0.022498,-0.097721,0.0,0.0,0.0,0.0,0.05119,0.89372,26.0,34.0,2.077,0.9303,-0.0285,2.8937,-0.1414,0.2,20.0,-1.1,5.1677,-0.0077681,655.0,15.0,100.0,5,0.1
2,JU,057,JUNIP,0.5297,-1.864431,1.403065,-0.001237,0.273616,-0.000374,0.177408,-0.00362,-0.00189,-0.231988,0.077542,-0.025792,4132.0,0.128828,-0.020186,0.054362,0.0,0.079239,0.0,0.144288,0.0,0.131771,0.217904,0.436986,0.083896,-0.005539,0.0,0.49074,0.399497,0.938548,1.088152,0.0,-0.27012,0.97546,998.0,999.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.05,13.0,-1.6,9.6943,-0.0127328,354.0,15.0,70.0,5,0.7
3,PI,090,PICEA,0.4511,-2.267851,1.442529,-0.000548,0.568468,-0.001151,-0.403762,-0.000824,-0.002503,-0.241408,0.066508,0.086959,1141.0,0.0,-0.023264,0.294886,-0.271743,-0.004304,0.0,0.039012,0.0,0.0,0.0,0.0,-0.121082,0.0,0.022498,-0.097721,0.0,0.0,0.0,0.0,-0.17289,0.91572,38.0,52.0,1.3307,1.0442,-0.0496,3.5829,0.0945,0.15,16.0,-1.2,5.1677,-0.0077681,412.0,15.0,80.0,5,0.3
4,PU,107,PICL,0.5428,-3.791466,1.796179,-0.005109,0.902185,-0.002009,0.0,-0.005287,-0.003203,0.501409,-1.788107,-1.231519,820.0,1.214007,0.0,0.751229,0.0,1.139953,0.23948,0.0,0.173758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39956,0.95183,18.9,24.0,1.266,1.0034,-0.0365,1.5515,-0.0221,0.05,13.0,-1.6,5.5877,-0.005348,499.0,35.0,100.0,5,0.7
5,SP,110,PIEC2,0.4987,-0.008942,1.23817,-0.00117,0.053076,0.004723,0.040334,-0.004394,-0.003271,-0.704687,0.127667,0.028391,26008.0,0.106418,0.45502,0.017518,0.0,0.066811,-0.040181,0.0,0.0,-0.569409,-0.252741,-0.265699,-0.694484,-0.285112,-0.504565,0.0,-0.113258,0.114097,0.092458,0.0,-0.44121,0.93045,998.0,999.0,1.4232,0.9989,-0.0285,1.2156,0.0088,0.05,13.0,-1.6,5.5877,-0.005348,490.0,35.0,105.0,1,0.7
6,SA,111,PIEL,0.5251,-1.641698,1.461093,-0.00253,0.265872,0.006851,0.069104,-0.002939,-0.004873,-0.018479,-0.193157,-0.251016,18736.0,0.325861,0.0,0.116235,0.0,0.16202,0.410684,0.0,0.227572,0.0,0.0,0.0,0.0,0.0,-0.025549,0.324111,0.0,0.306793,0.0,-0.342293,-0.55073,0.91887,998.0,999.0,1.1557,1.0031,-0.0408,0.9807,0.0314,0.05,13.0,-1.6,5.5877,-0.005348,385.0,35.0,105.0,1,0.7
7,SR,115,PIGL2,0.4367,-2.431165,1.691731,-0.000945,0.588558,0.000109,-0.326169,-0.001847,-0.001394,-0.324278,0.526867,0.009866,884.0,0.0,0.0,-0.09895,0.0,0.072308,-0.055071,-0.236871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.155764,0.0,-0.112223,0.0,0.0,-0.13301,0.93755,32.6,48.0,1.3307,1.0442,-0.0496,3.5829,0.0945,0.2,20.0,-1.1,5.1677,-0.0077681,490.0,45.0,90.0,5,0.1
8,LL,121,PIPA2,0.441,-1.331052,1.098112,-0.001834,0.184512,0.008774,0.388018,-0.002182,-0.002898,0.225213,0.086883,0.107445,9190.0,0.048216,0.0,0.088872,0.0,0.08672,0.106061,0.0,0.110751,0.0,0.0,0.0,0.0,0.0,-0.175073,-0.067793,0.0,0.123262,0.0,0.0,-0.45903,0.92746,998.0,999.0,1.421,0.9947,-0.0269,1.1344,-0.0109,0.05,13.0,-1.6,5.5877,-0.005348,332.0,45.0,125.0,4,0.7
9,TM,123,PIPU5,0.4693,-2.600803,1.525435,-0.003519,0.615731,0.001033,0.059646,-0.002304,-0.002716,-0.217771,0.018819,-0.052142,9860.0,-0.059007,0.325781,0.04537,0.091999,-0.004333,-0.067779,0.0,0.0,-0.157516,0.0,0.0,-0.107642,-0.034553,0.0,0.025073,-0.150946,0.0,0.0,0.0,0.05119,0.89372,18.7,28.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.05,13.0,-1.6,5.5877,-0.005348,398.0,35.0,70.0,9,0.7
10,PP,126,PIRI,0.5525,-3.639059,1.397394,-0.00167,0.739443,0.008731,-0.193198,-0.002257,-0.002188,-0.317178,0.083538,0.150686,735.0,0.0,-0.110161,-0.010394,0.043707,0.0,-0.315855,0.116814,0.0,0.0,0.0,0.0,0.020105,-0.297952,0.236656,0.0,0.0,0.0,0.0,0.0,-0.58808,0.91852,24.2,40.0,1.1204,0.9984,-0.0597,2.4448,-0.0284,0.05,13.0,-1.6,5.5877,-0.005348,398.0,25.0,95.0,8,0.7
