species_index,essprt_kind,essprt_p1,essprt_p2,essprt_fsp
1,1,2.7386,-0.1076,0
2,1,2.7386,-0.1076,0
3,1,2.7386,-0.1076,0
4,1,2.7386,-0.1076,0
5,0,0.42,0.0,0
6,1,2.7386,-0.1076,0
7,1,2.7386,-0.1076,0
8,1,2.7386,-0.1076,0
9,1,2.7386,-0.1076,0
10,1,2.7386,-0.1076,0
11,1,2.7386,-0.1076,0
12,1,2.7386,-0.1076,0
13,1,2.7386,-0.1076,0
14,1,2.7386,-0.1076,0
15,1,2.7386,-0.1076,0
16,1,2.7386,-0.1076,0
17,1,2.7386,-0.1076,0
18,0,0.94,0.0,0
19,0,0.94,0.0,0
20,1,4.1975,-0.1821,0
21,1,2.7386,-0.1076,0
22,0,0.73,0.0,0
23,0,0.96,0.0,0
24,1,3.367,-0.5159,0
25,1,3.367,-0.5159,0
26,0,0.94,0.0,0
27,0,0.95,0.0,0
28,1,2.7386,-0.1076,0
29,1,2.7386,-0.1076,0
30,0,0.94,0.0,0
31,0,0.94,0.0,0
32,0,0.94,0.0,0
33,0,0.93,0.0,0
34,1,2.7386,-0.1076,0
35,1,2.7386,-0.1076,0
36,1,2.7386,-0.1076,0
37,1,2.7386,-0.1076,0
38,1,2.7386,-0.1076,0
39,1,2.7386,-0.1076,0
40,1,2.7386,-0.1076,0
41,0,0.94,0.0,0
42,1,2.7386,-0.1076,0
43,1,2.7386,-0.1076,0
44,1,2.7386,-0.1076,0
45,0,0.79,0.0,0
46,0,0.95,0.0,0
47,0,0.69,0.0,0
48,1,2.7386,-0.1076,0
49,1,2.7386,-0.1076,0
50,1,2.7386,-0.1076,0
51,0,0.94,0.0,0
52,0,0.94,0.0,0
53,1,2.7386,-0.1076,0
54,0,0.72,0.0,0
55,1,2.7386,-0.1076,0
56,0,0.94,0.0,0
57,0,0.97,0.0,0
58,1,2.7386,-0.1076,0
59,1,2.7386,-0.1076,0
60,1,2.7386,-0.1076,0
61,1,2.7386,-0.1076,0
62,1,2.7386,-0.1076,0
63,1,2.4608,-0.3093,0
64,1,3.8897,-0.226,1
65,1,2.7386,-0.1076,0
66,1,2.7386,-0.1076,1
67,1,2.7386,-0.1076,0
68,1,2.7386,-0.1076,0
69,1,2.7386,-0.1076,0
70,1,2.7386,-0.1076,1
71,1,2.7386,-0.1076,0
72,1,2.7386,-0.1076,0
73,1,2.7386,-0.1076,0
74,0,0.78,0.0,0
75,1,3.2586,-0.112,1
76,1,2.7386,-0.1076,0
77,1,2.7386,-0.1076,1
78,1,3.107,-0.2128,0
79,1,2.7386,-0.1076,0
80,0,0.86,0.0,0
81,1,2.7386,-0.1076,0
82,0,0.94,0.0,0
83,0,0.99,0.0,0
84,1,2.7386,-0.1076,0
85,1,2.7386,-0.1076,0
86,1,2.7386,-0.1076,0
87,1,2.7386,-0.1076,0
88,1,2.7386,-0.1076,0
89,1,2.7386,-0.1076,0
90,1,2.7386,-0.1076,0
