species_index,wykoff_ht1,wykoff_ht2
1,4.5084,-6.0116
2,4.0374,-4.2964
3,4.5084,-6.0116
4,4.2899,-4.1019
5,4.6271,-6.4095
6,4.6561,-6.2258
7,4.7258,-6.7703
8,4.5991,-5.9111
9,4.2139,-4.5419
10,4.3898,-5.7183
11,4.5457,-6.8
12,4.609,-6.1896
13,4.6897,-6.8801
14,4.4718,-5.0078
15,4.6171,-6.2684
16,4.4603,-5.0577
17,4.5084,-6.0116
18,4.3164,-4.0582
19,4.2378,-4.108
20,4.3379,-3.8214
21,4.5991,-6.6706
22,4.4834,-4.5431
23,4.5697,-5.7172
24,4.4388,-4.0872
25,4.4522,-4.5758
26,3.855,-2.6623
27,4.5128,-4.9918
28,4.9396,-8.1838
29,4.4207,-5.1435
30,3.7512,-2.5539
31,3.7301,-2.7758
32,4.4091,-4.8464
33,4.4772,-4.7206
34,4.4819,-4.5314
35,4.5959,-6.4497
36,4.6155,-6.2945
37,4.6155,-6.2945
38,4.3734,-5.3135
39,4.4009,-5.056
40,4.4931,-4.6501
41,4.0151,-4.3314
42,4.5018,-5.6123
43,4.5018,-5.6123
44,4.592,-5.1719
45,4.6892,-4.9605
46,4.4004,-4.7519
47,4.6067,-5.203
48,4.4004,-4.7519
49,4.3609,-4.1423
50,4.4004,-4.7519
51,3.9678,-3.251
52,3.9613,-3.1993
53,4.433,-4.5383
54,4.3802,-4.7903
55,4.4334,-4.5709
56,4.0322,-3.0833
57,4.1352,-3.745
58,4.0965,-3.925
59,4.6355,-5.2776
60,4.9396,-8.1838
61,4.9396,-8.1838
62,4.3286,-4.0922
63,4.5463,-5.2287
64,4.5225,-4.9401
65,4.5142,-5.2205
66,4.7342,-6.2674
67,3.9365,-4.4599
68,4.4375,-4.6654
69,4.571,-6.0922
70,3.9191,-4.3503
71,4.6135,-5.7613
72,4.342,-5.1193
73,4.5577,-4.9595
74,4.4618,-4.8786
75,4.5202,-4.8896
76,4.6106,-5.438
77,4.2496,-4.8061
78,4.4747,-4.8698
79,4.2959,-5.3332
80,4.4299,-4.992
81,4.4911,-5.7928
82,4.3383,-4.5018
83,4.582,-5.0903
84,4.3744,-4.5257
85,4.5992,-7.7428
86,4.6008,-7.2732
87,4.6238,-7.4847
88,4.3898,-5.7183
89,3.9392,-3.4279
90,3.9089,-3.0149
