species,d1,d2
100.0,3.5,6.3
107.0,3.5,6.5
110.0,3.5,6.3
111.0,3.4,6.1
115.0,3.6,6.4
121.0,3.5,6.2
123.0,3.5,6.3
126.0,3.5,6.1
128.0,3.4,6.0
129.0,3.6,6.4
131.0,3.6,6.4
132.0,3.8,6.7
221.0,3.6,6.5
222.0,3.4,6.2
261.0,3.6,6.3
300.0,3.5,8.0
316.0,3.6,8.2
330.0,3.5,8.1
370.0,3.6,8.3
400.0,3.4,7.9
404.0,3.2,7.8
460.0,3.6,8.2
500.0,3.5,8.0
531.0,3.7,8.5
541.0,3.3,7.8
544.0,3.4,7.9
611.0,3.5,8.0
621.0,3.5,7.9
652.0,3.6,8.2
653.0,3.4,7.9
693.0,3.3,7.7
694.0,3.3,7.9
731.0,3.7,8.6
800.0,3.5,8.0
802.0,3.4,8.0
806.0,3.5,8.1
812.0,3.5,7.9
813.0,3.5,8.1
822.0,3.3,8.0
827.0,3.6,8.3
828.0,3.5,8.1
831.0,3.5,8.1
832.0,3.3,7.7
833.0,3.5,8.1
835.0,3.4,7.9
837.0,3.4,7.8
901.0,3.4,7.7
950.0,3.4,8.1
970.0,3.4,8.1
