species,c1,c2,c3,c4,c5,c6
100.0,21.01306,0.50856,157.11,7.78474,2.36095,0.68914
107.0,9.02872,0.25504,60.41609,4.16861,2.38632,0.70896
110.0,24.2675,0.5326,107.65,9.22332,3.0471,0.74591
111.0,27.16454,0.79755,65.52791,4.88907,2.7677,0.76513
115.0,31.09115,0.51977,-43.19648,3.70448,1.96014,0.64781
121.0,19.57711,0.54088,22.15904,4.34898,2.17272,0.68448
123.0,16.73758,0.23255,257.35,2.51066,1.68324,0.61762
126.0,6.93687,0.26874,96.50804,6.15648,2.52679,0.69903
128.0,9.98989,0.4075,126.78,3.90993,2.19115,0.67531
129.0,10.41255,0.3629,59.64184,11.42481,1.78758,0.6324
131.0,25.29597,0.5837,221.45,8.88273,2.39522,0.70372
132.0,9.17462,0.38821,48.07668,9.24015,2.11,0.62645
221.0,53.02593,2.80399,1183.93,15.06926,3.20594,0.79079
222.0,25.10773,2.23655,2782.32,11.60876,2.88567,0.78623
261.0,21.36317,0.54174,47.97097,9.5491,1.65131,0.6076
300.0,1.48199,0.63392,97.98536,13.13006,1.46888,0.4615
316.0,22.00135,0.45472,166.1,7.31546,1.17064,0.27213
330.0,3.02215,0.58715,-154.72,5.0472,1.45465,0.49221
370.0,49.41385,1.01241,-91.82769,11.23179,1.19704,0.23928
400.0,26.74384,0.71015,44.42209,15.9448,1.34232,0.3334
404.0,19.65583,0.76605,156.29,18.71336,1.49941,0.4466
460.0,7.58001,0.77904,98.86053,14.72719,1.13162,0.21363
500.0,17.37375,0.76817,19.73232,12.25625,1.29942,0.34212
531.0,44.36826,1.22158,79.44636,6.36236,1.11382,0.14312
541.0,0.646,0.4968,127.87,7.52915,1.49287,0.47222
544.0,7.32061,0.61584,288.36,11.17396,1.3694,0.43492
611.0,39.02874,0.92761,8.38221,17.80982,1.60164,0.4979
621.0,26.40588,0.51359,118.64,12.35256,1.45155,0.45728
652.0,29.5304,0.84545,-177.27,4.8328,1.45934,0.4175
653.0,23.01219,1.31139,47.9337,11.2855,1.70245,0.58013
693.0,13.27517,0.43775,357.62,13.62877,1.71575,0.51314
694.0,3.85564,1.45568,230.65,15.92478,2.37582,0.69671
731.0,25.41167,0.72445,58.38711,13.54775,1.6389,0.59893
800.0,19.2035,0.8044,55.79724,13.13272,1.2881,0.32973
802.0,26.85889,0.84829,232.96,12.28295,1.3263,0.31541
806.0,42.73753,0.86145,214.31,13.53863,1.29882,0.3333
812.0,31.98221,0.92734,119.69,12.75583,1.37269,0.36674
813.0,50.51179,1.36917,-215.92,9.30537,1.28815,0.31282
822.0,15.45114,0.62728,618.81,14.60416,1.35596,0.38248
827.0,34.7647,1.08768,-6.46961,10.78112,1.36987,0.38666
828.0,-5.45119,0.8802,-457.82,21.01569,1.28504,0.31629
831.0,35.40807,1.2685,38.61354,11.59408,1.23843,0.28533
832.0,22.30226,0.49235,206.69,9.71683,1.38908,0.39346
833.0,31.32975,0.81328,78.94096,11.45671,1.43496,0.39984
835.0,30.82091,0.83441,335.71,10.3337,1.29478,0.30931
837.0,31.60343,0.81484,124.19,12.19245,1.39091,0.35814
901.0,25.57939,0.35922,-8.66136,7.02926,1.2401,0.35218
950.0,35.8783,0.61921,-129.42,8.73588,1.6511,0.54681
970.0,0.81866,0.77141,-51.36724,18.74117,1.25822,0.29448
