species,c1,c2,c3,c4,c5,c6
100.0,24.20656,0.46472,72.22792,7.15667,2.27267,0.66773
107.0,22.11866,0.24225,30.35804,2.39719,2.20596,0.67682
110.0,25.43531,0.45525,28.38927,8.21438,2.86552,0.72623
111.0,32.39761,0.77487,-2.25836,4.801,2.52226,0.73935
115.0,30.60204,0.53021,-41.90943,4.62512,1.89883,0.62823
121.0,24.40837,0.46799,10.67266,3.597,2.03709,0.65814
123.0,15.05927,0.26895,-4.14299,1.85472,1.57211,0.55552
126.0,2.38073,0.24517,56.21296,5.08318,2.41963,0.679
128.0,14.31325,0.43675,89.93895,3.24869,2.0641,0.65079
129.0,12.19768,0.3584,19.63087,10.31373,1.74982,0.60458
131.0,31.6625,0.57402,110.96,8.573,2.36238,0.68464
132.0,8.77959,0.30226,27.58681,7.18305,2.0763,0.61061
221.0,54.20738,2.93064,1173.88,14.72859,2.87922,0.77001
222.0,27.91571,2.66539,2208.19,10.58239,2.6353,0.76388
261.0,22.76763,0.58987,9.28454,8.48372,1.55322,0.59329
300.0,0.76387,0.66804,62.00767,14.04531,1.38226,0.43214
316.0,20.22964,0.48,117.15,7.63003,1.12677,0.21122
330.0,-0.31952,0.563,-86.84458,5.74912,1.36316,0.45678
370.0,51.28318,1.07553,-109.52,9.97617,1.17446,0.22942
400.0,29.1205,0.74397,25.20574,16.91338,1.30183,0.31675
404.0,15.54633,0.84611,75.4093,18.87904,1.37417,0.38353
460.0,9.856,0.83775,39.78865,15.24815,1.10274,0.18436
500.0,16.59025,0.82445,-50.66507,12.94614,1.25121,0.30693
531.0,44.69823,1.23348,53.34998,6.76763,1.10386,0.13563
541.0,1.21583,0.52363,85.64375,9.06721,1.38969,0.42542
544.0,6.55702,0.68587,190.64,12.8943,1.30346,0.39763
611.0,39.27999,0.99797,-12.28068,18.01587,1.50811,0.48173
621.0,27.29531,0.52621,80.63279,12.58635,1.37761,0.43356
652.0,32.6516,0.87127,-117.56,4.14724,1.42352,0.40489
653.0,26.4059,1.43248,-3.16336,11.54432,1.56727,0.54963
693.0,12.27907,0.47988,234.31,14.15661,1.58441,0.47041
694.0,3.85938,1.51531,168.05,16.3011,2.12815,0.68482
731.0,28.54231,0.732,63.4948,13.80676,1.59877,0.58084
800.0,18.46026,0.85487,-31.6446,13.794,1.24408,0.29817
802.0,27.18247,0.88257,174.73,12.99263,1.28811,0.29565
806.0,47.31765,0.89697,108.22,14.17655,1.25713,0.30215
812.0,35.4242,0.97958,60.98724,12.87467,1.33146,0.34634
813.0,51.63038,1.44613,-221.76,9.84136,1.26945,0.29916
822.0,13.23593,0.72601,436.83,16.35515,1.31793,0.35603
827.0,34.89075,1.05711,19.83006,11.33225,1.32858,0.36417
828.0,-7.08703,0.9157,-441.9,20.83134,1.23544,0.27706
831.0,36.75301,1.28866,-6.10171,11.56397,1.20946,0.26427
832.0,25.38194,0.52813,126.23,10.2805,1.31163,0.35547
833.0,32.44798,0.84396,12.0115,11.66991,1.39963,0.38637
835.0,34.64245,0.929,158.65,9.53959,1.24843,0.27255
837.0,33.0464,0.86211,90.2567,12.69298,1.34191,0.33751
901.0,34.01475,0.47442,-19.13306,7.50541,1.19776,0.32282
950.0,34.9228,0.63078,-112.6,7.65548,1.54223,0.51305
970.0,0.32727,0.83154,-72.51669,19.16713,1.20639,0.26369
