species_index,code_alpha,rd1,rd2,rd3,rda,rdb
1,WB,0.01925,0.0168,0.00365,0.009187,1.76
2,LM,0.01925,0.0168,0.00365,0.009187,1.76
3,DF,0.11,0.0333,0.00259,0.017299,1.5571
4,PM,0.01925,0.01676,0.00365,0.009187,1.76
5,BS,0.03,0.0173,0.00259,0.007875,1.736
6,AS,0.03,0.0238,0.0049,0.008915,1.78
7,LP,0.01925,0.0168,0.00365,0.009187,1.76
8,ES,0.03,0.0173,0.00259,0.007875,1.736
9,AF,0.03,0.0216,0.00405,0.011402,1.756
10,PP,0.03,0.018,0.00281,0.007813,1.768
11,UJ,0.01925,0.01676,0.00365,0.009187,1.76
12,RM,0.01925,0.01676,0.00365,0.009187,1.76
13,BI,0.0204,0.0246,0.0074,0.0,0.0
14,MM,0.03,0.0238,0.0049,0.008915,1.78
15,NC,0.03,0.0215,0.00363,0.011109,1.725
16,MC,0.0204,0.0246,0.0074,0.0,0.0
17,OS,0.01925,0.0168,0.00365,0.009187,1.76
18,OH,0.03,0.0215,0.00363,0.011109,1.725
