species_index,code_alpha,WEIBA,WEIBB0,WEIBB1,WEIBC0,WEIBC1,C0,C1
1,WB,1.0,-0.82631,1.06217,3.31429,0.0,6.19911,-0.02216
2,LM,1.0,-0.82631,1.06217,3.31429,0.0,6.19911,-0.02216
3,DF,1.0,-0.24217,0.96529,-7.94832,1.93832,7.46296,-0.02944
4,PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,BS,1.0,-0.90648,1.08122,3.48889,0.0,6.81087,-0.01037
6,AS,0.0,-0.08414,1.14765,2.775,0.0,4.01678,-0.01516
7,LP,0.0,0.17162,1.07338,3.15,0.0,6.00567,-0.0352
8,ES,1.0,-0.90648,1.08122,3.48889,0.0,6.81087,-0.01037
9,AF,1.0,-0.89553,1.07728,1.74621,0.29052,7.65751,-0.03513
10,PP,0.0,0.24916,1.04831,4.36,0.0,6.41166,-0.02041
11,UJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,RM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,BI,0.0,-0.2383,1.18016,3.04,0.0,4.62512,-0.01604
14,MM,0.0,-0.08414,1.14765,2.775,0.0,4.01678,-0.01516
15,NC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,MC,0.0,-0.2383,1.18016,3.04,0.0,4.62512,-0.01604
17,OS,1.0,-0.26595,0.98326,-7.00555,1.60411,7.9281,-0.06298
18,OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
