species_index,code_alpha,dgld,dgcr,dgcrsq,dgbal,dgdbal,dgba,dgpccf,dgcasp,dgsasp,dgslop,dgslsq,dgel,dgel2,observ,ismap
1,WB,0.213947,1.523464,0.0,-0.358634,0.0,0.0,0.0,-0.609774,-0.01752,-2.05706,2.11326,0.0,0.0,0.0,1.0
2,LM,0.213947,1.523464,0.0,-0.358634,0.0,0.0,0.0,-0.609774,-0.01752,-2.05706,2.113263,0.0,0.0,0.0,1.0
3,DF,0.533965,1.9319,-0.894368,-0.574858,0.0,0.0,0.0,-0.26861,0.076614,-0.71126,0.0,0.0,0.0,0.0,2.0
4,PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,BS,0.378802,1.098353,0.0,-0.490005,0.0,0.0,0.0,-0.698103,0.102053,1.335928,-1.481349,0.0,0.0,0.0,3.0
6,AS,-0.368391,4.034753,-5.617552,-0.704392,0.0,0.0,0.0,-0.042546,0.332422,-2.43008,0.0,0.0,0.0,0.0,5.0
7,LP,0.563751,2.164346,-0.625799,-0.469671,0.0,0.0,0.0,-0.075306,-0.036871,-0.129291,0.0,0.0,0.0,0.0,1.0
8,ES,0.378802,1.098353,0.0,-0.490005,0.0,0.0,0.0,-0.698103,0.102053,1.335928,-1.481349,0.0,0.0,0.0,3.0
9,AF,0.648535,0.137638,1.0665429,-0.312129,0.0,0.0,0.0,-0.17839,0.052805,0.784185,-1.504007,0.0,0.0,0.0,3.0
10,PP,0.822203,1.768935,-0.176164,0.0,-0.006065,0.0,0.0,0.127311,0.076531,0.024336,-0.78148,0.0,0.0,8420.0,1.0
11,UJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,RM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,BI,1.024186,0.459387,0.0,0.0,-0.010222,0.0,-0.000757,0.0,0.0,0.0,0.0,-0.012111,0.0,78.0,1.0
14,MM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,NC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,MC,0.889596,1.732535,0.0,0.0,-0.001265,-0.000981,0.0,0.085958,-0.86398,0.0,0.0,-0.075986,0.001193,220.0,1.0
17,OS,0.213947,1.523464,0.0,-0.358634,0.0,0.0,0.0,-0.609774,-0.01752,-2.05706,2.113263,0.0,0.0,0.0,1.0
18,OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
