species_index,code_alpha,c1,c2,c3,c4,c5
1,WB,-0.199592,0.0,0.0,0.0,0.0
2,LM,-0.199592,0.0,0.0,0.0,0.0
3,DF,-0.641932,-0.14137,0.0,0.0,0.0
4,PM,0.0,0.0,0.0,0.0,0.0
5,BS,-0.045495,-0.204852,-0.311383,0.0,0.0
6,AS,0.472247,0.0,0.0,0.0,0.0
7,LP,-0.206752,0.0,0.0,0.0,0.0
8,ES,-0.045495,-0.204852,-0.311383,0.0,0.0
9,AF,-0.186614,-0.023236,0.0,0.0,0.0
10,PP,0.0,0.0,0.0,0.0,0.0
11,UJ,0.0,0.0,0.0,0.0,0.0
12,RM,0.0,0.0,0.0,0.0,0.0
13,BI,0.0,0.0,0.0,0.0,0.0
14,MM,0.0,0.0,0.0,0.0,0.0
15,NC,0.0,0.0,0.0,0.0,0.0
16,MC,0.0,0.0,0.0,0.0,0.0
17,OS,-0.199592,0.0,0.0,0.0,0.0
18,OH,0.0,0.0,0.0,0.0,0.0
