species_index,code_alpha,c1,c2,c3,c4
1,WB,-0.0006538,0.0,0.0,0.0
2,LM,-0.0006538,0.0,0.0,0.0
3,DF,-0.0001997,0.0,0.0,0.0
4,PM,0.0,0.0,0.0,0.0
5,BS,-0.0001056,0.0,0.0,0.0
6,AS,0.0058612,0.0,0.0,0.0
7,LP,0.0,-0.0009803,-0.0016416,0.0
8,ES,-0.0001056,0.0,0.0,0.0
9,AF,-0.0002152,-0.0002567,0.0,0.0
10,PP,-0.0004163,0.0,0.0,0.0
11,UJ,0.0,0.0,0.0,0.0
12,RM,0.0,0.0,0.0,0.0
13,BI,-0.0001737,0.0,0.0,0.0
14,MM,0.0,0.0,0.0,0.0
15,NC,0.0,0.0,0.0,0.0
16,MC,0.0,0.0,0.0,0.0
17,OS,-0.0006538,0.0,0.0,0.0
18,OH,0.0,0.0,0.0,0.0
