species_index,code_alpha,c1,c2,c3,c4,c5
1,WB,1.911884,1.568742,2.001195,0.0,0.0
2,LM,1.911884,1.568742,2.001195,0.0,0.0
3,DF,1.084994,0.79664,1.042871,0.0,0.0
4,PM,0.0,0.0,0.0,0.0,0.0
5,BS,1.543251,0.943003,0.792165,0.0,0.0
6,AS,1.543622,1.643733,0.0,0.0,0.0
7,LP,0.494205,0.502908,0.0,0.0,0.0
8,ES,1.543251,0.943003,0.792165,0.0,0.0
9,AF,0.921658,0.807282,0.914279,0.0,0.0
10,PP,1.879603,0.0,0.0,0.0,0.0
11,UJ,0.0,0.0,0.0,0.0,0.0
12,RM,0.0,0.0,0.0,0.0,0.0
13,BI,-7.753469,0.0,0.0,0.0,0.0
14,MM,0.0,0.0,0.0,0.0,0.0
15,NC,0.0,0.0,0.0,0.0,0.0
16,MC,-0.107648,0.0,0.0,0.0,0.0
17,OS,1.911884,1.568742,2.001195,0.0,0.0
18,OH,0.0,0.0,0.0,0.0,0.0
