species_index,code_alpha,c1,c2,c3,c4,c5
1,WB,0.001766,0.0,0.0,0.0,0.0
2,LM,0.001766,0.0,0.0,0.0,0.0
3,DF,0.011597,0.0,0.0,0.0,0.0
4,PM,0.0,0.0,0.0,0.0,0.0
5,BS,0.011389,0.019985,0.0,0.0,0.0
6,AS,0.00646,0.0,0.0,0.0,0.0
7,LP,0.009756,0.014334,0.0,0.0,0.0
8,ES,0.011389,0.019985,0.0,0.0,0.0
9,AF,0.003955,0.00631,0.0,0.0,0.0
10,PP,0.0,0.0,0.0,0.0,0.0
11,UJ,0.0,0.0,0.0,0.0,0.0
12,RM,0.0,0.0,0.0,0.0,0.0
13,BI,1.965888,0.0,0.0,0.0,0.0
14,MM,0.00646,0.0,0.0,0.0,0.0
15,NC,0.0,0.0,0.0,0.0,0.0
16,MC,0.227307,0.0,0.0,0.0,0.0
17,OS,0.001766,0.0,0.0,0.0,0.0
18,OH,0.0,0.0,0.0,0.0,0.0
