species_index,code_alpha,c1,c2,c3,c4,c5
1,WB,27.0,70.0,123.0,101.0,33.0
2,LM,27.0,70.0,123.0,101.0,33.0
3,DF,2.0,125.0,387.0,1008.0,1075.0
4,PM,1000.0,1000.0,1000.0,1000.0,1000.0
5,BS,3.0,111.0,242.0,281.0,334.0
6,AS,184.0,429.0,356.0,162.0,74.0
7,LP,0.0,112.0,1023.0,1208.0,295.0
8,ES,3.0,111.0,242.0,281.0,334.0
9,AF,1.0,140.0,798.0,819.0,530.0
10,PP,0.0,0.0,0.0,0.0,0.0
11,UJ,1000.0,1000.0,1000.0,1000.0,1000.0
12,RM,1000.0,1000.0,1000.0,1000.0,1000.0
13,BI,0.0,0.0,0.0,0.0,0.0
14,MM,184.0,429.0,356.0,162.0,74.0
15,NC,1000.0,1000.0,1000.0,1000.0,1000.0
16,MC,0.0,0.0,0.0,0.0,0.0
17,OS,27.0,70.0,123.0,101.0,33.0
18,OH,1000.0,1000.0,1000.0,1000.0,1000.0
