species_index,code_alpha,c1,c2,c3,c4,c5
1,WB,1.0,1.0,1.0,1.0,1.0
2,LM,1.0,1.0,1.0,1.0,1.0
3,DF,1.0,2.0,2.0,2.0,2.0
4,PM,1.0,1.0,1.0,1.0,1.0
5,BS,1.0,1.0,2.0,3.0,3.0
6,AS,1.0,1.0,1.0,1.0,1.0
7,LP,1.0,1.0,1.0,1.0,1.0
8,ES,1.0,1.0,2.0,3.0,3.0
9,AF,1.0,1.0,1.0,2.0,2.0
10,PP,1.0,1.0,1.0,1.0,1.0
11,UJ,1.0,1.0,1.0,1.0,1.0
12,RM,1.0,1.0,1.0,1.0,1.0
13,BI,1.0,1.0,1.0,1.0,1.0
14,MM,1.0,1.0,1.0,1.0,1.0
15,NC,1.0,1.0,1.0,1.0,1.0
16,MC,1.0,1.0,1.0,1.0,1.0
17,OS,1.0,1.0,1.0,1.0,1.0
18,OH,1.0,1.0,1.0,1.0,1.0
