species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp,bio_group
1,14,22.5,15,3,4,2,1,0.9,0.41,90,4,4
2,11,22.5,15,3,4,2,1,0.9,0.41,90,4,4
3,3,28.1,15,5,3,2,1,1.1,0.81,100,2,2
4,12,31.8,15,3,4,2,1,0.9,1.0,150,4,4
5,18,20.6,10,6,4,2,1,0.9,0.61,100,5,5
6,41,21.8,10,1,4,1,1,0.9,2.4,15,6,6
7,11,23.7,15,3,4,2,1,0.9,1.60,50,4,4
8,18,20.6,10,6,4,2,1,0.9,0.61,100,5,5
9,1,19.3,15,7,4,2,1,0.9,0.81,40,3,3
10,13,23.7,10,4,4,2,1,1.0,1.0,90,4,4
11,16,34.9,20,4,2,2,1,0.9,1.0,150,10,10
12,16,34.9,20,4,2,2,1,0.9,1.0,150,10,10
13,5,27.4,15,1,4,1,1,1.0,1.0,90,7,7
14,5,30.6,15,1,4,1,1,1.0,1.0,100,7,7
15,17,19.3,10,1,4,1,1,0.9,4.0,5,6,6
16,41,21.8,15,1,4,1,1,1.0,1.0,90,10,10
17,14,22.5,15,3,4,2,1,0.9,0.41,90,4,4
18,17,19.3,10,1,4,1,1,0.9,4.0,5,6,6
