k,cof1,cof2,cof3,cof4,cof5,cof6,cof7,cof8,cof9
1,37.0,85.0,1.77836,-0.51147,1.88795,1.20654,0.57697,3.57635,0.90283
2,45.0,100.0,1.66674,0.25626,1.45477,1.11251,0.67375,2.17942,0.88103
3,45.0,90.0,1.6477,0.30546,1.35015,0.94823,0.70453,2.4648,1.00316
4,37.0,85.0,1.77836,-0.51147,1.88795,1.20654,0.57697,3.57635,0.90283
5,45.0,100.0,1.66674,0.25626,1.45477,1.11251,0.67375,2.17942,0.88103
6,45.0,90.0,1.6477,0.30546,1.35015,0.94823,0.70453,2.4648,1.00316
7,60.0,105.0,2.43099,0.20403,1.28447,0.99886,0.79629,5.66171,1.02398
8,70.0,120.0,1.8571,-0.10692,1.40067,1.16053,0.78576,3.85554,0.94853
9,70.0,130.0,1.51547,0.30923,1.30655,1.23707,0.86427,2.24521,0.91281
10,60.0,105.0,2.43099,0.20403,1.28447,0.99886,0.79629,5.66171,1.02398
11,70.0,120.0,1.8571,-0.10692,1.40067,1.16053,0.78576,3.85554,0.94853
12,70.0,130.0,1.51547,0.30923,1.30655,1.23707,0.86427,2.24521,0.91281
13,50.0,145.0,1.23692,0.30499,1.19486,1.09838,0.90058,2.08863,0.97969
14,50.0,145.0,1.23692,0.30499,1.19486,1.09838,0.90058,2.08863,0.97969
15,50.0,140.0,0.94647,0.31838,1.04318,0.95444,0.91934,1.78262,1.00481
16,30.0,85.0,2.00995,0.03288,1.81059,1.28612,0.72051,3.00551,1.01433
17,30.0,85.0,2.00995,0.03288,1.81059,1.28612,0.72051,3.00551,1.01433
18,35.0,85.0,1.80388,-0.07682,1.70032,1.29148,0.72343,2.91519,0.95244
19,30.0,105.0,2.00207,-0.25204,2.04453,1.62734,0.72514,2.8491,0.91104
20,45.0,110.0,2.50885,0.0974,1.85457,1.48205,0.77851,3.49791,0.9742
21,35.0,90.0,1.31478,0.21254,1.29774,1.09363,0.85692,2.30681,1.01686
22,50.0,145.0,1.23692,0.30499,1.19486,1.09838,0.90058,2.08863,0.97969
23,50.0,145.0,1.23692,0.30499,1.19486,1.09838,0.90058,2.08863,0.97969
24,50.0,140.0,0.94647,0.31838,1.04318,0.95444,0.91934,1.78262,1.00481
25,20.0,95.0,0.90779,0.33845,1.06402,0.81823,0.97688,1.95458,1.27034
26,35.0,110.0,1.36713,0.35062,1.25426,1.05571,0.90342,2.31128,1.07333
27,50.0,130.0,1.63172,0.60577,1.29877,1.16988,0.9086,2.11592,1.0087
28,37.0,85.0,1.77836,-0.51147,1.88795,1.20654,0.57697,3.57635,0.90283
29,45.0,100.0,1.66674,0.25626,1.45477,1.11251,0.67375,2.17942,0.88103
30,45.0,90.0,1.6477,0.30546,1.35015,0.94823,0.70453,2.4648,1.00316
31,37.0,85.0,1.77836,-0.51147,1.88795,1.20654,0.57697,3.57635,0.90283
32,45.0,100.0,1.66674,0.25626,1.45477,1.11251,0.67375,2.17942,0.88103
33,45.0,90.0,1.6477,0.30546,1.35015,0.94823,0.70453,2.4648,1.00316
