ii,c1,c2,c3,c4,c5,c6,c7
1,0.5563,-0.0636,0.99,-0.2,0.964,-0.201,0.968
2,0.4496,-0.3956,1.2756,-0.041,0.884,-0.041,0.888
3,0.2359,-0.7237,1.6343,-0.041,0.884,-0.041,0.888
4,0.8435,-0.28,1.0264,-0.041,0.884,-0.041,0.888
5,1.1152,-0.3678,0.9828,-0.191,0.943,-0.192,0.947
6,0.5405,-0.5908,1.3374,-0.191,0.943,-0.192,0.947
7,1.2552,-0.1727,0.9435,-0.131,0.886,-0.159,0.891
8,0.4302,-0.5229,1.3824,-0.131,0.886,-0.159,0.891
9,0.4727,-0.0508,1.0615,-0.159,0.832,-0.055,0.837
10,2.0461,-0.508,0.9113,-0.041,0.884,-0.041,0.888
11,0.6294,-0.0939,0.9886,-0.488,0.894,-0.445,0.897
12,1.2467,-0.1615,0.9013,-0.2,0.964,-0.201,0.968
13,0.5334,-0.0071,1.0127,-0.2,0.964,-0.201,0.968
14,0.5301,0.2327,0.8748,-0.365,0.887,-0.367,0.891
15,0.8315,0.0967,0.8293,-0.365,0.887,-0.367,0.891
16,0.5028,-0.0942,1.06,-0.365,0.887,-0.367,0.891
17,0.7572,-0.4527,1.1502,-0.143,0.933,-0.144,0.937
18,0.631,-0.1026,1.023,-0.143,0.933,-0.144,0.937
19,0.485,-0.3636,1.2324,0.0,0.887,0.0,0.893
20,0.6076,-0.173,1.0585,-0.153,0.883,-0.143,0.886
